,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.0004756,11800.0,CH activo,4,-0.0004756,0.12
1,Int. Temporal,4e-07,-0.0004752,12000.0,Int. Temporal,4e-07,-0.0004752,0.06
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.0E2
",-0.0004748,12200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.0E2
",-0.0004748,0.1
3,Unidades verticales,"""V""",-0.00047440000000000004,12000.0,Unidades verticales,"""V""",-0.00047440000000000004,0.1
4,Volts x div,5.0E3,-0.00047400000000000003,12200.0,Volts x div,5.0E-1,-0.00047400000000000003,0.1
5,Offset vertical (en unidades digitales),133.0,-0.0004736,12400.0,Offset vertical (en unidades digitales),47.0,-0.0004736,0.64
6,Unidades horizontales,"""s""
",-0.0004732,12600.0,Unidades horizontales,"""s""
",-0.0004732,0.08
7,Escala horizontal,4e-07,-0.0004728,12400.0,Escala horizontal,4e-07,-0.0004728,0.12
8,Cero vertical (en unidades verticales),0.0,-0.0004724,12600.0,Cero vertical (en unidades verticales),0.0,-0.0004724,0.08
9,Factor de Atenuacion,1.0E3,-0.00047200000000000003,12800.0,Factor de Atenuacion,1.0E0,-0.00047200000000000003,0.08
10,Fecha,04-06-2024 17:49:29,-0.0004716,12800.0,Fecha,04-06-2024 17:49:35,-0.0004716,0.08
11,,,-0.0004712,12600.0,,,-0.0004712,0.08
12,,,-0.0004708,13000.0,,,-0.0004708,0.24
13,,,-0.0004704,13000.0,,,-0.0004704,0.06
14,,,-0.00047000000000000004,13400.0,,,-0.00047000000000000004,0.06
15,,,-0.00046960000000000003,13000.0,,,-0.00046960000000000003,0.32
16,,,-0.0004692,13200.0,,,-0.0004692,0.06
17,,,-0.0004688,13200.0,,,-0.0004688,0.06
18,,,-0.0004684,13600.0,,,-0.0004684,0.02
19,,,-0.000468,13600.0,,,-0.000468,0.06
20,,,-0.00046760000000000004,13600.0,,,-0.00046760000000000004,0.06
21,,,-0.0004672,13600.0,,,-0.0004672,0.06
22,,,-0.0004668,13800.0,,,-0.0004668,0.04
23,,,-0.0004664,14000.0,,,-0.0004664,0.06
24,,,-0.000466,13800.0,,,-0.000466,0.04
25,,,-0.00046560000000000004,13600.0,,,-0.00046560000000000004,0.02
26,,,-0.00046520000000000003,13800.0,,,-0.00046520000000000003,0.04
27,,,-0.0004648,13800.0,,,-0.0004648,0.08
28,,,-0.0004644,14000.0,,,-0.0004644,0.04
29,,,-0.000464,14000.0,,,-0.000464,0.06
30,,,-0.0004636,14200.0,,,-0.0004636,0.1
31,,,-0.00046320000000000004,14400.0,,,-0.00046320000000000004,0.02
32,,,-0.00046280000000000003,14000.0,,,-0.00046280000000000003,0.04
33,,,-0.0004624,14400.0,,,-0.0004624,0.04
34,,,-0.000462,14200.0,,,-0.000462,0.02
35,,,-0.0004616,14200.0,,,-0.0004616,0.06
36,,,-0.0004612,14000.0,,,-0.0004612,0.04
37,,,-0.00046080000000000003,14200.0,,,-0.00046080000000000003,0.04
38,,,-0.0004604,14200.0,,,-0.0004604,0.0
