,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,6e-06,4200.0,CH activo,4,6e-06,0.1
1,Int. Temporal,2e-08,6.02e-06,4200.0,Int. Temporal,2e-08,6.02e-06,0.1
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.0E2
",6.04e-06,4400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.0E2
",6.04e-06,0.12
3,Unidades verticales,"""V""",6.0600000000000004e-06,4200.0,Unidades verticales,"""V""",6.0600000000000004e-06,0.12
4,Volts x div,5.0E3,6.08e-06,4000.0,Volts x div,5.0E-1,6.08e-06,0.08
5,Offset vertical (en unidades digitales),133.0,6.1e-06,4000.0,Offset vertical (en unidades digitales),65.0,6.1e-06,0.1
6,Unidades horizontales,"""s""
",6.12e-06,4200.0,Unidades horizontales,"""s""
",6.12e-06,0.1
7,Escala horizontal,2e-08,6.1400000000000005e-06,4200.0,Escala horizontal,2e-08,6.1400000000000005e-06,0.12
8,Cero vertical (en unidades verticales),0.0,6.16e-06,4400.0,Cero vertical (en unidades verticales),0.0,6.16e-06,0.12
9,Factor de Atenuacion,1.0E3,6.18e-06,4400.0,Factor de Atenuacion,1.0E0,6.18e-06,0.1
10,Fecha,04-06-2024 17:59:06,6.2e-06,4200.0,Fecha,04-06-2024 17:59:12,6.2e-06,0.12
11,,,6.22e-06,4400.0,,,6.22e-06,0.12
12,,,6.24e-06,4400.0,,,6.24e-06,0.14
13,,,6.26e-06,4200.0,,,6.26e-06,0.1
14,,,6.28e-06,4400.0,,,6.28e-06,0.1
15,,,6.3e-06,4400.0,,,6.3e-06,0.12
16,,,6.3200000000000005e-06,4400.0,,,6.3200000000000005e-06,0.12
17,,,6.34e-06,4400.0,,,6.34e-06,0.12
18,,,6.36e-06,4400.0,,,6.36e-06,0.1
19,,,6.38e-06,4400.0,,,6.38e-06,0.14
20,,,6.4e-06,4400.0,,,6.4e-06,0.14
21,,,6.42e-06,4200.0,,,6.42e-06,0.12
22,,,6.44e-06,4600.0,,,6.44e-06,0.12
23,,,6.46e-06,4400.0,,,6.46e-06,0.14
24,,,6.480000000000001e-06,4600.0,,,6.480000000000001e-06,0.1
25,,,6.5000000000000004e-06,4400.0,,,6.5000000000000004e-06,0.1
26,,,6.52e-06,4600.0,,,6.52e-06,0.1
27,,,6.54e-06,4600.0,,,6.54e-06,0.14
28,,,6.56e-06,4400.0,,,6.56e-06,0.12
29,,,6.5800000000000005e-06,4400.0,,,6.5800000000000005e-06,0.1
30,,,6.6e-06,4200.0,,,6.6e-06,0.14
31,,,6.62e-06,4600.0,,,6.62e-06,0.12
32,,,6.64e-06,4400.0,,,6.64e-06,0.12
33,,,6.660000000000001e-06,4400.0,,,6.660000000000001e-06,0.1
34,,,6.68e-06,4600.0,,,6.68e-06,0.1
35,,,6.7e-06,4400.0,,,6.7e-06,0.16
36,,,6.72e-06,4400.0,,,6.72e-06,0.14
37,,,6.74e-06,4600.0,,,6.74e-06,0.06
38,,,6.7600000000000005e-06,4400.0,,,6.7600000000000005e-06,0.14
39,,,6.78e-06,4400.0,,,6.78e-06,0.08
40,,,6.8e-06,4600.0,,,6.8e-06,0.1
41,,,6.82e-06,4400.0,,,6.82e-06,0.16
42,,,6.840000000000001e-06,4600.0,,,6.840000000000001e-06,0.1
43,,,6.86e-06,4600.0,,,6.86e-06,0.12
44,,,6.88e-06,4400.0,,,6.88e-06,0.1
45,,,6.9e-06,4600.0,,,6.9e-06,0.12
46,,,6.92e-06,4600.0,,,6.92e-06,0.1
47,,,6.9400000000000005e-06,4600.0,,,6.9400000000000005e-06,0.08
48,,,6.96e-06,4600.0,,,6.96e-06,0.1
49,,,6.98e-06,4400.0,,,6.98e-06,0.12
50,,,7e-06,4600.0,,,7e-06,0.12
51,,,7.0200000000000006e-06,4800.0,,,7.0200000000000006e-06,0.1
52,,,7.04e-06,4400.0,,,7.04e-06,0.12
53,,,7.06e-06,4800.0,,,7.06e-06,0.12
54,,,7.08e-06,5000.0,,,7.08e-06,0.14
55,,,7.1e-06,4800.0,,,7.1e-06,0.1
56,,,7.1200000000000004e-06,4600.0,,,7.1200000000000004e-06,0.1
57,,,7.14e-06,4600.0,,,7.14e-06,0.1
58,,,7.16e-06,4600.0,,,7.16e-06,0.14
59,,,7.18e-06,4600.0,,,7.18e-06,0.14
60,,,7.2000000000000005e-06,4800.0,,,7.2000000000000005e-06,0.12
61,,,7.22e-06,4600.0,,,7.22e-06,0.08
62,,,7.24e-06,4600.0,,,7.24e-06,0.12
63,,,7.26e-06,4600.0,,,7.26e-06,0.12
64,,,7.28e-06,4600.0,,,7.28e-06,0.1
65,,,7.3e-06,4600.0,,,7.3e-06,0.12
66,,,7.32e-06,4600.0,,,7.32e-06,0.08
67,,,7.34e-06,4600.0,,,7.34e-06,0.1
68,,,7.360000000000001e-06,4800.0,,,7.360000000000001e-06,0.12
69,,,7.3800000000000005e-06,4800.0,,,7.3800000000000005e-06,0.12
70,,,7.4e-06,4600.0,,,7.4e-06,0.08
71,,,7.42e-06,4600.0,,,7.42e-06,0.12
72,,,7.44e-06,4800.0,,,7.44e-06,0.1
73,,,7.46e-06,4800.0,,,7.46e-06,0.1
74,,,7.48e-06,4800.0,,,7.48e-06,0.1
75,,,7.5e-06,5000.0,,,7.5e-06,0.1
76,,,7.52e-06,4800.0,,,7.52e-06,0.14
77,,,7.540000000000001e-06,4800.0,,,7.540000000000001e-06,0.12
78,,,7.5600000000000005e-06,4800.0,,,7.5600000000000005e-06,0.12
79,,,7.58e-06,4800.0,,,7.58e-06,0.12
80,,,7.6e-06,5000.0,,,7.6e-06,0.1
81,,,7.62e-06,4800.0,,,7.62e-06,0.12
82,,,7.64e-06,4800.0,,,7.64e-06,0.12
83,,,7.66e-06,4800.0,,,7.66e-06,0.12
84,,,7.680000000000001e-06,5000.0,,,7.680000000000001e-06,0.1
85,,,7.7e-06,4600.0,,,7.7e-06,0.1
86,,,7.72e-06,4800.0,,,7.72e-06,0.12
87,,,7.74e-06,4800.0,,,7.74e-06,0.14
88,,,7.76e-06,4800.0,,,7.76e-06,0.12
89,,,7.78e-06,4800.0,,,7.78e-06,0.06
90,,,7.8e-06,4800.0,,,7.8e-06,0.12
91,,,7.82e-06,4800.0,,,7.82e-06,0.1
92,,,7.84e-06,5000.0,,,7.84e-06,0.1
93,,,7.86e-06,4800.0,,,7.86e-06,0.08
94,,,7.88e-06,4800.0,,,7.88e-06,0.1
95,,,7.9e-06,4800.0,,,7.9e-06,0.12
96,,,7.92e-06,5000.0,,,7.92e-06,0.12
97,,,7.94e-06,5000.0,,,7.94e-06,0.12
98,,,7.96e-06,4800.0,,,7.96e-06,0.08
99,,,7.98e-06,5000.0,,,7.98e-06,0.08
100,,,8e-06,5000.0,,,8e-06,0.1
