,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.000146,4400.0,CH activo,4,-0.000146,-0.06
1,Int. Temporal,1e-07,-0.0001459,4400.0,Int. Temporal,1e-07,-0.0001459,-0.04
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.0E3
",-0.0001458,4400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.0E3
",-0.0001458,-0.06
3,Unidades verticales,"""V""",-0.0001457,4200.0,Unidades verticales,"""V""",-0.0001457,-0.06
4,Volts x div,5.0E3,-0.0001456,4400.0,Volts x div,5.0E-1,-0.0001456,-0.06
5,Offset vertical (en unidades digitales),125.0,-0.00014549999999999999,4200.0,Offset vertical (en unidades digitales),87.0,-0.00014549999999999999,-0.1
6,Unidades horizontales,"""s""
",-0.0001454,4200.0,Unidades horizontales,"""s""
",-0.0001454,-0.06
7,Escala horizontal,1e-07,-0.0001453,4200.0,Escala horizontal,1e-07,-0.0001453,-0.1
8,Cero vertical (en unidades verticales),0.0,-0.0001452,4400.0,Cero vertical (en unidades verticales),0.0,-0.0001452,-0.06
9,Factor de Atenuacion,1.0E3,-0.0001451,4000.0,Factor de Atenuacion,1.0E0,-0.0001451,-0.06
10,Fecha,05-04-2024 10:21:39,-0.000145,4400.0,Fecha,05-04-2024 10:21:45,-0.000145,-0.04
11,,,-0.0001449,4200.0,,,-0.0001449,-0.08
12,,,-0.0001448,4000.0,,,-0.0001448,-0.06
13,,,-0.0001447,4000.0,,,-0.0001447,-0.06
14,,,-0.0001446,4200.0,,,-0.0001446,-0.04
15,,,-0.0001445,4000.0,,,-0.0001445,-0.06
16,,,-0.00014439999999999999,3800.0,,,-0.00014439999999999999,-0.06
17,,,-0.0001443,4200.0,,,-0.0001443,-0.04
18,,,-0.0001442,3600.0,,,-0.0001442,-0.04
19,,,-0.0001441,3800.0,,,-0.0001441,-0.04
20,,,-0.000144,3800.0,,,-0.000144,-0.06
21,,,-0.0001439,3600.0,,,-0.0001439,-0.06
22,,,-0.0001438,3800.0,,,-0.0001438,-0.04
23,,,-0.0001437,3800.0,,,-0.0001437,-0.06
24,,,-0.0001436,3800.0,,,-0.0001436,-0.06
25,,,-0.0001435,4000.0,,,-0.0001435,-0.02
26,,,-0.0001434,3600.0,,,-0.0001434,-0.06
27,,,-0.0001433,3800.0,,,-0.0001433,-0.04
28,,,-0.0001432,3800.0,,,-0.0001432,-0.06
