,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-2e-07,6000.0,CH activo,4,-2e-07,1.12
1,Int. Temporal,2e-08,-1.8e-07,6200.0,Int. Temporal,2e-08,-1.8e-07,0.96
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.0E3
",-1.6e-07,6200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.0E3
",-1.6e-07,1.04
3,Unidades verticales,"""V""",-1.3999999999999998e-07,6400.0,Unidades verticales,"""V""",-1.3999999999999998e-07,1.12
4,Volts x div,5.0E3,-1.2e-07,6400.0,Volts x div,2.0E0,-1.2e-07,1.04
5,Offset vertical (en unidades digitales),133.0,-1e-07,6200.0,Offset vertical (en unidades digitales),46.0,-1e-07,1.04
6,Unidades horizontales,"""s""
",-7.999999999999998e-08,6200.0,Unidades horizontales,"""s""
",-7.999999999999998e-08,0.88
7,Escala horizontal,2e-08,-5.999999999999998e-08,6200.0,Escala horizontal,2e-08,-5.999999999999998e-08,0.96
8,Cero vertical (en unidades verticales),0.0,-3.999999999999999e-08,6400.0,Cero vertical (en unidades verticales),0.0,-3.999999999999999e-08,1.04
9,Factor de Atenuacion,1.0E3,-1.9999999999999994e-08,6000.0,Factor de Atenuacion,1.0E1,-1.9999999999999994e-08,1.04
10,Fecha,05-07-2024 14:07:28,0.0,6200.0,Fecha,05-07-2024 14:07:34,0.0,0.88
11,,,2.000000000000002e-08,6400.0,,,2.000000000000002e-08,0.88
12,,,4.000000000000004e-08,6200.0,,,4.000000000000004e-08,1.12
13,,,6.000000000000001e-08,6400.0,,,6.000000000000001e-08,0.96
14,,,8.000000000000003e-08,6200.0,,,8.000000000000003e-08,0.96
15,,,1e-07,6200.0,,,1e-07,1.04
16,,,1.2000000000000002e-07,6200.0,,,1.2000000000000002e-07,1.04
17,,,1.4000000000000004e-07,6400.0,,,1.4000000000000004e-07,1.04
18,,,1.6e-07,6400.0,,,1.6e-07,1.12
19,,,1.8000000000000002e-07,6200.0,,,1.8000000000000002e-07,0.96
20,,,2e-07,6200.0,,,2e-07,1.04
21,,,2.2e-07,6200.0,,,2.2e-07,1.04
22,,,2.4000000000000003e-07,6600.0,,,2.4000000000000003e-07,1.04
23,,,2.6e-07,6400.0,,,2.6e-07,1.12
24,,,2.8000000000000007e-07,6400.0,,,2.8000000000000007e-07,1.12
25,,,3e-07,6400.0,,,3e-07,1.04
26,,,3.2e-07,6400.0,,,3.2e-07,1.12
27,,,3.4000000000000003e-07,6400.0,,,3.4000000000000003e-07,1.04
28,,,3.6000000000000005e-07,6400.0,,,3.6000000000000005e-07,0.96
29,,,3.8000000000000007e-07,6200.0,,,3.8000000000000007e-07,1.04
30,,,4e-07,6200.0,,,4e-07,1.04
31,,,4.2e-07,6600.0,,,4.2e-07,1.04
32,,,4.4e-07,6600.0,,,4.4e-07,0.96
33,,,4.6000000000000004e-07,6400.0,,,4.6000000000000004e-07,1.04
34,,,4.800000000000001e-07,6400.0,,,4.800000000000001e-07,1.04
35,,,5e-07,6400.0,,,5e-07,0.96
36,,,5.2e-07,6400.0,,,5.2e-07,1.04
37,,,5.4e-07,6600.0,,,5.4e-07,1.04
38,,,5.6e-07,6600.0,,,5.6e-07,1.04
39,,,5.800000000000001e-07,6600.0,,,5.800000000000001e-07,1.04
40,,,6e-07,6600.0,,,6e-07,1.12
41,,,6.2e-07,6600.0,,,6.2e-07,1.04
42,,,6.4e-07,6400.0,,,6.4e-07,0.96
43,,,6.6e-07,6600.0,,,6.6e-07,0.96
44,,,6.800000000000001e-07,6600.0,,,6.800000000000001e-07,1.04
45,,,7.000000000000001e-07,6600.0,,,7.000000000000001e-07,1.04
46,,,7.2e-07,6600.0,,,7.2e-07,1.12
