,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.00025,2000.0,CH activo,4,-0.00025,0.48
1,Int. Temporal,2e-07,-0.0002498,2000.0,Int. Temporal,2e-07,-0.0002498,0.64
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.0E3
",-0.0002496,2200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.0E3
",-0.0002496,0.64
3,Unidades verticales,"""V""",-0.0002494,2200.0,Unidades verticales,"""V""",-0.0002494,0.64
4,Volts x div,5.0E3,-0.0002492,2200.0,Volts x div,2.0E0,-0.0002492,0.64
5,Offset vertical (en unidades digitales),133.0,-0.000249,2000.0,Offset vertical (en unidades digitales),78.0,-0.000249,0.56
6,Unidades horizontales,"""s""
",-0.00024880000000000003,2200.0,Unidades horizontales,"""s""
",-0.00024880000000000003,0.72
7,Escala horizontal,2e-07,-0.0002486,2400.0,Escala horizontal,2e-07,-0.0002486,0.72
8,Cero vertical (en unidades verticales),0.0,-0.0002484,2600.0,Cero vertical (en unidades verticales),0.0,-0.0002484,0.64
9,Factor de Atenuacion,1.0E3,-0.0002482,2600.0,Factor de Atenuacion,1.0E1,-0.0002482,0.72
10,Fecha,05-07-2024 14:06:23,-0.000248,2800.0,Fecha,05-07-2024 14:06:29,-0.000248,0.64
11,,,-0.0002478,2600.0,,,-0.0002478,0.64
12,,,-0.0002476,2800.0,,,-0.0002476,0.72
13,,,-0.0002474,2800.0,,,-0.0002474,0.8
14,,,-0.0002472,3200.0,,,-0.0002472,0.72
15,,,-0.000247,3000.0,,,-0.000247,0.64
16,,,-0.0002468,3000.0,,,-0.0002468,0.72
17,,,-0.00024660000000000003,3000.0,,,-0.00024660000000000003,0.72
18,,,-0.0002464,3200.0,,,-0.0002464,0.8
19,,,-0.0002462,3400.0,,,-0.0002462,0.72
20,,,-0.000246,3400.0,,,-0.000246,0.72
21,,,-0.0002458,3400.0,,,-0.0002458,0.72
22,,,-0.0002456,3400.0,,,-0.0002456,0.88
23,,,-0.0002454,3400.0,,,-0.0002454,0.8
24,,,-0.0002452,3400.0,,,-0.0002452,0.64
25,,,-0.000245,3600.0,,,-0.000245,0.8
26,,,-0.0002448,3600.0,,,-0.0002448,0.8
27,,,-0.0002446,3800.0,,,-0.0002446,0.8
28,,,-0.00024440000000000003,3800.0,,,-0.00024440000000000003,0.8
29,,,-0.0002442,4000.0,,,-0.0002442,0.72
30,,,-0.000244,3800.0,,,-0.000244,0.8
31,,,-0.00024380000000000002,4200.0,,,-0.00024380000000000002,0.72
32,,,-0.0002436,4000.0,,,-0.0002436,0.8
33,,,-0.0002434,4400.0,,,-0.0002434,0.88
34,,,-0.0002432,4400.0,,,-0.0002432,0.88
35,,,-0.000243,4600.0,,,-0.000243,0.8
36,,,-0.0002428,4400.0,,,-0.0002428,0.8
37,,,-0.00024260000000000002,4800.0,,,-0.00024260000000000002,0.88
