,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.000221,10480.0,CH activo,4,-0.000221,1.0
1,Int. Temporal,2e-07,-0.0002208,10480.0,Int. Temporal,2e-07,-0.0002208,1.2000000000000002
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.0E3
",-0.0002206,10640.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.0E3
",-0.0002206,1.0
3,Unidades verticales,"""V""",-0.00022040000000000002,10640.0,Unidades verticales,"""V""",-0.00022040000000000002,1.2000000000000002
4,Volts x div,2.0E3,-0.0002202,10720.0,Volts x div,5.0E0,-0.0002202,1.2000000000000002
5,Offset vertical (en unidades digitales),41.0,-0.00022,10800.0,Offset vertical (en unidades digitales),82.0,-0.00022,1.0
6,Unidades horizontales,"""s""
",-0.0002198,10880.0,Unidades horizontales,"""s""
",-0.0002198,1.2000000000000002
7,Escala horizontal,2e-07,-0.0002196,11040.0,Escala horizontal,2e-07,-0.0002196,0.8
8,Cero vertical (en unidades verticales),0.0,-0.0002194,11120.0,Cero vertical (en unidades verticales),0.0,-0.0002194,1.2000000000000002
9,Factor de Atenuacion,1.0E3,-0.00021920000000000002,11040.0,Factor de Atenuacion,1.0E1,-0.00021920000000000002,1.4000000000000001
10,Fecha,05-07-2024 08:49:16,-0.000219,11200.0,Fecha,05-07-2024 08:49:21,-0.000219,1.0
11,,,-0.0002188,11200.0,,,-0.0002188,1.2000000000000002
12,,,-0.0002186,11280.0,,,-0.0002186,1.2000000000000002
13,,,-0.0002184,11440.0,,,-0.0002184,1.0
14,,,-0.00021820000000000002,11440.0,,,-0.00021820000000000002,1.0
15,,,-0.000218,11520.0,,,-0.000218,0.6000000000000001
16,,,-0.0002178,11680.0,,,-0.0002178,1.2000000000000002
17,,,-0.0002176,11600.0,,,-0.0002176,1.0
18,,,-0.0002174,11680.0,,,-0.0002174,1.2000000000000002
19,,,-0.0002172,11840.0,,,-0.0002172,1.0
20,,,-0.00021700000000000002,11840.0,,,-0.00021700000000000002,1.0
21,,,-0.0002168,11840.0,,,-0.0002168,0.8
22,,,-0.0002166,11920.0,,,-0.0002166,1.0
23,,,-0.0002164,12000.0,,,-0.0002164,1.0
24,,,-0.0002162,12160.0,,,-0.0002162,1.0
25,,,-0.000216,12240.0,,,-0.000216,1.0
26,,,-0.00021580000000000001,12160.0,,,-0.00021580000000000001,0.8
27,,,-0.0002156,12320.0,,,-0.0002156,1.8
28,,,-0.0002154,12400.0,,,-0.0002154,0.8
29,,,-0.0002152,12480.0,,,-0.0002152,0.8
30,,,-0.000215,12480.0,,,-0.000215,1.2000000000000002
31,,,-0.00021480000000000002,12560.0,,,-0.00021480000000000002,0.8
32,,,-0.0002146,12640.0,,,-0.0002146,1.0
33,,,-0.0002144,12640.0,,,-0.0002144,0.8
34,,,-0.0002142,12640.0,,,-0.0002142,1.0
35,,,-0.000214,12640.0,,,-0.000214,0.8
36,,,-0.0002138,12800.0,,,-0.0002138,1.0
37,,,-0.00021360000000000001,12800.0,,,-0.00021360000000000001,1.0
38,,,-0.0002134,12960.0,,,-0.0002134,0.8
39,,,-0.0002132,12960.0,,,-0.0002132,1.0
40,,,-0.000213,12960.0,,,-0.000213,0.4
41,,,-0.0002128,13120.0,,,-0.0002128,1.0
42,,,-0.00021260000000000002,12960.0,,,-0.00021260000000000002,0.8
43,,,-0.0002124,13120.0,,,-0.0002124,0.4
44,,,-0.0002122,13200.0,,,-0.0002122,1.0
45,,,-0.000212,13200.0,,,-0.000212,1.0
46,,,-0.0002118,13200.0,,,-0.0002118,0.8
47,,,-0.0002116,13360.0,,,-0.0002116,0.8
48,,,-0.00021140000000000002,13520.0,,,-0.00021140000000000002,0.6000000000000001
49,,,-0.0002112,13520.0,,,-0.0002112,0.8
50,,,-0.000211,13440.0,,,-0.000211,0.8
51,,,-0.0002108,13520.0,,,-0.0002108,1.0
52,,,-0.0002106,13600.0,,,-0.0002106,0.6000000000000001
53,,,-0.00021040000000000002,13600.0,,,-0.00021040000000000002,0.8
54,,,-0.00021020000000000001,13600.0,,,-0.00021020000000000001,1.6
55,,,-0.00021,13680.0,,,-0.00021,0.4
56,,,-0.0002098,13680.0,,,-0.0002098,0.6000000000000001
57,,,-0.0002096,13760.0,,,-0.0002096,0.8
58,,,-0.0002094,13840.0,,,-0.0002094,0.8
59,,,-0.00020920000000000002,13760.0,,,-0.00020920000000000002,3.2
60,,,-0.000209,13760.0,,,-0.000209,0.8
61,,,-0.0002088,13840.0,,,-0.0002088,1.0
62,,,-0.0002086,13920.0,,,-0.0002086,0.6000000000000001
63,,,-0.0002084,13840.0,,,-0.0002084,0.8
64,,,-0.00020820000000000002,13920.0,,,-0.00020820000000000002,0.4
65,,,-0.00020800000000000001,13920.0,,,-0.00020800000000000001,0.0
66,,,-0.0002078,14080.0,,,-0.0002078,1.0
67,,,-0.0002076,13920.0,,,-0.0002076,2.4000000000000004
68,,,-0.0002074,14080.0,,,-0.0002074,0.6000000000000001
69,,,-0.0002072,14000.0,,,-0.0002072,0.4
70,,,-0.00020700000000000002,14160.0,,,-0.00020700000000000002,0.8
71,,,-0.0002068,14080.0,,,-0.0002068,0.6000000000000001
72,,,-0.0002066,14160.0,,,-0.0002066,0.8
73,,,-0.0002064,14240.0,,,-0.0002064,0.4
74,,,-0.0002062,14240.0,,,-0.0002062,0.8
75,,,-0.00020600000000000002,14080.0,,,-0.00020600000000000002,0.8
76,,,-0.00020580000000000002,14160.0,,,-0.00020580000000000002,0.6000000000000001
77,,,-0.0002056,14320.0,,,-0.0002056,0.4
78,,,-0.0002054,14400.0,,,-0.0002054,0.6000000000000001
79,,,-0.0002052,14400.0,,,-0.0002052,0.6000000000000001
80,,,-0.000205,14400.0,,,-0.000205,0.6000000000000001
81,,,-0.0002048,14560.0,,,-0.0002048,0.4
82,,,-0.0002046,14480.0,,,-0.0002046,0.6000000000000001
83,,,-0.0002044,14480.0,,,-0.0002044,0.6000000000000001
84,,,-0.0002042,14320.0,,,-0.0002042,0.6000000000000001
85,,,-0.000204,14560.0,,,-0.000204,0.6000000000000001
86,,,-0.00020380000000000002,14480.0,,,-0.00020380000000000002,0.4
87,,,-0.00020360000000000002,14480.0,,,-0.00020360000000000002,0.2
88,,,-0.0002034,14480.0,,,-0.0002034,0.4
89,,,-0.0002032,14560.0,,,-0.0002032,0.4
90,,,-0.000203,14640.0,,,-0.000203,0.0
91,,,-0.0002028,14560.0,,,-0.0002028,0.4
92,,,-0.0002026,14560.0,,,-0.0002026,0.2
93,,,-0.00020240000000000001,14640.0,,,-0.00020240000000000001,0.0
94,,,-0.0002022,14640.0,,,-0.0002022,0.4
95,,,-0.000202,14640.0,,,-0.000202,0.2
96,,,-0.0002018,14640.0,,,-0.0002018,0.2
97,,,-0.0002016,14640.0,,,-0.0002016,0.0
98,,,-0.00020140000000000002,14720.0,,,-0.00020140000000000002,0.2
99,,,-0.0002012,14640.0,,,-0.0002012,0.2
100,,,-0.000201,14720.0,,,-0.000201,0.2
101,,,-0.0002008,14720.0,,,-0.0002008,0.2
102,,,-0.0002006,14640.0,,,-0.0002006,0.2
103,,,-0.0002004,14800.0,,,-0.0002004,0.0
104,,,-0.00020020000000000001,14640.0,,,-0.00020020000000000001,0.4
105,,,-0.0002,14720.0,,,-0.0002,0.2
106,,,-0.0001998,14720.0,,,-0.0001998,0.2
107,,,-0.0001996,14720.0,,,-0.0001996,0.2
108,,,-0.0001994,14640.0,,,-0.0001994,0.4
109,,,-0.00019920000000000002,14800.0,,,-0.00019920000000000002,0.2
110,,,-0.000199,14560.0,,,-0.000199,0.4
111,,,-0.0001988,14640.0,,,-0.0001988,0.0
112,,,-0.0001986,14720.0,,,-0.0001986,0.2
113,,,-0.0001984,14720.0,,,-0.0001984,0.2
114,,,-0.0001982,14720.0,,,-0.0001982,0.0
115,,,-0.00019800000000000002,14640.0,,,-0.00019800000000000002,0.0
116,,,-0.0001978,14640.0,,,-0.0001978,0.0
117,,,-0.0001976,14640.0,,,-0.0001976,0.0
118,,,-0.0001974,14640.0,,,-0.0001974,0.0
119,,,-0.0001972,14640.0,,,-0.0001972,0.2
120,,,-0.00019700000000000002,14560.0,,,-0.00019700000000000002,0.2
121,,,-0.0001968,14640.0,,,-0.0001968,0.0
122,,,-0.0001966,14640.0,,,-0.0001966,0.2
123,,,-0.0001964,14640.0,,,-0.0001964,0.2
124,,,-0.0001962,14560.0,,,-0.0001962,0.0
125,,,-0.000196,14320.0,,,-0.000196,-0.2
