,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.000125,6200.0,CH activo,4,-0.000125,1.2
1,Int. Temporal,1e-07,-0.0001249,6400.0,Int. Temporal,1e-07,-0.0001249,1.2
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.293989E3
",-0.0001248,6400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.293989E3
",-0.0001248,1.2
3,Unidades verticales,"""V""",-0.0001247,6200.0,Unidades verticales,"""V""",-0.0001247,1.2
4,Volts x div,5.0E3,-0.0001246,6400.0,Volts x div,2.0E0,-0.0001246,0.96
5,Offset vertical (en unidades digitales),110.0,-0.0001245,6400.0,Offset vertical (en unidades digitales),68.0,-0.0001245,1.28
6,Unidades horizontales,"""s""
",-0.00012440000000000002,6600.0,Unidades horizontales,"""s""
",-0.00012440000000000002,1.28
7,Escala horizontal,1e-07,-0.0001243,6600.0,Escala horizontal,1e-07,-0.0001243,1.28
8,Cero vertical (en unidades verticales),0.0,-0.0001242,6600.0,Cero vertical (en unidades verticales),0.0,-0.0001242,1.28
9,Factor de Atenuacion,1.0E3,-0.0001241,6600.0,Factor de Atenuacion,1.0E1,-0.0001241,1.2
10,Fecha,05-07-2024 09:27:09,-0.000124,6400.0,Fecha,05-07-2024 09:27:15,-0.000124,1.28
11,,,-0.0001239,6600.0,,,-0.0001239,1.36
12,,,-0.0001238,6600.0,,,-0.0001238,1.36
13,,,-0.0001237,6800.0,,,-0.0001237,1.28
14,,,-0.0001236,6800.0,,,-0.0001236,1.2
15,,,-0.0001235,6800.0,,,-0.0001235,1.36
16,,,-0.0001234,6800.0,,,-0.0001234,1.28
17,,,-0.00012330000000000002,7000.0,,,-0.00012330000000000002,1.28
18,,,-0.0001232,7000.0,,,-0.0001232,1.28
19,,,-0.0001231,7200.0,,,-0.0001231,1.28
20,,,-0.000123,7000.0,,,-0.000123,1.28
21,,,-0.0001229,7000.0,,,-0.0001229,1.2
22,,,-0.0001228,7200.0,,,-0.0001228,1.36
23,,,-0.0001227,7200.0,,,-0.0001227,1.28
24,,,-0.0001226,7200.0,,,-0.0001226,1.36
25,,,-0.0001225,7400.0,,,-0.0001225,1.2
26,,,-0.0001224,7400.0,,,-0.0001224,1.28
27,,,-0.0001223,7200.0,,,-0.0001223,1.28
28,,,-0.00012220000000000002,7400.0,,,-0.00012220000000000002,1.36
29,,,-0.0001221,7400.0,,,-0.0001221,1.28
30,,,-0.000122,7400.0,,,-0.000122,1.28
31,,,-0.00012190000000000001,7400.0,,,-0.00012190000000000001,1.28
32,,,-0.0001218,7600.0,,,-0.0001218,1.28
33,,,-0.0001217,7400.0,,,-0.0001217,1.28
34,,,-0.0001216,7800.0,,,-0.0001216,1.2
35,,,-0.0001215,7800.0,,,-0.0001215,1.2
36,,,-0.0001214,7800.0,,,-0.0001214,1.28
37,,,-0.00012130000000000001,7800.0,,,-0.00012130000000000001,1.28
38,,,-0.0001212,7800.0,,,-0.0001212,1.12
39,,,-0.0001211,8000.0,,,-0.0001211,1.2
40,,,-0.000121,8000.0,,,-0.000121,1.28
41,,,-0.0001209,8000.0,,,-0.0001209,1.28
42,,,-0.00012080000000000001,7800.0,,,-0.00012080000000000001,1.28
43,,,-0.0001207,8200.0,,,-0.0001207,1.28
44,,,-0.0001206,8000.0,,,-0.0001206,1.2
45,,,-0.0001205,8000.0,,,-0.0001205,1.28
46,,,-0.0001204,8000.0,,,-0.0001204,1.2
47,,,-0.0001203,8200.0,,,-0.0001203,1.2
48,,,-0.00012020000000000001,8200.0,,,-0.00012020000000000001,1.28
49,,,-0.0001201,8400.0,,,-0.0001201,1.28
50,,,-0.00012,8400.0,,,-0.00012,1.12
51,,,-0.0001199,8400.0,,,-0.0001199,1.28
52,,,-0.0001198,8400.0,,,-0.0001198,1.36
53,,,-0.00011970000000000001,8200.0,,,-0.00011970000000000001,1.28
54,,,-0.00011960000000000001,8400.0,,,-0.00011960000000000001,1.2
55,,,-0.0001195,8600.0,,,-0.0001195,1.2
56,,,-0.0001194,8600.0,,,-0.0001194,1.28
57,,,-0.0001193,8600.0,,,-0.0001193,1.28
58,,,-0.0001192,8800.0,,,-0.0001192,1.2
