,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,1e-05,10600.0,CH activo,4,1e-05,0.1
1,Int. Temporal,2e-08,1.002e-05,10600.0,Int. Temporal,2e-08,1.002e-05,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",1.004e-05,10600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",1.004e-05,0.08
3,Unidades verticales,"""V""",1.006e-05,10600.0,Unidades verticales,"""V""",1.006e-05,0.12
4,Volts x div,5.0E3,1.008e-05,10800.0,Volts x div,5.0E-1,1.008e-05,0.12
5,Offset vertical (en unidades digitales),123.0,1.0100000000000002e-05,10800.0,Offset vertical (en unidades digitales),43.0,1.0100000000000002e-05,0.12
6,Unidades horizontales,"""s""
",1.0120000000000001e-05,10600.0,Unidades horizontales,"""s""
",1.0120000000000001e-05,0.08
7,Escala horizontal,2e-08,1.0140000000000001e-05,10800.0,Escala horizontal,2e-08,1.0140000000000001e-05,0.1
8,Cero vertical (en unidades verticales),0.0,1.0160000000000001e-05,10600.0,Cero vertical (en unidades verticales),0.0,1.0160000000000001e-05,0.12
9,Factor de Atenuacion,1.0E3,1.018e-05,10800.0,Factor de Atenuacion,1.0E0,1.018e-05,0.12
10,Fecha,10-05-2024 13:44:25,1.02e-05,11000.0,Fecha,10-05-2024 13:44:30,1.02e-05,0.1
11,,,1.022e-05,10800.0,,,1.022e-05,0.08
12,,,1.024e-05,10800.0,,,1.024e-05,0.1
13,,,1.026e-05,10800.0,,,1.026e-05,0.12
14,,,1.0280000000000002e-05,11000.0,,,1.0280000000000002e-05,0.1
15,,,1.0300000000000001e-05,10600.0,,,1.0300000000000001e-05,0.08
16,,,1.0320000000000001e-05,10800.0,,,1.0320000000000001e-05,0.1
17,,,1.0340000000000001e-05,10600.0,,,1.0340000000000001e-05,0.1
18,,,1.036e-05,10800.0,,,1.036e-05,0.12
19,,,1.038e-05,11000.0,,,1.038e-05,0.1
20,,,1.04e-05,10600.0,,,1.04e-05,0.1
21,,,1.042e-05,10800.0,,,1.042e-05,0.1
22,,,1.0440000000000002e-05,10800.0,,,1.0440000000000002e-05,0.08
23,,,1.0460000000000001e-05,11000.0,,,1.0460000000000001e-05,0.12
24,,,1.0480000000000001e-05,11000.0,,,1.0480000000000001e-05,0.08
25,,,1.0500000000000001e-05,10800.0,,,1.0500000000000001e-05,0.08
26,,,1.0520000000000001e-05,10800.0,,,1.0520000000000001e-05,0.12
27,,,1.054e-05,10800.0,,,1.054e-05,0.08
28,,,1.056e-05,10800.0,,,1.056e-05,0.1
29,,,1.058e-05,10800.0,,,1.058e-05,0.1
30,,,1.06e-05,10800.0,,,1.06e-05,0.1
31,,,1.062e-05,10800.0,,,1.062e-05,0.1
32,,,1.0640000000000001e-05,11000.0,,,1.0640000000000001e-05,0.12
33,,,1.0660000000000001e-05,10800.0,,,1.0660000000000001e-05,0.12
34,,,1.0680000000000001e-05,10600.0,,,1.0680000000000001e-05,0.08
35,,,1.0700000000000001e-05,10800.0,,,1.0700000000000001e-05,0.1
36,,,1.072e-05,10800.0,,,1.072e-05,0.08
37,,,1.074e-05,11200.0,,,1.074e-05,0.1
38,,,1.076e-05,11000.0,,,1.076e-05,0.1
39,,,1.078e-05,11000.0,,,1.078e-05,0.06
40,,,1.0800000000000002e-05,10800.0,,,1.0800000000000002e-05,0.12
41,,,1.0820000000000001e-05,11000.0,,,1.0820000000000001e-05,0.08
42,,,1.0840000000000001e-05,11200.0,,,1.0840000000000001e-05,0.08
43,,,1.0860000000000001e-05,11000.0,,,1.0860000000000001e-05,0.1
44,,,1.0880000000000001e-05,11000.0,,,1.0880000000000001e-05,0.1
45,,,1.09e-05,11000.0,,,1.09e-05,0.1
46,,,1.092e-05,11200.0,,,1.092e-05,0.12
47,,,1.094e-05,11200.0,,,1.094e-05,0.08
48,,,1.096e-05,11000.0,,,1.096e-05,0.08
49,,,1.098e-05,11000.0,,,1.098e-05,0.08
50,,,1.1000000000000001e-05,11000.0,,,1.1000000000000001e-05,0.08
51,,,1.1020000000000001e-05,11000.0,,,1.1020000000000001e-05,0.12
52,,,1.1040000000000001e-05,11000.0,,,1.1040000000000001e-05,0.1
53,,,1.106e-05,11200.0,,,1.106e-05,0.08
54,,,1.108e-05,11000.0,,,1.108e-05,0.12
55,,,1.11e-05,11200.0,,,1.11e-05,0.12
56,,,1.112e-05,11200.0,,,1.112e-05,0.12
57,,,1.1140000000000002e-05,11000.0,,,1.1140000000000002e-05,0.1
58,,,1.1160000000000002e-05,11200.0,,,1.1160000000000002e-05,0.08
59,,,1.1180000000000001e-05,11200.0,,,1.1180000000000001e-05,0.12
60,,,1.1200000000000001e-05,11000.0,,,1.1200000000000001e-05,0.1
61,,,1.1220000000000001e-05,11200.0,,,1.1220000000000001e-05,0.1
62,,,1.124e-05,11000.0,,,1.124e-05,0.1
63,,,1.126e-05,11200.0,,,1.126e-05,0.1
64,,,1.128e-05,11000.0,,,1.128e-05,0.12
65,,,1.13e-05,11200.0,,,1.13e-05,0.1
66,,,1.132e-05,11000.0,,,1.132e-05,0.1
67,,,1.1340000000000002e-05,11200.0,,,1.1340000000000002e-05,0.08
68,,,1.1360000000000001e-05,11200.0,,,1.1360000000000001e-05,0.1
69,,,1.1380000000000001e-05,11000.0,,,1.1380000000000001e-05,0.1
70,,,1.1400000000000001e-05,11200.0,,,1.1400000000000001e-05,0.1
71,,,1.142e-05,11200.0,,,1.142e-05,0.12
72,,,1.144e-05,11200.0,,,1.144e-05,0.08
73,,,1.146e-05,11200.0,,,1.146e-05,0.1
74,,,1.148e-05,11200.0,,,1.148e-05,0.12
