,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-9e-05,16000.0,CH activo,4,-9e-05,0.06
1,Int. Temporal,1e-07,-8.99e-05,15800.0,Int. Temporal,1e-07,-8.99e-05,0.06
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-8.98e-05,16200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-8.98e-05,0.06
3,Unidades verticales,"""V""",-8.970000000000001e-05,16000.0,Unidades verticales,"""V""",-8.970000000000001e-05,0.04
4,Volts x div,5.0E3,-8.960000000000001e-05,16200.0,Volts x div,5.0E-1,-8.960000000000001e-05,0.04
5,Offset vertical (en unidades digitales),123.0,-8.950000000000001e-05,16000.0,Offset vertical (en unidades digitales),43.0,-8.950000000000001e-05,0.04
6,Unidades horizontales,"""s""
",-8.94e-05,16000.0,Unidades horizontales,"""s""
",-8.94e-05,0.06
7,Escala horizontal,1e-07,-8.93e-05,16200.0,Escala horizontal,1e-07,-8.93e-05,0.04
8,Cero vertical (en unidades verticales),0.0,-8.92e-05,16200.0,Cero vertical (en unidades verticales),0.0,-8.92e-05,0.02
9,Factor de Atenuacion,1.0E3,-8.910000000000001e-05,16200.0,Factor de Atenuacion,1.0E0,-8.910000000000001e-05,0.02
10,Fecha,10-05-2024 13:43:35,-8.900000000000001e-05,16200.0,Fecha,10-05-2024 13:43:40,-8.900000000000001e-05,0.02
11,,,-8.89e-05,16200.0,,,-8.89e-05,0.04
12,,,-8.88e-05,16200.0,,,-8.88e-05,0.04
13,,,-8.87e-05,16200.0,,,-8.87e-05,0.04
14,,,-8.860000000000001e-05,16400.0,,,-8.860000000000001e-05,0.02
15,,,-8.850000000000001e-05,16000.0,,,-8.850000000000001e-05,0.04
16,,,-8.840000000000001e-05,16200.0,,,-8.840000000000001e-05,0.04
17,,,-8.83e-05,16200.0,,,-8.83e-05,0.04
18,,,-8.82e-05,16000.0,,,-8.82e-05,0.04
19,,,-8.81e-05,16400.0,,,-8.81e-05,0.04
