,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,6.6e-06,9600.0,CH activo,4,6.6e-06,0.04
1,Int. Temporal,2e-08,6.62e-06,9600.0,Int. Temporal,2e-08,6.62e-06,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",6.64e-06,9600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",6.64e-06,0.08
3,Unidades verticales,"""V""",6.660000000000001e-06,9600.0,Unidades verticales,"""V""",6.660000000000001e-06,0.04
4,Volts x div,5.0E3,6.68e-06,9200.0,Volts x div,1.0E0,6.68e-06,0.04
5,Offset vertical (en unidades digitales),123.0,6.7e-06,9600.0,Offset vertical (en unidades digitales),44.0,6.7e-06,0.08
6,Unidades horizontales,"""s""
",6.72e-06,9400.0,Unidades horizontales,"""s""
",6.72e-06,0.08
7,Escala horizontal,2e-08,6.740000000000001e-06,9600.0,Escala horizontal,2e-08,6.740000000000001e-06,0.08
8,Cero vertical (en unidades verticales),0.0,6.7600000000000005e-06,9600.0,Cero vertical (en unidades verticales),0.0,6.7600000000000005e-06,0.04
9,Factor de Atenuacion,1.0E3,6.78e-06,9600.0,Factor de Atenuacion,1.0E0,6.78e-06,0.08
10,Fecha,10-05-2024 13:22:48,6.8e-06,9600.0,Fecha,10-05-2024 13:22:54,6.8e-06,0.08
11,,,6.820000000000001e-06,9400.0,,,6.820000000000001e-06,0.04
12,,,6.840000000000001e-06,9400.0,,,6.840000000000001e-06,0.04
13,,,6.86e-06,9600.0,,,6.86e-06,0.08
14,,,6.88e-06,9600.0,,,6.88e-06,0.08
15,,,6.9e-06,9400.0,,,6.9e-06,0.04
16,,,6.920000000000001e-06,9400.0,,,6.920000000000001e-06,0.04
17,,,6.9400000000000005e-06,9400.0,,,6.9400000000000005e-06,0.0
18,,,6.96e-06,9400.0,,,6.96e-06,0.12
19,,,6.98e-06,9600.0,,,6.98e-06,0.04
20,,,7.000000000000001e-06,9600.0,,,7.000000000000001e-06,0.08
21,,,7.0200000000000006e-06,9600.0,,,7.0200000000000006e-06,0.04
22,,,7.04e-06,9800.0,,,7.04e-06,0.08
23,,,7.06e-06,9600.0,,,7.06e-06,0.12
24,,,7.08e-06,9400.0,,,7.08e-06,0.08
25,,,7.100000000000001e-06,9600.0,,,7.100000000000001e-06,0.04
26,,,7.1200000000000004e-06,9600.0,,,7.1200000000000004e-06,0.08
27,,,7.14e-06,9800.0,,,7.14e-06,0.04
28,,,7.16e-06,9800.0,,,7.16e-06,0.12
29,,,7.180000000000001e-06,9600.0,,,7.180000000000001e-06,0.08
