,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-9.48e-05,15000.0,CH activo,4,-9.48e-05,0.0
1,Int. Temporal,1e-07,-9.47e-05,15000.0,Int. Temporal,1e-07,-9.47e-05,0.2
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-9.46e-05,15000.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-9.46e-05,0.0
3,Unidades verticales,"""V""",-9.45e-05,15000.0,Unidades verticales,"""V""",-9.45e-05,0.2
4,Volts x div,5.0E3,-9.44e-05,15000.0,Volts x div,5.0E0,-9.44e-05,0.0
5,Offset vertical (en unidades digitales),123.0,-9.43e-05,15000.0,Offset vertical (en unidades digitales),42.0,-9.43e-05,0.2
6,Unidades horizontales,"""s""
",-9.42e-05,15000.0,Unidades horizontales,"""s""
",-9.42e-05,0.2
7,Escala horizontal,1e-07,-9.41e-05,15000.0,Escala horizontal,1e-07,-9.41e-05,0.2
8,Cero vertical (en unidades verticales),0.0,-9.4e-05,15200.0,Cero vertical (en unidades verticales),0.0,-9.4e-05,0.2
9,Factor de Atenuacion,1.0E3,-9.39e-05,15200.0,Factor de Atenuacion,1.0E0,-9.39e-05,0.2
10,Fecha,10-05-2024 13:21:45,-9.38e-05,15200.0,Fecha,10-05-2024 13:21:50,-9.38e-05,0.2
11,,,-9.37e-05,15200.0,,,-9.37e-05,0.2
12,,,-9.36e-05,15200.0,,,-9.36e-05,0.0
13,,,-9.35e-05,15000.0,,,-9.35e-05,0.0
14,,,-9.340000000000001e-05,15200.0,,,-9.340000000000001e-05,0.0
15,,,-9.33e-05,15000.0,,,-9.33e-05,0.0
16,,,-9.32e-05,15400.0,,,-9.32e-05,0.4
17,,,-9.31e-05,15200.0,,,-9.31e-05,0.2
18,,,-9.3e-05,15400.0,,,-9.3e-05,0.6000000000000001
19,,,-9.29e-05,15200.0,,,-9.29e-05,0.4
20,,,-9.28e-05,15200.0,,,-9.28e-05,0.2
21,,,-9.27e-05,15400.0,,,-9.27e-05,0.2
22,,,-9.26e-05,15200.0,,,-9.26e-05,0.2
23,,,-9.25e-05,15400.0,,,-9.25e-05,0.2
24,,,-9.24e-05,15600.0,,,-9.24e-05,0.2
25,,,-9.23e-05,15600.0,,,-9.23e-05,0.2
26,,,-9.22e-05,15200.0,,,-9.22e-05,0.2
27,,,-9.21e-05,15400.0,,,-9.21e-05,0.2
28,,,-9.2e-05,15400.0,,,-9.2e-05,0.2
29,,,-9.19e-05,15000.0,,,-9.19e-05,0.0
30,,,-9.18e-05,15200.0,,,-9.18e-05,0.0
31,,,-9.17e-05,15200.0,,,-9.17e-05,0.0
32,,,-9.16e-05,15400.0,,,-9.16e-05,0.0
33,,,-9.15e-05,15600.0,,,-9.15e-05,0.2
34,,,-9.14e-05,15400.0,,,-9.14e-05,1.0
35,,,-9.13e-05,15200.0,,,-9.13e-05,0.2
36,,,-9.12e-05,15600.0,,,-9.12e-05,0.2
37,,,-9.11e-05,15600.0,,,-9.11e-05,0.2
38,,,-9.1e-05,15200.0,,,-9.1e-05,0.2
