,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.0002222,11600.0,CH activo,4,-0.0002222,0.08
1,Int. Temporal,2e-07,-0.000222,11800.0,Int. Temporal,2e-07,-0.000222,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;2.8E3
",-0.0002218,12000.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;2.8E3
",-0.0002218,0.12
3,Unidades verticales,"""V""",-0.00022160000000000002,12000.0,Unidades verticales,"""V""",-0.00022160000000000002,0.08
4,Volts x div,5.0E3,-0.00022140000000000001,12000.0,Volts x div,5.0E-1,-0.00022140000000000001,0.1
5,Offset vertical (en unidades digitales),122.0,-0.0002212,12400.0,Offset vertical (en unidades digitales),69.0,-0.0002212,0.12
6,Unidades horizontales,"""s""
",-0.000221,12000.0,Unidades horizontales,"""s""
",-0.000221,0.1
7,Escala horizontal,2e-07,-0.0002208,12000.0,Escala horizontal,2e-07,-0.0002208,0.08
8,Cero vertical (en unidades verticales),0.0,-0.0002206,12200.0,Cero vertical (en unidades verticales),0.0,-0.0002206,0.08
9,Factor de Atenuacion,1.0E3,-0.00022040000000000002,12000.0,Factor de Atenuacion,1.0E0,-0.00022040000000000002,0.08
10,Fecha,13-06-2024 11:46:55,-0.0002202,12200.0,Fecha,13-06-2024 11:47:01,-0.0002202,0.12
11,,,-0.00022,12400.0,,,-0.00022,0.12
12,,,-0.0002198,12200.0,,,-0.0002198,0.1
13,,,-0.0002196,12400.0,,,-0.0002196,0.12
14,,,-0.00021940000000000002,12400.0,,,-0.00021940000000000002,0.08
15,,,-0.00021920000000000002,12600.0,,,-0.00021920000000000002,0.08
16,,,-0.000219,12600.0,,,-0.000219,0.1
17,,,-0.0002188,12600.0,,,-0.0002188,0.04
18,,,-0.0002186,12600.0,,,-0.0002186,0.08
19,,,-0.0002184,12600.0,,,-0.0002184,0.1
20,,,-0.00021820000000000002,12800.0,,,-0.00021820000000000002,0.08
21,,,-0.000218,13000.0,,,-0.000218,0.08
22,,,-0.0002178,12800.0,,,-0.0002178,0.1
23,,,-0.0002176,13000.0,,,-0.0002176,0.06
24,,,-0.0002174,13200.0,,,-0.0002174,0.06
25,,,-0.00021720000000000002,13200.0,,,-0.00021720000000000002,0.06
26,,,-0.00021700000000000002,13000.0,,,-0.00021700000000000002,0.1
27,,,-0.0002168,13200.0,,,-0.0002168,0.06
28,,,-0.0002166,13200.0,,,-0.0002166,0.16
29,,,-0.0002164,13200.0,,,-0.0002164,0.12
30,,,-0.0002162,13400.0,,,-0.0002162,0.06
31,,,-0.00021600000000000002,13200.0,,,-0.00021600000000000002,0.08
32,,,-0.00021580000000000001,13200.0,,,-0.00021580000000000001,0.08
33,,,-0.0002156,13400.0,,,-0.0002156,0.06
34,,,-0.0002154,13400.0,,,-0.0002154,0.06
35,,,-0.0002152,13400.0,,,-0.0002152,0.08
36,,,-0.000215,13400.0,,,-0.000215,0.06
37,,,-0.00021480000000000002,13600.0,,,-0.00021480000000000002,0.04
38,,,-0.0002146,13600.0,,,-0.0002146,0.06
39,,,-0.0002144,13400.0,,,-0.0002144,0.04
40,,,-0.0002142,13400.0,,,-0.0002142,0.06
41,,,-0.000214,13600.0,,,-0.000214,0.12
42,,,-0.00021380000000000002,13800.0,,,-0.00021380000000000002,0.3
43,,,-0.00021360000000000001,13800.0,,,-0.00021360000000000001,0.02
44,,,-0.0002134,13600.0,,,-0.0002134,0.04
45,,,-0.0002132,13800.0,,,-0.0002132,0.02
46,,,-0.000213,13800.0,,,-0.000213,0.04
47,,,-0.0002128,13600.0,,,-0.0002128,0.06
48,,,-0.00021260000000000002,13800.0,,,-0.00021260000000000002,0.06
49,,,-0.0002124,13800.0,,,-0.0002124,0.04
50,,,-0.0002122,14000.0,,,-0.0002122,0.02
51,,,-0.000212,13800.0,,,-0.000212,0.06
52,,,-0.0002118,13800.0,,,-0.0002118,0.04
53,,,-0.0002116,14000.0,,,-0.0002116,0.04
54,,,-0.00021140000000000002,13800.0,,,-0.00021140000000000002,0.02
55,,,-0.0002112,14000.0,,,-0.0002112,0.04
56,,,-0.000211,13800.0,,,-0.000211,0.06
57,,,-0.0002108,14000.0,,,-0.0002108,0.02
58,,,-0.0002106,14200.0,,,-0.0002106,0.02
59,,,-0.00021040000000000002,14000.0,,,-0.00021040000000000002,0.0
60,,,-0.00021020000000000001,14000.0,,,-0.00021020000000000001,0.04
61,,,-0.00021,14000.0,,,-0.00021,0.04
62,,,-0.0002098,14000.0,,,-0.0002098,0.04
