,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.000146,0.0,CH activo,4,-0.000146,-0.02
1,Int. Temporal,1e-07,-0.0001459,-200.0,Int. Temporal,1e-07,-0.0001459,-0.02
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.0E3
",-0.0001458,0.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.0E3
",-0.0001458,0.0
3,Unidades verticales,"""V""",-0.0001457,-200.0,Unidades verticales,"""V""",-0.0001457,-0.02
4,Volts x div,5.0E3,-0.0001456,0.0,Volts x div,5.0E-1,-0.0001456,0.0
5,Offset vertical (en unidades digitales),123.0,-0.00014549999999999999,0.0,Offset vertical (en unidades digitales),79.0,-0.00014549999999999999,-0.04
6,Unidades horizontales,"""s""
",-0.0001454,0.0,Unidades horizontales,"""s""
",-0.0001454,-0.02
7,Escala horizontal,1e-07,-0.0001453,-200.0,Escala horizontal,1e-07,-0.0001453,0.0
8,Cero vertical (en unidades verticales),0.0,-0.0001452,0.0,Cero vertical (en unidades verticales),0.0,-0.0001452,0.0
9,Factor de Atenuacion,1.0E3,-0.0001451,0.0,Factor de Atenuacion,1.0E0,-0.0001451,0.0
10,Fecha,16-04-2024 16:12:23,-0.000145,0.0,Fecha,16-04-2024 16:12:28,-0.000145,0.02
11,,,-0.0001449,200.0,,,-0.0001449,-0.02
12,,,-0.0001448,200.0,,,-0.0001448,-0.02
13,,,-0.0001447,0.0,,,-0.0001447,-0.02
14,,,-0.0001446,0.0,,,-0.0001446,0.0
15,,,-0.0001445,0.0,,,-0.0001445,0.0
16,,,-0.00014439999999999999,0.0,,,-0.00014439999999999999,0.0
17,,,-0.0001443,0.0,,,-0.0001443,-0.02
18,,,-0.0001442,0.0,,,-0.0001442,0.0
19,,,-0.0001441,0.0,,,-0.0001441,0.02
20,,,-0.000144,-200.0,,,-0.000144,-0.02
21,,,-0.0001439,0.0,,,-0.0001439,-0.04
22,,,-0.0001438,0.0,,,-0.0001438,-0.06
23,,,-0.0001437,0.0,,,-0.0001437,-0.02
24,,,-0.0001436,0.0,,,-0.0001436,0.0
25,,,-0.0001435,200.0,,,-0.0001435,0.0
26,,,-0.0001434,-200.0,,,-0.0001434,0.0
27,,,-0.0001433,200.0,,,-0.0001433,0.0
28,,,-0.0001432,0.0,,,-0.0001432,0.0
29,,,-0.0001431,0.0,,,-0.0001431,0.0
30,,,-0.000143,0.0,,,-0.000143,0.02
31,,,-0.0001429,-200.0,,,-0.0001429,-0.02
32,,,-0.0001428,0.0,,,-0.0001428,0.0
33,,,-0.0001427,-200.0,,,-0.0001427,0.0
34,,,-0.0001426,0.0,,,-0.0001426,-0.02
35,,,-0.0001425,200.0,,,-0.0001425,-0.02
36,,,-0.0001424,0.0,,,-0.0001424,-0.02
37,,,-0.0001423,0.0,,,-0.0001423,0.0
38,,,-0.0001422,0.0,,,-0.0001422,0.0
39,,,-0.00014209999999999998,0.0,,,-0.00014209999999999998,-0.02
40,,,-0.000142,-200.0,,,-0.000142,-0.02
41,,,-0.0001419,0.0,,,-0.0001419,0.0
42,,,-0.0001418,0.0,,,-0.0001418,0.0
43,,,-0.0001417,0.0,,,-0.0001417,-0.02
44,,,-0.0001416,0.0,,,-0.0001416,0.0
45,,,-0.0001415,0.0,,,-0.0001415,0.0
46,,,-0.0001414,200.0,,,-0.0001414,0.0
47,,,-0.0001413,200.0,,,-0.0001413,0.02
48,,,-0.0001412,0.0,,,-0.0001412,0.02
49,,,-0.0001411,0.0,,,-0.0001411,0.0
50,,,-0.000141,0.0,,,-0.000141,-0.06
51,,,-0.0001409,-200.0,,,-0.0001409,0.02
52,,,-0.0001408,0.0,,,-0.0001408,0.0
53,,,-0.0001407,0.0,,,-0.0001407,0.0
54,,,-0.0001406,200.0,,,-0.0001406,0.0
55,,,-0.0001405,0.0,,,-0.0001405,-0.02
56,,,-0.0001404,200.0,,,-0.0001404,0.0
57,,,-0.0001403,200.0,,,-0.0001403,0.0
58,,,-0.0001402,0.0,,,-0.0001402,0.0
59,,,-0.0001401,0.0,,,-0.0001401,0.02
60,,,-0.00014,200.0,,,-0.00014,0.0
61,,,-0.00013989999999999999,200.0,,,-0.00013989999999999999,0.02
62,,,-0.0001398,0.0,,,-0.0001398,0.0
63,,,-0.0001397,0.0,,,-0.0001397,0.0
64,,,-0.0001396,-200.0,,,-0.0001396,0.0
65,,,-0.0001395,200.0,,,-0.0001395,0.02
66,,,-0.0001394,0.0,,,-0.0001394,0.0
67,,,-0.0001393,-200.0,,,-0.0001393,0.0
68,,,-0.0001392,0.0,,,-0.0001392,0.0
69,,,-0.0001391,0.0,,,-0.0001391,0.0
70,,,-0.000139,0.0,,,-0.000139,0.0
71,,,-0.0001389,0.0,,,-0.0001389,-0.04
72,,,-0.00013879999999999999,0.0,,,-0.00013879999999999999,-0.02
73,,,-0.0001387,0.0,,,-0.0001387,-0.02
74,,,-0.0001386,0.0,,,-0.0001386,-0.02
75,,,-0.0001385,0.0,,,-0.0001385,-0.02
76,,,-0.0001384,0.0,,,-0.0001384,0.0
77,,,-0.0001383,0.0,,,-0.0001383,0.0
78,,,-0.0001382,200.0,,,-0.0001382,0.0
79,,,-0.0001381,0.0,,,-0.0001381,0.0
80,,,-0.000138,-200.0,,,-0.000138,-0.02
81,,,-0.0001379,0.0,,,-0.0001379,0.0
82,,,-0.0001378,0.0,,,-0.0001378,0.0
83,,,-0.00013769999999999999,0.0,,,-0.00013769999999999999,0.02
84,,,-0.0001376,200.0,,,-0.0001376,0.0
85,,,-0.0001375,0.0,,,-0.0001375,0.0
86,,,-0.0001374,0.0,,,-0.0001374,0.0
87,,,-0.0001373,0.0,,,-0.0001373,0.0
88,,,-0.0001372,-200.0,,,-0.0001372,-0.02
89,,,-0.0001371,0.0,,,-0.0001371,-0.02
90,,,-0.000137,0.0,,,-0.000137,-0.02
91,,,-0.0001369,0.0,,,-0.0001369,0.0
92,,,-0.0001368,0.0,,,-0.0001368,0.0
93,,,-0.0001367,-200.0,,,-0.0001367,-0.02
94,,,-0.00013659999999999999,0.0,,,-0.00013659999999999999,0.0
95,,,-0.0001365,-200.0,,,-0.0001365,-0.04
96,,,-0.0001364,0.0,,,-0.0001364,-0.02
97,,,-0.0001363,0.0,,,-0.0001363,0.0
98,,,-0.0001362,0.0,,,-0.0001362,0.02
99,,,-0.0001361,200.0,,,-0.0001361,-0.02
100,,,-0.000136,0.0,,,-0.000136,0.0
101,,,-0.0001359,0.0,,,-0.0001359,0.0
102,,,-0.0001358,0.0,,,-0.0001358,-0.02
103,,,-0.0001357,200.0,,,-0.0001357,-0.02
104,,,-0.0001356,0.0,,,-0.0001356,-0.04
105,,,-0.0001355,-200.0,,,-0.0001355,0.0
106,,,-0.00013539999999999998,200.0,,,-0.00013539999999999998,-0.02
107,,,-0.0001353,-200.0,,,-0.0001353,0.0
108,,,-0.0001352,0.0,,,-0.0001352,0.0
109,,,-0.0001351,0.0,,,-0.0001351,0.0
110,,,-0.000135,0.0,,,-0.000135,-0.04
111,,,-0.0001349,200.0,,,-0.0001349,0.0
112,,,-0.0001348,200.0,,,-0.0001348,0.0
113,,,-0.0001347,0.0,,,-0.0001347,-0.02
114,,,-0.0001346,200.0,,,-0.0001346,0.02
115,,,-0.0001345,200.0,,,-0.0001345,-0.02
116,,,-0.0001344,0.0,,,-0.0001344,0.02
117,,,-0.0001343,0.0,,,-0.0001343,0.0
118,,,-0.0001342,0.0,,,-0.0001342,0.02
119,,,-0.0001341,200.0,,,-0.0001341,0.0
120,,,-0.000134,0.0,,,-0.000134,-0.04
121,,,-0.0001339,0.0,,,-0.0001339,-0.02
122,,,-0.0001338,0.0,,,-0.0001338,-0.02
123,,,-0.0001337,0.0,,,-0.0001337,0.0
124,,,-0.0001336,200.0,,,-0.0001336,0.02
125,,,-0.0001335,0.0,,,-0.0001335,0.0
126,,,-0.0001334,0.0,,,-0.0001334,0.0
127,,,-0.0001333,0.0,,,-0.0001333,0.0
128,,,-0.00013319999999999999,0.0,,,-0.00013319999999999999,0.0
129,,,-0.0001331,-200.0,,,-0.0001331,0.02
130,,,-0.000133,0.0,,,-0.000133,-0.02
131,,,-0.0001329,0.0,,,-0.0001329,0.0
132,,,-0.0001328,200.0,,,-0.0001328,-0.02
133,,,-0.0001327,200.0,,,-0.0001327,-0.02
134,,,-0.0001326,0.0,,,-0.0001326,-0.02
135,,,-0.0001325,0.0,,,-0.0001325,-0.02
136,,,-0.0001324,200.0,,,-0.0001324,-0.02
137,,,-0.0001323,0.0,,,-0.0001323,0.0
138,,,-0.0001322,0.0,,,-0.0001322,-0.02
139,,,-0.0001321,0.0,,,-0.0001321,-0.02
140,,,-0.000132,0.0,,,-0.000132,0.0
141,,,-0.0001319,0.0,,,-0.0001319,0.02
142,,,-0.0001318,-200.0,,,-0.0001318,0.0
143,,,-0.0001317,0.0,,,-0.0001317,0.02
144,,,-0.0001316,0.0,,,-0.0001316,0.0
145,,,-0.0001315,0.0,,,-0.0001315,0.04
146,,,-0.0001314,0.0,,,-0.0001314,0.0
147,,,-0.0001313,0.0,,,-0.0001313,-0.02
148,,,-0.0001312,0.0,,,-0.0001312,0.02
149,,,-0.0001311,0.0,,,-0.0001311,0.02
150,,,-0.00013099999999999999,-200.0,,,-0.00013099999999999999,-0.02
151,,,-0.0001309,0.0,,,-0.0001309,0.02
152,,,-0.0001308,0.0,,,-0.0001308,-0.02
153,,,-0.0001307,200.0,,,-0.0001307,-0.02
154,,,-0.0001306,0.0,,,-0.0001306,-0.04
155,,,-0.0001305,0.0,,,-0.0001305,0.0
156,,,-0.0001304,0.0,,,-0.0001304,0.02
157,,,-0.0001303,0.0,,,-0.0001303,0.0
