,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,2e-06,5400.0,CH activo,4,2e-06,0.1
1,Int. Temporal,2e-08,2.0199999999999997e-06,5600.0,Int. Temporal,2e-08,2.0199999999999997e-06,0.1
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",2.04e-06,5600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",2.04e-06,0.14
3,Unidades verticales,"""V""",2.0599999999999998e-06,5200.0,Unidades verticales,"""V""",2.0599999999999998e-06,0.14
4,Volts x div,5.0E3,2.08e-06,5400.0,Volts x div,5.0E-1,2.08e-06,0.14
5,Offset vertical (en unidades digitales),120.0,2.1e-06,5400.0,Offset vertical (en unidades digitales),92.0,2.1e-06,0.1
6,Unidades horizontales,"""s""
",2.12e-06,5600.0,Unidades horizontales,"""s""
",2.12e-06,0.1
7,Escala horizontal,2e-08,2.14e-06,5600.0,Escala horizontal,2e-08,2.14e-06,0.14
8,Cero vertical (en unidades verticales),0.0,2.16e-06,5400.0,Cero vertical (en unidades verticales),0.0,2.16e-06,0.12
9,Factor de Atenuacion,1.0E3,2.18e-06,5600.0,Factor de Atenuacion,1.0E0,2.18e-06,0.1
10,Fecha,18-06-2024 18:07:10,2.2e-06,5600.0,Fecha,18-06-2024 18:07:16,2.2e-06,0.14
11,,,2.22e-06,5600.0,,,2.22e-06,0.14
12,,,2.2399999999999997e-06,5600.0,,,2.2399999999999997e-06,0.12
13,,,2.26e-06,5600.0,,,2.26e-06,0.14
14,,,2.2799999999999998e-06,5600.0,,,2.2799999999999998e-06,0.14
15,,,2.3e-06,5600.0,,,2.3e-06,0.06
16,,,2.32e-06,5400.0,,,2.32e-06,0.12
17,,,2.34e-06,5400.0,,,2.34e-06,0.14
18,,,2.36e-06,5600.0,,,2.36e-06,0.12
19,,,2.38e-06,5600.0,,,2.38e-06,0.12
20,,,2.4e-06,5600.0,,,2.4e-06,0.12
21,,,2.4199999999999997e-06,5800.0,,,2.4199999999999997e-06,0.12
22,,,2.44e-06,5600.0,,,2.44e-06,0.12
23,,,2.4599999999999997e-06,5600.0,,,2.4599999999999997e-06,0.12
24,,,2.48e-06,5600.0,,,2.48e-06,0.1
25,,,2.4999999999999998e-06,5600.0,,,2.4999999999999998e-06,0.12
26,,,2.52e-06,5800.0,,,2.52e-06,0.14
27,,,2.54e-06,5800.0,,,2.54e-06,0.14
28,,,2.56e-06,5800.0,,,2.56e-06,0.1
29,,,2.58e-06,6000.0,,,2.58e-06,0.14
30,,,2.5999999999999997e-06,5800.0,,,2.5999999999999997e-06,0.14
31,,,2.62e-06,6000.0,,,2.62e-06,0.14
32,,,2.64e-06,5800.0,,,2.64e-06,0.12
33,,,2.66e-06,5600.0,,,2.66e-06,0.12
34,,,2.6799999999999998e-06,5600.0,,,2.6799999999999998e-06,0.12
35,,,2.7e-06,5800.0,,,2.7e-06,0.12
36,,,2.72e-06,5800.0,,,2.72e-06,0.14
37,,,2.74e-06,5800.0,,,2.74e-06,0.14
38,,,2.76e-06,5800.0,,,2.76e-06,0.14
39,,,2.78e-06,5800.0,,,2.78e-06,0.12
40,,,2.8e-06,6000.0,,,2.8e-06,0.14
41,,,2.82e-06,6000.0,,,2.82e-06,0.14
42,,,2.84e-06,5800.0,,,2.84e-06,0.1
43,,,2.8599999999999997e-06,6000.0,,,2.8599999999999997e-06,0.12
44,,,2.88e-06,5800.0,,,2.88e-06,0.12
45,,,2.9e-06,5800.0,,,2.9e-06,0.1
46,,,2.92e-06,6000.0,,,2.92e-06,0.14
47,,,2.94e-06,6000.0,,,2.94e-06,0.1
48,,,2.96e-06,5800.0,,,2.96e-06,0.14
49,,,2.98e-06,6000.0,,,2.98e-06,0.12
50,,,3e-06,6000.0,,,3e-06,0.12
51,,,3.02e-06,6000.0,,,3.02e-06,0.1
52,,,3.0399999999999997e-06,6200.0,,,3.0399999999999997e-06,0.12
53,,,3.06e-06,6000.0,,,3.06e-06,0.12
54,,,3.08e-06,6000.0,,,3.08e-06,0.12
55,,,3.1e-06,6000.0,,,3.1e-06,0.12
56,,,3.1199999999999998e-06,5800.0,,,3.1199999999999998e-06,0.12
57,,,3.14e-06,6200.0,,,3.14e-06,0.1
58,,,3.1600000000000002e-06,6200.0,,,3.1600000000000002e-06,0.1
59,,,3.18e-06,6000.0,,,3.18e-06,0.14
60,,,3.2e-06,6000.0,,,3.2e-06,0.12
61,,,3.2199999999999997e-06,6000.0,,,3.2199999999999997e-06,0.12
62,,,3.24e-06,6200.0,,,3.24e-06,0.1
63,,,3.26e-06,6200.0,,,3.26e-06,0.14
64,,,3.28e-06,6200.0,,,3.28e-06,0.14
65,,,3.2999999999999997e-06,6000.0,,,3.2999999999999997e-06,0.14
66,,,3.32e-06,6000.0,,,3.32e-06,0.12
67,,,3.34e-06,6400.0,,,3.34e-06,0.12
68,,,3.36e-06,6200.0,,,3.36e-06,0.12
69,,,3.38e-06,6000.0,,,3.38e-06,0.14
70,,,3.3999999999999996e-06,6200.0,,,3.3999999999999996e-06,0.12
71,,,3.42e-06,6000.0,,,3.42e-06,0.12
72,,,3.44e-06,6200.0,,,3.44e-06,0.12
73,,,3.46e-06,6200.0,,,3.46e-06,0.12
74,,,3.4799999999999997e-06,6200.0,,,3.4799999999999997e-06,0.14
75,,,3.5e-06,6000.0,,,3.5e-06,0.12
76,,,3.52e-06,6200.0,,,3.52e-06,0.12
77,,,3.54e-06,6000.0,,,3.54e-06,0.14
78,,,3.56e-06,6400.0,,,3.56e-06,0.14
79,,,3.58e-06,6400.0,,,3.58e-06,0.12
80,,,3.6e-06,6200.0,,,3.6e-06,0.12
81,,,3.62e-06,6200.0,,,3.62e-06,0.12
82,,,3.64e-06,6200.0,,,3.64e-06,0.14
83,,,3.6599999999999997e-06,6200.0,,,3.6599999999999997e-06,0.12
84,,,3.68e-06,6200.0,,,3.68e-06,0.12
85,,,3.7e-06,6000.0,,,3.7e-06,0.1
86,,,3.72e-06,6400.0,,,3.72e-06,0.12
87,,,3.7399999999999998e-06,6400.0,,,3.7399999999999998e-06,0.12
88,,,3.76e-06,6200.0,,,3.76e-06,0.12
89,,,3.7800000000000002e-06,6000.0,,,3.7800000000000002e-06,0.12
90,,,3.8e-06,6000.0,,,3.8e-06,0.1
91,,,3.82e-06,6400.0,,,3.82e-06,0.14
92,,,3.84e-06,6400.0,,,3.84e-06,0.12
93,,,3.86e-06,6200.0,,,3.86e-06,0.12
94,,,3.88e-06,6400.0,,,3.88e-06,0.14
95,,,3.9e-06,6200.0,,,3.9e-06,0.12
96,,,3.92e-06,6400.0,,,3.92e-06,0.16
97,,,3.9399999999999995e-06,6000.0,,,3.9399999999999995e-06,0.12
98,,,3.959999999999999e-06,6200.0,,,3.959999999999999e-06,0.14
99,,,3.98e-06,6200.0,,,3.98e-06,0.12
100,,,4e-06,6200.0,,,4e-06,0.1
101,,,4.0200000000000005e-06,6400.0,,,4.0200000000000005e-06,0.08
102,,,4.04e-06,6200.0,,,4.04e-06,0.1
103,,,4.06e-06,6200.0,,,4.06e-06,0.12
104,,,4.08e-06,6200.0,,,4.08e-06,0.12
105,,,4.1e-06,6400.0,,,4.1e-06,0.12
106,,,4.1199999999999995e-06,6200.0,,,4.1199999999999995e-06,0.14
107,,,4.139999999999999e-06,6200.0,,,4.139999999999999e-06,0.12
108,,,4.16e-06,6400.0,,,4.16e-06,0.1
109,,,4.18e-06,6200.0,,,4.18e-06,0.12
