,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.0004812,-200.0,CH activo,4,-0.0004812,0.06
1,Int. Temporal,4e-07,-0.0004808,-200.0,Int. Temporal,4e-07,-0.0004808,0.06
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",-0.00048039999999999997,-200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",-0.00048039999999999997,0.04
3,Unidades verticales,"""V""",-0.00048,0.0,Unidades verticales,"""V""",-0.00048,0.06
4,Volts x div,5.0E3,-0.0004796,0.0,Volts x div,5.0E-1,-0.0004796,0.06
5,Offset vertical (en unidades digitales),120.0,-0.0004792,200.0,Offset vertical (en unidades digitales),81.0,-0.0004792,0.08
6,Unidades horizontales,"""s""
",-0.0004788,400.0,Unidades horizontales,"""s""
",-0.0004788,0.06
7,Escala horizontal,4e-07,-0.0004784,600.0,Escala horizontal,4e-07,-0.0004784,0.06
8,Cero vertical (en unidades verticales),0.0,-0.00047799999999999996,400.0,Cero vertical (en unidades verticales),0.0,-0.00047799999999999996,0.06
9,Factor de Atenuacion,1.0E3,-0.0004776,600.0,Factor de Atenuacion,1.0E0,-0.0004776,0.06
10,Fecha,18-06-2024 17:37:51,-0.0004772,600.0,Fecha,18-06-2024 17:37:57,-0.0004772,0.08
11,,,-0.0004768,600.0,,,-0.0004768,0.06
12,,,-0.0004764,800.0,,,-0.0004764,0.06
13,,,-0.00047599999999999997,800.0,,,-0.00047599999999999997,0.06
14,,,-0.0004756,1000.0,,,-0.0004756,0.06
15,,,-0.0004752,1200.0,,,-0.0004752,0.08
16,,,-0.0004748,1400.0,,,-0.0004748,0.04
17,,,-0.0004744,1400.0,,,-0.0004744,0.08
18,,,-0.000474,1400.0,,,-0.000474,0.1
19,,,-0.00047359999999999997,1600.0,,,-0.00047359999999999997,0.1
20,,,-0.0004732,1800.0,,,-0.0004732,0.1
