,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,4e-06,11540.0,CH activo,4,4e-06,0.1
1,Int. Temporal,1e-08,4.01e-06,11540.0,Int. Temporal,1e-08,4.01e-06,0.1
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;9.84E3
",4.02e-06,11580.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;9.84E3
",4.02e-06,0.08
3,Unidades verticales,"""V""",4.0299999999999995e-06,11560.0,Unidades verticales,"""V""",4.0299999999999995e-06,0.08
4,Volts x div,5.0E2,4.0399999999999994e-06,11560.0,Volts x div,5.0E-1,4.0399999999999994e-06,0.12
5,Offset vertical (en unidades digitales),-564.0,4.05e-06,11540.0,Offset vertical (en unidades digitales),103.0,4.05e-06,0.1
6,Unidades horizontales,"""s""
",4.06e-06,11600.0,Unidades horizontales,"""s""
",4.06e-06,0.1
7,Escala horizontal,1e-08,4.07e-06,11560.0,Escala horizontal,1e-08,4.07e-06,0.1
8,Cero vertical (en unidades verticales),0.0,4.08e-06,11560.0,Cero vertical (en unidades verticales),0.0,4.08e-06,0.08
9,Factor de Atenuacion,1.0E3,4.09e-06,11600.0,Factor de Atenuacion,1.0E0,4.09e-06,0.08
10,Fecha,22-08-2024 11:31:50,4.1e-06,11560.0,Fecha,22-08-2024 11:31:56,4.1e-06,0.1
11,,,4.11e-06,11600.0,,,4.11e-06,0.1
12,,,4.1199999999999995e-06,11600.0,,,4.1199999999999995e-06,0.1
13,,,4.129999999999999e-06,11580.0,,,4.129999999999999e-06,0.1
14,,,4.14e-06,11600.0,,,4.14e-06,0.1
15,,,4.15e-06,11560.0,,,4.15e-06,0.1
16,,,4.16e-06,11620.0,,,4.16e-06,0.12
17,,,4.17e-06,11620.0,,,4.17e-06,0.1
18,,,4.18e-06,11600.0,,,4.18e-06,0.08
19,,,4.19e-06,11600.0,,,4.19e-06,0.06
20,,,4.2e-06,11660.0,,,4.2e-06,0.08
21,,,4.2099999999999995e-06,11640.0,,,4.2099999999999995e-06,0.1
22,,,4.22e-06,11660.0,,,4.22e-06,0.1
23,,,4.23e-06,11600.0,,,4.23e-06,0.1
24,,,4.24e-06,11640.0,,,4.24e-06,0.08
25,,,4.25e-06,11660.0,,,4.25e-06,0.08
26,,,4.26e-06,11660.0,,,4.26e-06,0.1
27,,,4.27e-06,11660.0,,,4.27e-06,0.08
28,,,4.28e-06,11660.0,,,4.28e-06,0.1
29,,,4.29e-06,11660.0,,,4.29e-06,0.1
30,,,4.2999999999999995e-06,11680.0,,,4.2999999999999995e-06,0.1
31,,,4.309999999999999e-06,11680.0,,,4.309999999999999e-06,0.1
32,,,4.32e-06,11680.0,,,4.32e-06,0.1
33,,,4.33e-06,11660.0,,,4.33e-06,0.1
34,,,4.34e-06,11700.0,,,4.34e-06,0.12
35,,,4.35e-06,11700.0,,,4.35e-06,0.08
36,,,4.36e-06,11680.0,,,4.36e-06,0.1
37,,,4.37e-06,11680.0,,,4.37e-06,0.1
38,,,4.3799999999999996e-06,11660.0,,,4.3799999999999996e-06,0.08
39,,,4.3899999999999995e-06,11680.0,,,4.3899999999999995e-06,0.1
40,,,4.4e-06,11680.0,,,4.4e-06,0.08
41,,,4.41e-06,11700.0,,,4.41e-06,0.08
42,,,4.42e-06,11740.0,,,4.42e-06,0.12
43,,,4.43e-06,11680.0,,,4.43e-06,0.06
44,,,4.44e-06,11720.0,,,4.44e-06,0.1
45,,,4.45e-06,11700.0,,,4.45e-06,0.1
46,,,4.46e-06,11720.0,,,4.46e-06,0.1
47,,,4.4699999999999996e-06,11740.0,,,4.4699999999999996e-06,0.04
48,,,4.4799999999999995e-06,11720.0,,,4.4799999999999995e-06,0.08
49,,,4.489999999999999e-06,11720.0,,,4.489999999999999e-06,0.06
50,,,4.5e-06,11740.0,,,4.5e-06,0.1
51,,,4.51e-06,11760.0,,,4.51e-06,0.1
52,,,4.52e-06,11740.0,,,4.52e-06,0.1
53,,,4.53e-06,11760.0,,,4.53e-06,0.06
54,,,4.54e-06,11740.0,,,4.54e-06,0.1
55,,,4.55e-06,11740.0,,,4.55e-06,0.08
56,,,4.5599999999999995e-06,11780.0,,,4.5599999999999995e-06,0.1
57,,,4.57e-06,11760.0,,,4.57e-06,0.12
58,,,4.58e-06,11760.0,,,4.58e-06,0.12
59,,,4.59e-06,11760.0,,,4.59e-06,0.1
60,,,4.6e-06,11800.0,,,4.6e-06,0.1
61,,,4.61e-06,11760.0,,,4.61e-06,0.1
62,,,4.62e-06,11780.0,,,4.62e-06,0.08
63,,,4.63e-06,11780.0,,,4.63e-06,0.1
64,,,4.64e-06,11780.0,,,4.64e-06,0.1
65,,,4.6499999999999995e-06,11800.0,,,4.6499999999999995e-06,0.1
66,,,4.6599999999999994e-06,11780.0,,,4.6599999999999994e-06,0.08
67,,,4.67e-06,11820.0,,,4.67e-06,0.1
68,,,4.68e-06,11820.0,,,4.68e-06,0.08
69,,,4.69e-06,11820.0,,,4.69e-06,0.1
70,,,4.7e-06,11820.0,,,4.7e-06,0.12
71,,,4.71e-06,11800.0,,,4.71e-06,0.06
72,,,4.72e-06,11820.0,,,4.72e-06,0.06
73,,,4.73e-06,11820.0,,,4.73e-06,0.1
74,,,4.7399999999999995e-06,11820.0,,,4.7399999999999995e-06,0.08
75,,,4.75e-06,11840.0,,,4.75e-06,0.08
76,,,4.76e-06,11840.0,,,4.76e-06,0.1
77,,,4.77e-06,11860.0,,,4.77e-06,0.12
78,,,4.78e-06,11840.0,,,4.78e-06,0.08
79,,,4.79e-06,11840.0,,,4.79e-06,0.08
80,,,4.8e-06,11840.0,,,4.8e-06,0.1
81,,,4.81e-06,11840.0,,,4.81e-06,0.08
82,,,4.82e-06,11840.0,,,4.82e-06,0.08
83,,,4.8299999999999995e-06,11860.0,,,4.8299999999999995e-06,0.12
84,,,4.839999999999999e-06,11840.0,,,4.839999999999999e-06,0.08
85,,,4.85e-06,11860.0,,,4.85e-06,0.08
86,,,4.86e-06,11860.0,,,4.86e-06,0.06
87,,,4.87e-06,11880.0,,,4.87e-06,0.1
88,,,4.88e-06,11880.0,,,4.88e-06,0.08
89,,,4.89e-06,11880.0,,,4.89e-06,0.08
90,,,4.9e-06,11880.0,,,4.9e-06,0.1
91,,,4.91e-06,11900.0,,,4.91e-06,0.06
92,,,4.9199999999999995e-06,11900.0,,,4.9199999999999995e-06,0.08
93,,,4.93e-06,11860.0,,,4.93e-06,0.08
94,,,4.94e-06,11880.0,,,4.94e-06,0.08
95,,,4.95e-06,11880.0,,,4.95e-06,0.12
96,,,4.96e-06,11920.0,,,4.96e-06,0.06
