,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,2.3e-06,6600.0,CH activo,4,2.3e-06,0.1
1,Int. Temporal,2e-08,2.32e-06,6600.0,Int. Temporal,2e-08,2.32e-06,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",2.34e-06,6600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",2.34e-06,0.08
3,Unidades verticales,"""V""",2.36e-06,6600.0,Unidades verticales,"""V""",2.36e-06,0.1
4,Volts x div,5.0E3,2.38e-06,6600.0,Volts x div,5.0E-1,2.38e-06,0.12
5,Offset vertical (en unidades digitales),108.0,2.4e-06,6600.0,Offset vertical (en unidades digitales),91.0,2.4e-06,0.1
6,Unidades horizontales,"""s""
",2.42e-06,6600.0,Unidades horizontales,"""s""
",2.42e-06,0.1
7,Escala horizontal,2e-08,2.44e-06,6600.0,Escala horizontal,2e-08,2.44e-06,0.1
8,Cero vertical (en unidades verticales),0.0,2.46e-06,6600.0,Cero vertical (en unidades verticales),0.0,2.46e-06,0.1
9,Factor de Atenuacion,1.0E3,2.48e-06,6400.0,Factor de Atenuacion,1.0E0,2.48e-06,0.1
10,Fecha,22-08-2024 11:09:11,2.4999999999999998e-06,6600.0,Fecha,22-08-2024 11:09:17,2.4999999999999998e-06,0.1
11,,,2.52e-06,6800.0,,,2.52e-06,0.1
12,,,2.5400000000000002e-06,6800.0,,,2.5400000000000002e-06,0.1
13,,,2.56e-06,6600.0,,,2.56e-06,0.1
14,,,2.58e-06,6800.0,,,2.58e-06,0.1
15,,,2.6e-06,6800.0,,,2.6e-06,0.08
16,,,2.62e-06,6800.0,,,2.62e-06,0.08
17,,,2.64e-06,6800.0,,,2.64e-06,0.1
