,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.0002226,7200.0,CH activo,4,-0.0002226,0.1
1,Int. Temporal,2e-07,-0.00022239999999999998,7200.0,Int. Temporal,2e-07,-0.00022239999999999998,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",-0.00022219999999999998,7400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",-0.00022219999999999998,0.08
3,Unidades verticales,"""V""",-0.000222,7400.0,Unidades verticales,"""V""",-0.000222,0.1
4,Volts x div,5.0E3,-0.0002218,7400.0,Volts x div,5.0E-1,-0.0002218,0.1
5,Offset vertical (en unidades digitales),108.0,-0.0002216,7600.0,Offset vertical (en unidades digitales),91.0,-0.0002216,0.06
6,Unidades horizontales,"""s""
",-0.0002214,7600.0,Unidades horizontales,"""s""
",-0.0002214,0.06
7,Escala horizontal,2e-07,-0.00022119999999999998,7800.0,Escala horizontal,2e-07,-0.00022119999999999998,0.1
8,Cero vertical (en unidades verticales),0.0,-0.00022099999999999998,7800.0,Cero vertical (en unidades verticales),0.0,-0.00022099999999999998,0.1
9,Factor de Atenuacion,1.0E3,-0.0002208,7800.0,Factor de Atenuacion,1.0E0,-0.0002208,0.1
10,Fecha,22-08-2024 11:07:16,-0.0002206,8200.0,Fecha,22-08-2024 11:07:22,-0.0002206,0.12
11,,,-0.0002204,8200.0,,,-0.0002204,0.1
12,,,-0.00022019999999999999,8400.0,,,-0.00022019999999999999,0.1
13,,,-0.00021999999999999998,8200.0,,,-0.00021999999999999998,0.1
14,,,-0.0002198,8400.0,,,-0.0002198,0.06
15,,,-0.0002196,8400.0,,,-0.0002196,0.08
16,,,-0.0002194,8400.0,,,-0.0002194,0.12
17,,,-0.0002192,8600.0,,,-0.0002192,0.12
18,,,-0.00021899999999999998,8800.0,,,-0.00021899999999999998,0.12
19,,,-0.00021879999999999998,9000.0,,,-0.00021879999999999998,0.08
20,,,-0.0002186,9000.0,,,-0.0002186,0.1
21,,,-0.0002184,9000.0,,,-0.0002184,0.1
22,,,-0.0002182,9000.0,,,-0.0002182,0.08
23,,,-0.00021799999999999999,9200.0,,,-0.00021799999999999999,0.08
