,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,1.48e-05,11800.0,CH activo,4,1.48e-05,0.06
1,Int. Temporal,1e-08,1.481e-05,11800.0,Int. Temporal,1e-08,1.481e-05,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",1.482e-05,11600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",1.482e-05,0.1
3,Unidades verticales,"""V""",1.483e-05,11800.0,Unidades verticales,"""V""",1.483e-05,0.08
4,Volts x div,5.0E3,1.484e-05,11800.0,Volts x div,5.0E-1,1.484e-05,0.08
5,Offset vertical (en unidades digitales),108.0,1.485e-05,11800.0,Offset vertical (en unidades digitales),91.0,1.485e-05,0.06
6,Unidades horizontales,"""s""
",1.486e-05,11800.0,Unidades horizontales,"""s""
",1.486e-05,0.1
7,Escala horizontal,1e-08,1.487e-05,12000.0,Escala horizontal,1e-08,1.487e-05,0.06
8,Cero vertical (en unidades verticales),0.0,1.488e-05,12000.0,Cero vertical (en unidades verticales),0.0,1.488e-05,0.1
9,Factor de Atenuacion,1.0E3,1.4890000000000001e-05,12000.0,Factor de Atenuacion,1.0E0,1.4890000000000001e-05,0.1
10,Fecha,22-08-2024 11:00:14,1.4900000000000001e-05,12000.0,Fecha,22-08-2024 11:00:20,1.4900000000000001e-05,0.08
11,,,1.4910000000000001e-05,11800.0,,,1.4910000000000001e-05,0.1
12,,,1.4920000000000001e-05,11800.0,,,1.4920000000000001e-05,0.12
13,,,1.4930000000000001e-05,12000.0,,,1.4930000000000001e-05,0.08
14,,,1.4940000000000001e-05,12000.0,,,1.4940000000000001e-05,0.08
15,,,1.4950000000000001e-05,12000.0,,,1.4950000000000001e-05,0.1
16,,,1.496e-05,12000.0,,,1.496e-05,0.06
17,,,1.497e-05,12000.0,,,1.497e-05,0.1
18,,,1.498e-05,12000.0,,,1.498e-05,0.08
19,,,1.499e-05,12000.0,,,1.499e-05,0.1
20,,,1.5e-05,12000.0,,,1.5e-05,0.08
21,,,1.501e-05,11800.0,,,1.501e-05,0.08
22,,,1.502e-05,11800.0,,,1.502e-05,0.06
23,,,1.503e-05,12200.0,,,1.503e-05,0.06
24,,,1.504e-05,12000.0,,,1.504e-05,0.08
25,,,1.505e-05,12000.0,,,1.505e-05,0.08
26,,,1.506e-05,12000.0,,,1.506e-05,0.08
27,,,1.5070000000000001e-05,12000.0,,,1.5070000000000001e-05,0.06
28,,,1.5080000000000001e-05,12000.0,,,1.5080000000000001e-05,0.06
29,,,1.5090000000000001e-05,12200.0,,,1.5090000000000001e-05,0.08
30,,,1.5100000000000001e-05,12000.0,,,1.5100000000000001e-05,0.1
31,,,1.5110000000000001e-05,12000.0,,,1.5110000000000001e-05,0.12
32,,,1.5120000000000001e-05,12000.0,,,1.5120000000000001e-05,0.08
33,,,1.513e-05,12000.0,,,1.513e-05,0.04
34,,,1.514e-05,12000.0,,,1.514e-05,0.08
35,,,1.515e-05,11800.0,,,1.515e-05,0.08
36,,,1.516e-05,12200.0,,,1.516e-05,0.08
37,,,1.517e-05,12000.0,,,1.517e-05,0.12
38,,,1.518e-05,12000.0,,,1.518e-05,0.06
39,,,1.519e-05,12200.0,,,1.519e-05,0.1
40,,,1.52e-05,11800.0,,,1.52e-05,0.1
41,,,1.521e-05,12000.0,,,1.521e-05,0.08
42,,,1.522e-05,11800.0,,,1.522e-05,0.08
43,,,1.523e-05,12200.0,,,1.523e-05,0.08
44,,,1.524e-05,12000.0,,,1.524e-05,0.1
45,,,1.5250000000000001e-05,12000.0,,,1.5250000000000001e-05,0.1
46,,,1.526e-05,12000.0,,,1.526e-05,0.04
47,,,1.527e-05,12200.0,,,1.527e-05,0.1
48,,,1.528e-05,12200.0,,,1.528e-05,0.06
49,,,1.529e-05,12000.0,,,1.529e-05,0.08
50,,,1.53e-05,12200.0,,,1.53e-05,0.1
51,,,1.531e-05,12200.0,,,1.531e-05,0.06
52,,,1.532e-05,12000.0,,,1.532e-05,0.08
53,,,1.533e-05,12200.0,,,1.533e-05,0.08
54,,,1.5340000000000002e-05,12000.0,,,1.5340000000000002e-05,0.06
55,,,1.535e-05,12000.0,,,1.535e-05,0.08
56,,,1.5360000000000002e-05,12000.0,,,1.5360000000000002e-05,0.04
57,,,1.537e-05,12000.0,,,1.537e-05,0.1
58,,,1.5380000000000002e-05,12000.0,,,1.5380000000000002e-05,0.1
59,,,1.539e-05,11800.0,,,1.539e-05,0.1
60,,,1.54e-05,12000.0,,,1.54e-05,0.08
61,,,1.541e-05,12200.0,,,1.541e-05,0.08
62,,,1.542e-05,12200.0,,,1.542e-05,0.08
63,,,1.543e-05,12000.0,,,1.543e-05,0.08
64,,,1.544e-05,12000.0,,,1.544e-05,0.1
65,,,1.545e-05,12200.0,,,1.545e-05,0.1
66,,,1.546e-05,12200.0,,,1.546e-05,0.08
67,,,1.547e-05,12000.0,,,1.547e-05,0.06
68,,,1.548e-05,12200.0,,,1.548e-05,0.08
69,,,1.549e-05,12200.0,,,1.549e-05,0.08
70,,,1.55e-05,12200.0,,,1.55e-05,0.1
71,,,1.551e-05,12400.0,,,1.551e-05,0.06
72,,,1.552e-05,12200.0,,,1.552e-05,0.08
73,,,1.5530000000000002e-05,11800.0,,,1.5530000000000002e-05,0.1
74,,,1.554e-05,12000.0,,,1.554e-05,0.06
75,,,1.5550000000000002e-05,12200.0,,,1.5550000000000002e-05,0.08
76,,,1.556e-05,12200.0,,,1.556e-05,0.06
77,,,1.5570000000000002e-05,11800.0,,,1.5570000000000002e-05,0.06
78,,,1.558e-05,12000.0,,,1.558e-05,0.08
79,,,1.559e-05,12200.0,,,1.559e-05,0.1
80,,,1.56e-05,12200.0,,,1.56e-05,0.1
81,,,1.561e-05,12400.0,,,1.561e-05,0.08
82,,,1.562e-05,12200.0,,,1.562e-05,0.08
83,,,1.563e-05,12200.0,,,1.563e-05,0.1
84,,,1.564e-05,12600.0,,,1.564e-05,0.08
85,,,1.565e-05,12200.0,,,1.565e-05,0.08
86,,,1.566e-05,12200.0,,,1.566e-05,0.1
87,,,1.567e-05,12200.0,,,1.567e-05,0.1
88,,,1.568e-05,12200.0,,,1.568e-05,0.08
89,,,1.569e-05,12000.0,,,1.569e-05,0.08
90,,,1.5700000000000002e-05,12200.0,,,1.5700000000000002e-05,0.06
91,,,1.571e-05,12000.0,,,1.571e-05,0.1
92,,,1.5720000000000002e-05,12400.0,,,1.5720000000000002e-05,0.1
93,,,1.573e-05,12200.0,,,1.573e-05,0.08
94,,,1.5740000000000002e-05,12400.0,,,1.5740000000000002e-05,0.08
95,,,1.575e-05,12200.0,,,1.575e-05,0.1
96,,,1.576e-05,12000.0,,,1.576e-05,0.08
97,,,1.577e-05,12200.0,,,1.577e-05,0.06
98,,,1.578e-05,12200.0,,,1.578e-05,0.08
99,,,1.579e-05,12200.0,,,1.579e-05,0.08
100,,,1.58e-05,12400.0,,,1.58e-05,0.1
101,,,1.581e-05,12200.0,,,1.581e-05,0.1
102,,,1.582e-05,12200.0,,,1.582e-05,0.06
103,,,1.583e-05,12200.0,,,1.583e-05,0.1
104,,,1.584e-05,12400.0,,,1.584e-05,0.08
105,,,1.585e-05,12400.0,,,1.585e-05,0.1
106,,,1.586e-05,12200.0,,,1.586e-05,0.08
107,,,1.5870000000000002e-05,12200.0,,,1.5870000000000002e-05,0.08
108,,,1.588e-05,12400.0,,,1.588e-05,0.1
109,,,1.5890000000000002e-05,12200.0,,,1.5890000000000002e-05,0.06
110,,,1.59e-05,12400.0,,,1.59e-05,0.08
111,,,1.5910000000000002e-05,12200.0,,,1.5910000000000002e-05,0.1
112,,,1.592e-05,12600.0,,,1.592e-05,0.08
113,,,1.593e-05,12400.0,,,1.593e-05,0.08
114,,,1.594e-05,12400.0,,,1.594e-05,0.1
115,,,1.595e-05,12400.0,,,1.595e-05,0.08
116,,,1.596e-05,12400.0,,,1.596e-05,0.1
117,,,1.597e-05,12400.0,,,1.597e-05,0.08
118,,,1.598e-05,12400.0,,,1.598e-05,0.08
119,,,1.599e-05,12400.0,,,1.599e-05,0.06
120,,,1.6e-05,12200.0,,,1.6e-05,0.06
121,,,1.601e-05,12400.0,,,1.601e-05,0.12
122,,,1.602e-05,12400.0,,,1.602e-05,0.04
123,,,1.603e-05,12600.0,,,1.603e-05,0.08
124,,,1.6040000000000002e-05,12200.0,,,1.6040000000000002e-05,0.1
125,,,1.605e-05,12400.0,,,1.605e-05,0.1
126,,,1.6060000000000002e-05,12200.0,,,1.6060000000000002e-05,0.06
127,,,1.607e-05,12200.0,,,1.607e-05,0.04
128,,,1.6080000000000002e-05,12600.0,,,1.6080000000000002e-05,0.1
129,,,1.609e-05,12200.0,,,1.609e-05,0.06
130,,,1.6100000000000002e-05,12200.0,,,1.6100000000000002e-05,0.08
131,,,1.611e-05,12400.0,,,1.611e-05,0.08
132,,,1.612e-05,12400.0,,,1.612e-05,0.06
133,,,1.613e-05,12400.0,,,1.613e-05,0.06
134,,,1.614e-05,12400.0,,,1.614e-05,0.08
135,,,1.615e-05,12200.0,,,1.615e-05,0.08
136,,,1.616e-05,12400.0,,,1.616e-05,0.1
137,,,1.617e-05,12400.0,,,1.617e-05,0.12
138,,,1.618e-05,12400.0,,,1.618e-05,0.08
139,,,1.619e-05,12400.0,,,1.619e-05,0.08
140,,,1.62e-05,12400.0,,,1.62e-05,0.08
