,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.000113,5400.0,CH activo,4,-0.000113,0.088
1,Int. Temporal,1e-07,-0.00011289999999999999,5600.0,Int. Temporal,1e-07,-0.00011289999999999999,0.088
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",-0.00011279999999999999,5600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.2E3
",-0.00011279999999999999,0.088
3,Unidades verticales,"""V""",-0.0001127,5800.0,Unidades verticales,"""V""",-0.0001127,0.08
4,Volts x div,5.0E3,-0.0001126,5800.0,Volts x div,2.0E-1,-0.0001126,0.096
5,Offset vertical (en unidades digitales),124.0,-0.0001125,5600.0,Offset vertical (en unidades digitales),96.0,-0.0001125,0.088
6,Unidades horizontales,"""s""
",-0.0001124,5600.0,Unidades horizontales,"""s""
",-0.0001124,0.096
7,Escala horizontal,1e-07,-0.00011229999999999999,5600.0,Escala horizontal,1e-07,-0.00011229999999999999,0.088
8,Cero vertical (en unidades verticales),0.0,-0.00011219999999999999,5800.0,Cero vertical (en unidades verticales),0.0,-0.00011219999999999999,0.088
9,Factor de Atenuacion,1.0E3,-0.0001121,5800.0,Factor de Atenuacion,1.0E0,-0.0001121,0.088
10,Fecha,22-08-2024 10:58:06,-0.000112,6200.0,Fecha,22-08-2024 10:58:11,-0.000112,0.088
11,,,-0.0001119,6000.0,,,-0.0001119,0.08
12,,,-0.0001118,6000.0,,,-0.0001118,0.088
13,,,-0.00011169999999999999,6200.0,,,-0.00011169999999999999,0.096
14,,,-0.0001116,6000.0,,,-0.0001116,0.08
15,,,-0.0001115,6000.0,,,-0.0001115,0.088
16,,,-0.0001114,6200.0,,,-0.0001114,0.088
17,,,-0.0001113,6400.0,,,-0.0001113,0.088
