,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.000363,11600.0,CH activo,4,0.000363,0.1
1,Int. Temporal,2e-08,0.00036302,11600.0,Int. Temporal,2e-08,0.00036302,0.1
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.4E3
",0.00036303999999999997,11200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.4E3
",0.00036303999999999997,0.12
3,Unidades verticales,"""V""",0.00036306,11400.0,Unidades verticales,"""V""",0.00036306,0.12
4,Volts x div,5.0E3,0.00036308,11600.0,Volts x div,5.0E-1,0.00036308,0.14
5,Offset vertical (en unidades digitales),123.0,0.0003631,11400.0,Offset vertical (en unidades digitales),51.0,0.0003631,0.08
6,Unidades horizontales,"""s""
",0.00036312,11600.0,Unidades horizontales,"""s""
",0.00036312,0.1
7,Escala horizontal,2e-08,0.00036313999999999997,11800.0,Escala horizontal,2e-08,0.00036313999999999997,0.1
8,Cero vertical (en unidades verticales),0.0,0.00036316,11600.0,Cero vertical (en unidades verticales),0.0,0.00036316,0.1
9,Factor de Atenuacion,1.0E3,0.00036318,11200.0,Factor de Atenuacion,1.0E0,0.00036318,0.1
10,Fecha,25-04-2024 09:46:57,0.0003632,11600.0,Fecha,25-04-2024 09:47:02,0.0003632,0.08
11,,,0.00036322,11600.0,,,0.00036322,0.12
12,,,0.00036323999999999997,11600.0,,,0.00036323999999999997,0.12
13,,,0.00036325999999999996,11800.0,,,0.00036325999999999996,0.08
14,,,0.00036328,11600.0,,,0.00036328,0.14
15,,,0.0003633,11800.0,,,0.0003633,0.08
16,,,0.00036332,11400.0,,,0.00036332,0.06
17,,,0.00036334,11800.0,,,0.00036334,0.1
18,,,0.00036335999999999996,11800.0,,,0.00036335999999999996,0.12
19,,,0.00036338,11800.0,,,0.00036338,0.12
20,,,0.0003634,11600.0,,,0.0003634,0.1
21,,,0.00036342,11600.0,,,0.00036342,0.1
22,,,0.00036344,11600.0,,,0.00036344,0.12
23,,,0.00036345999999999997,11600.0,,,0.00036345999999999997,0.12
24,,,0.00036348,11600.0,,,0.00036348,0.08
25,,,0.0003635,11800.0,,,0.0003635,0.12
26,,,0.00036352,11600.0,,,0.00036352,0.1
27,,,0.00036354,11600.0,,,0.00036354,0.12
28,,,0.00036355999999999997,11800.0,,,0.00036355999999999997,0.08
29,,,0.00036358,12000.0,,,0.00036358,0.12
30,,,0.0003636,11800.0,,,0.0003636,0.12
31,,,0.00036362,11800.0,,,0.00036362,0.1
32,,,0.00036364,11600.0,,,0.00036364,0.12
33,,,0.00036365999999999997,11800.0,,,0.00036365999999999997,0.1
34,,,0.00036367999999999996,12000.0,,,0.00036367999999999996,0.08
35,,,0.0003637,11600.0,,,0.0003637,0.1
36,,,0.00036372,11800.0,,,0.00036372,0.1
37,,,0.00036374,11800.0,,,0.00036374,0.12
38,,,0.00036376,11800.0,,,0.00036376,0.1
39,,,0.00036377999999999996,11800.0,,,0.00036377999999999996,0.12
40,,,0.0003638,12000.0,,,0.0003638,0.1
41,,,0.00036382,11800.0,,,0.00036382,0.1
42,,,0.00036384,11800.0,,,0.00036384,0.12
43,,,0.00036386,12000.0,,,0.00036386,0.1
44,,,0.00036387999999999997,11800.0,,,0.00036387999999999997,0.12
45,,,0.0003639,11800.0,,,0.0003639,0.12
46,,,0.00036392,11800.0,,,0.00036392,0.12
47,,,0.00036394,11800.0,,,0.00036394,0.1
48,,,0.00036396,11800.0,,,0.00036396,0.08
49,,,0.00036397999999999997,11600.0,,,0.00036397999999999997,0.12
50,,,0.000364,12000.0,,,0.000364,0.12
51,,,0.00036402,12000.0,,,0.00036402,0.1
52,,,0.00036404,12000.0,,,0.00036404,0.08
53,,,0.00036406,12000.0,,,0.00036406,0.1
54,,,0.00036407999999999997,11800.0,,,0.00036407999999999997,0.12
55,,,0.0003641,11800.0,,,0.0003641,0.1
56,,,0.00036412,12000.0,,,0.00036412,0.12
57,,,0.00036414,11800.0,,,0.00036414,0.04
58,,,0.00036416,12200.0,,,0.00036416,0.12
59,,,0.00036417999999999997,12000.0,,,0.00036417999999999997,0.14
60,,,0.00036419999999999996,12000.0,,,0.00036419999999999996,0.12
61,,,0.00036422,12000.0,,,0.00036422,0.12
62,,,0.00036424,12000.0,,,0.00036424,0.06
63,,,0.00036426,12200.0,,,0.00036426,0.12
64,,,0.00036428,12200.0,,,0.00036428,0.12
65,,,0.00036429999999999996,12000.0,,,0.00036429999999999996,0.12
66,,,0.00036432,12000.0,,,0.00036432,0.12
67,,,0.00036434,12000.0,,,0.00036434,0.1
68,,,0.00036436,12000.0,,,0.00036436,0.12
69,,,0.00036438,12000.0,,,0.00036438,0.12
70,,,0.00036439999999999997,12000.0,,,0.00036439999999999997,0.1
71,,,0.00036442,12200.0,,,0.00036442,0.08
72,,,0.00036444,12200.0,,,0.00036444,0.12
73,,,0.00036446,11800.0,,,0.00036446,0.12
74,,,0.00036448,12000.0,,,0.00036448,0.14
75,,,0.00036449999999999997,12000.0,,,0.00036449999999999997,0.12
76,,,0.00036452,12200.0,,,0.00036452,0.1
77,,,0.00036454,12200.0,,,0.00036454,0.12
78,,,0.00036456,12000.0,,,0.00036456,0.12
79,,,0.00036458,12000.0,,,0.00036458,0.12
80,,,0.00036459999999999997,12200.0,,,0.00036459999999999997,0.12
81,,,0.00036461999999999996,12000.0,,,0.00036461999999999996,0.08
82,,,0.00036464,12200.0,,,0.00036464,0.1
83,,,0.00036466,12000.0,,,0.00036466,0.12
84,,,0.00036468,12200.0,,,0.00036468,0.1
85,,,0.0003647,12200.0,,,0.0003647,0.12
86,,,0.00036471999999999996,12400.0,,,0.00036471999999999996,0.1
87,,,0.00036474,12000.0,,,0.00036474,0.14
88,,,0.00036476,12400.0,,,0.00036476,0.1
89,,,0.00036478,12200.0,,,0.00036478,0.12
90,,,0.0003648,12200.0,,,0.0003648,0.08
91,,,0.00036481999999999997,12200.0,,,0.00036481999999999997,0.1
92,,,0.00036484,12200.0,,,0.00036484,0.12
93,,,0.00036486,12400.0,,,0.00036486,0.14
94,,,0.00036488,12400.0,,,0.00036488,0.12
95,,,0.0003649,12200.0,,,0.0003649,0.1
96,,,0.00036491999999999997,12200.0,,,0.00036491999999999997,0.1
97,,,0.00036494,12200.0,,,0.00036494,0.1
98,,,0.00036496,12200.0,,,0.00036496,0.12
99,,,0.00036498,12400.0,,,0.00036498,0.08
100,,,0.000365,12400.0,,,0.000365,0.08
101,,,0.00036501999999999997,12400.0,,,0.00036501999999999997,0.1
102,,,0.00036503999999999996,12400.0,,,0.00036503999999999996,0.14
103,,,0.00036506,12400.0,,,0.00036506,0.12
104,,,0.00036508,12400.0,,,0.00036508,0.08
105,,,0.0003651,12400.0,,,0.0003651,0.12
