,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.000263,17000.0,CH activo,4,0.000263,0.52
1,Int. Temporal,1e-07,0.0002631,17200.0,Int. Temporal,1e-07,0.0002631,0.46
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.4E3
",0.0002632,17200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.4E3
",0.0002632,0.3
3,Unidades verticales,"""V""",0.0002633,17000.0,Unidades verticales,"""V""",0.0002633,0.26
4,Volts x div,5.0E3,0.0002634,17200.0,Volts x div,5.0E-1,0.0002634,0.12
5,Offset vertical (en unidades digitales),123.0,0.0002635,17200.0,Offset vertical (en unidades digitales),51.0,0.0002635,0.12
6,Unidades horizontales,"""s""
",0.0002636,17200.0,Unidades horizontales,"""s""
",0.0002636,0.08
7,Escala horizontal,1e-07,0.0002637,17200.0,Escala horizontal,1e-07,0.0002637,0.06
8,Cero vertical (en unidades verticales),0.0,0.0002638,17200.0,Cero vertical (en unidades verticales),0.0,0.0002638,0.08
9,Factor de Atenuacion,1.0E3,0.0002639,17400.0,Factor de Atenuacion,1.0E0,0.0002639,0.04
10,Fecha,25-04-2024 09:49:34,0.000264,17200.0,Fecha,25-04-2024 09:49:40,0.000264,0.08
11,,,0.0002641,17200.0,,,0.0002641,0.06
12,,,0.00026419999999999997,17200.0,,,0.00026419999999999997,0.06
13,,,0.0002643,17200.0,,,0.0002643,0.08
14,,,0.0002644,17400.0,,,0.0002644,0.1
15,,,0.0002645,17000.0,,,0.0002645,0.06
16,,,0.0002646,17200.0,,,0.0002646,0.06
17,,,0.0002647,17200.0,,,0.0002647,0.08
18,,,0.0002648,17200.0,,,0.0002648,0.06
19,,,0.0002649,17200.0,,,0.0002649,0.06
20,,,0.000265,17400.0,,,0.000265,0.08
21,,,0.0002651,17400.0,,,0.0002651,0.04
22,,,0.0002652,17400.0,,,0.0002652,0.04
23,,,0.0002653,17600.0,,,0.0002653,0.06
24,,,0.0002654,17200.0,,,0.0002654,0.04
25,,,0.0002655,17600.0,,,0.0002655,0.02
26,,,0.0002656,17600.0,,,0.0002656,0.02
27,,,0.0002657,17400.0,,,0.0002657,0.0
28,,,0.0002658,17600.0,,,0.0002658,0.08
29,,,0.0002659,17400.0,,,0.0002659,0.04
30,,,0.000266,17800.0,,,0.000266,0.08
31,,,0.0002661,17800.0,,,0.0002661,0.06
32,,,0.0002662,17600.0,,,0.0002662,0.04
33,,,0.0002663,17600.0,,,0.0002663,0.04
34,,,0.00026639999999999997,17800.0,,,0.00026639999999999997,0.06
35,,,0.00026649999999999997,17800.0,,,0.00026649999999999997,0.06
36,,,0.0002666,17600.0,,,0.0002666,0.06
37,,,0.0002667,17600.0,,,0.0002667,0.02
38,,,0.0002668,17600.0,,,0.0002668,0.04
39,,,0.0002669,17600.0,,,0.0002669,0.06
