,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,4e-06,6600.0,CH activo,4,4e-06,0.12
1,Int. Temporal,2e-08,4.02e-06,6400.0,Int. Temporal,2e-08,4.02e-06,0.1
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",4.0399999999999994e-06,6400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",4.0399999999999994e-06,0.1
3,Unidades verticales,"""V""",4.06e-06,6400.0,Unidades verticales,"""V""",4.06e-06,0.14
4,Volts x div,5.0E3,4.08e-06,6400.0,Volts x div,5.0E-1,4.08e-06,0.1
5,Offset vertical (en unidades digitales),120.0,4.1e-06,6400.0,Offset vertical (en unidades digitales),73.0,4.1e-06,0.14
6,Unidades horizontales,"""s""
",4.1199999999999995e-06,6400.0,Unidades horizontales,"""s""
",4.1199999999999995e-06,0.12
7,Escala horizontal,2e-08,4.14e-06,6600.0,Escala horizontal,2e-08,4.14e-06,0.12
8,Cero vertical (en unidades verticales),0.0,4.16e-06,6400.0,Cero vertical (en unidades verticales),0.0,4.16e-06,0.12
9,Factor de Atenuacion,1.0E3,4.18e-06,6400.0,Factor de Atenuacion,1.0E0,4.18e-06,0.1
10,Fecha,25-06-2024 17:38:32,4.2e-06,6200.0,Fecha,25-06-2024 17:38:37,4.2e-06,0.12
11,,,4.22e-06,6600.0,,,4.22e-06,0.12
12,,,4.24e-06,6400.0,,,4.24e-06,0.1
13,,,4.26e-06,6600.0,,,4.26e-06,0.1
14,,,4.28e-06,6600.0,,,4.28e-06,0.14
15,,,4.2999999999999995e-06,6600.0,,,4.2999999999999995e-06,0.12
16,,,4.32e-06,6800.0,,,4.32e-06,0.12
17,,,4.34e-06,6600.0,,,4.34e-06,0.12
18,,,4.36e-06,6600.0,,,4.36e-06,0.12
19,,,4.3799999999999996e-06,6600.0,,,4.3799999999999996e-06,0.12
20,,,4.4e-06,6400.0,,,4.4e-06,0.1
21,,,4.42e-06,6400.0,,,4.42e-06,0.12
22,,,4.44e-06,6400.0,,,4.44e-06,0.12
23,,,4.46e-06,6600.0,,,4.46e-06,0.12
24,,,4.4799999999999995e-06,6400.0,,,4.4799999999999995e-06,0.14
25,,,4.5e-06,6600.0,,,4.5e-06,0.12
26,,,4.52e-06,6600.0,,,4.52e-06,0.1
27,,,4.54e-06,6600.0,,,4.54e-06,0.12
28,,,4.5599999999999995e-06,6800.0,,,4.5599999999999995e-06,0.12
29,,,4.58e-06,6400.0,,,4.58e-06,0.16
30,,,4.6e-06,6600.0,,,4.6e-06,0.08
31,,,4.62e-06,6600.0,,,4.62e-06,0.12
32,,,4.64e-06,6600.0,,,4.64e-06,0.1
33,,,4.6599999999999994e-06,6800.0,,,4.6599999999999994e-06,0.12
34,,,4.68e-06,6600.0,,,4.68e-06,0.1
35,,,4.7e-06,7000.0,,,4.7e-06,0.12
36,,,4.72e-06,6600.0,,,4.72e-06,0.14
37,,,4.7399999999999995e-06,6800.0,,,4.7399999999999995e-06,0.12
38,,,4.76e-06,6600.0,,,4.76e-06,0.1
39,,,4.78e-06,7000.0,,,4.78e-06,0.06
40,,,4.8e-06,6800.0,,,4.8e-06,0.1
41,,,4.82e-06,6600.0,,,4.82e-06,0.1
42,,,4.839999999999999e-06,7000.0,,,4.839999999999999e-06,0.1
43,,,4.86e-06,6600.0,,,4.86e-06,0.1
44,,,4.88e-06,6800.0,,,4.88e-06,0.1
45,,,4.9e-06,6800.0,,,4.9e-06,0.12
46,,,4.9199999999999995e-06,6800.0,,,4.9199999999999995e-06,0.12
47,,,4.94e-06,6600.0,,,4.94e-06,0.14
48,,,4.96e-06,7000.0,,,4.96e-06,0.1
49,,,4.98e-06,6800.0,,,4.98e-06,0.08
50,,,4.9999999999999996e-06,7000.0,,,4.9999999999999996e-06,0.1
51,,,5.019999999999999e-06,6800.0,,,5.019999999999999e-06,0.12
52,,,5.04e-06,6800.0,,,5.04e-06,0.12
53,,,5.06e-06,6800.0,,,5.06e-06,0.1
54,,,5.08e-06,6800.0,,,5.08e-06,0.12
55,,,5.1e-06,6800.0,,,5.1e-06,0.12
56,,,5.12e-06,6800.0,,,5.12e-06,0.14
57,,,5.14e-06,6800.0,,,5.14e-06,0.14
58,,,5.16e-06,6800.0,,,5.16e-06,0.12
59,,,5.1799999999999995e-06,7000.0,,,5.1799999999999995e-06,0.12
60,,,5.199999999999999e-06,6800.0,,,5.199999999999999e-06,0.14
61,,,5.22e-06,6800.0,,,5.22e-06,0.12
62,,,5.24e-06,6800.0,,,5.24e-06,0.12
63,,,5.26e-06,6600.0,,,5.26e-06,0.1
64,,,5.28e-06,6600.0,,,5.28e-06,0.08
65,,,5.3e-06,7000.0,,,5.3e-06,0.12
66,,,5.32e-06,6800.0,,,5.32e-06,0.12
67,,,5.34e-06,7000.0,,,5.34e-06,0.14
68,,,5.3599999999999995e-06,7000.0,,,5.3599999999999995e-06,0.12
69,,,5.38e-06,7200.0,,,5.38e-06,0.12
70,,,5.4e-06,7000.0,,,5.4e-06,0.1
71,,,5.42e-06,7000.0,,,5.42e-06,0.14
72,,,5.44e-06,7000.0,,,5.44e-06,0.1
73,,,5.46e-06,7000.0,,,5.46e-06,0.1
74,,,5.48e-06,6800.0,,,5.48e-06,0.12
75,,,5.5e-06,7000.0,,,5.5e-06,0.1
76,,,5.52e-06,7000.0,,,5.52e-06,0.12
77,,,5.5399999999999995e-06,6800.0,,,5.5399999999999995e-06,0.08
78,,,5.56e-06,7000.0,,,5.56e-06,0.12
79,,,5.58e-06,7200.0,,,5.58e-06,0.1
80,,,5.6e-06,7000.0,,,5.6e-06,0.1
81,,,5.6199999999999996e-06,7200.0,,,5.6199999999999996e-06,0.1
82,,,5.64e-06,7200.0,,,5.64e-06,0.14
83,,,5.66e-06,7200.0,,,5.66e-06,0.14
84,,,5.68e-06,7200.0,,,5.68e-06,0.12
85,,,5.7e-06,7000.0,,,5.7e-06,0.1
86,,,5.7199999999999994e-06,7000.0,,,5.7199999999999994e-06,0.08
87,,,5.74e-06,7200.0,,,5.74e-06,0.12
88,,,5.76e-06,7000.0,,,5.76e-06,0.14
89,,,5.78e-06,7200.0,,,5.78e-06,0.14
90,,,5.8e-06,7200.0,,,5.8e-06,0.12
91,,,5.82e-06,7000.0,,,5.82e-06,0.08
92,,,5.84e-06,7200.0,,,5.84e-06,0.12
93,,,5.86e-06,7200.0,,,5.86e-06,0.12
94,,,5.88e-06,7200.0,,,5.88e-06,0.12
95,,,5.899999999999999e-06,7000.0,,,5.899999999999999e-06,0.08
96,,,5.92e-06,7400.0,,,5.92e-06,0.08
97,,,5.94e-06,7200.0,,,5.94e-06,0.12
98,,,5.96e-06,7200.0,,,5.96e-06,0.1
99,,,5.98e-06,7200.0,,,5.98e-06,0.12
100,,,6e-06,7400.0,,,6e-06,0.12
101,,,6.02e-06,7200.0,,,6.02e-06,0.12
102,,,6.04e-06,7200.0,,,6.04e-06,0.14
103,,,6.06e-06,7200.0,,,6.06e-06,0.12
104,,,6.079999999999999e-06,7400.0,,,6.079999999999999e-06,0.12
105,,,6.1e-06,7200.0,,,6.1e-06,0.12
106,,,6.12e-06,7400.0,,,6.12e-06,0.12
107,,,6.14e-06,7200.0,,,6.14e-06,0.12
108,,,6.16e-06,7200.0,,,6.16e-06,0.12
109,,,6.18e-06,7200.0,,,6.18e-06,0.12
110,,,6.2e-06,7400.0,,,6.2e-06,0.1
111,,,6.22e-06,7400.0,,,6.22e-06,0.1
112,,,6.2399999999999995e-06,7400.0,,,6.2399999999999995e-06,0.14
113,,,6.259999999999999e-06,7400.0,,,6.259999999999999e-06,0.12
114,,,6.28e-06,7400.0,,,6.28e-06,0.1
115,,,6.3e-06,7200.0,,,6.3e-06,0.14
116,,,6.3200000000000005e-06,7400.0,,,6.3200000000000005e-06,0.1
117,,,6.34e-06,7200.0,,,6.34e-06,0.12
118,,,6.36e-06,7400.0,,,6.36e-06,0.12
119,,,6.38e-06,7400.0,,,6.38e-06,0.1
120,,,6.4e-06,7400.0,,,6.4e-06,0.12
121,,,6.4199999999999995e-06,7400.0,,,6.4199999999999995e-06,0.1
122,,,6.439999999999999e-06,7400.0,,,6.439999999999999e-06,0.1
123,,,6.46e-06,7200.0,,,6.46e-06,0.12
124,,,6.48e-06,7600.0,,,6.48e-06,0.12
125,,,6.5000000000000004e-06,7200.0,,,6.5000000000000004e-06,0.12
126,,,6.52e-06,7600.0,,,6.52e-06,0.12
127,,,6.54e-06,7600.0,,,6.54e-06,0.12
128,,,6.56e-06,7400.0,,,6.56e-06,0.12
129,,,6.58e-06,7200.0,,,6.58e-06,0.12
130,,,6.5999999999999995e-06,7400.0,,,6.5999999999999995e-06,0.12
131,,,6.619999999999999e-06,7400.0,,,6.619999999999999e-06,0.12
132,,,6.64e-06,7600.0,,,6.64e-06,0.14
133,,,6.66e-06,7400.0,,,6.66e-06,0.1
134,,,6.68e-06,7800.0,,,6.68e-06,0.14
135,,,6.7e-06,7400.0,,,6.7e-06,0.12
136,,,6.72e-06,7600.0,,,6.72e-06,0.16
137,,,6.74e-06,7400.0,,,6.74e-06,0.1
138,,,6.76e-06,7600.0,,,6.76e-06,0.1
139,,,6.7799999999999995e-06,7600.0,,,6.7799999999999995e-06,0.12
140,,,6.799999999999999e-06,7600.0,,,6.799999999999999e-06,0.14
141,,,6.82e-06,7400.0,,,6.82e-06,0.12
142,,,6.84e-06,7600.0,,,6.84e-06,0.1
143,,,6.86e-06,7600.0,,,6.86e-06,0.08
144,,,6.88e-06,7200.0,,,6.88e-06,0.12
145,,,6.9e-06,7600.0,,,6.9e-06,0.1
146,,,6.92e-06,7600.0,,,6.92e-06,0.14
147,,,6.94e-06,7600.0,,,6.94e-06,0.12
148,,,6.9599999999999994e-06,7600.0,,,6.9599999999999994e-06,0.1
