,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-9.6e-05,12400.0,CH activo,4,-9.6e-05,0.1
1,Int. Temporal,1e-07,-9.59e-05,12400.0,Int. Temporal,1e-07,-9.59e-05,0.1
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",-9.58e-05,12400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.36E3
",-9.58e-05,0.1
3,Unidades verticales,"""V""",-9.570000000000001e-05,12600.0,Unidades verticales,"""V""",-9.570000000000001e-05,0.12
4,Volts x div,5.0E3,-9.56e-05,12600.0,Volts x div,5.0E-1,-9.56e-05,0.1
5,Offset vertical (en unidades digitales),120.0,-9.55e-05,12400.0,Offset vertical (en unidades digitales),75.0,-9.55e-05,0.12
6,Unidades horizontales,"""s""
",-9.54e-05,12600.0,Unidades horizontales,"""s""
",-9.54e-05,0.1
7,Escala horizontal,1e-07,-9.53e-05,12600.0,Escala horizontal,1e-07,-9.53e-05,0.1
8,Cero vertical (en unidades verticales),0.0,-9.52e-05,12600.0,Cero vertical (en unidades verticales),0.0,-9.52e-05,0.5
9,Factor de Atenuacion,1.0E3,-9.510000000000001e-05,12800.0,Factor de Atenuacion,1.0E0,-9.510000000000001e-05,0.0
10,Fecha,25-06-2024 17:18:47,-9.5e-05,12600.0,Fecha,25-06-2024 17:18:53,-9.5e-05,0.04
11,,,-9.49e-05,12600.0,,,-9.49e-05,0.06
12,,,-9.48e-05,12600.0,,,-9.48e-05,0.12
13,,,-9.47e-05,12600.0,,,-9.47e-05,0.08
14,,,-9.460000000000001e-05,12600.0,,,-9.460000000000001e-05,0.04
15,,,-9.45e-05,13000.0,,,-9.45e-05,0.06
16,,,-9.44e-05,12800.0,,,-9.44e-05,0.06
17,,,-9.43e-05,12800.0,,,-9.43e-05,0.08
18,,,-9.42e-05,13000.0,,,-9.42e-05,0.1
19,,,-9.41e-05,12800.0,,,-9.41e-05,0.1
20,,,-9.400000000000001e-05,12800.0,,,-9.400000000000001e-05,0.1
21,,,-9.39e-05,12800.0,,,-9.39e-05,0.1
22,,,-9.38e-05,13000.0,,,-9.38e-05,0.1
23,,,-9.37e-05,12800.0,,,-9.37e-05,0.12
24,,,-9.36e-05,13000.0,,,-9.36e-05,0.08
25,,,-9.35e-05,13000.0,,,-9.35e-05,0.1
26,,,-9.340000000000001e-05,13200.0,,,-9.340000000000001e-05,0.1
27,,,-9.33e-05,13200.0,,,-9.33e-05,0.1
28,,,-9.32e-05,13200.0,,,-9.32e-05,0.1
29,,,-9.31e-05,13000.0,,,-9.31e-05,0.1
30,,,-9.3e-05,13000.0,,,-9.3e-05,0.1
31,,,-9.290000000000001e-05,13400.0,,,-9.290000000000001e-05,0.08
32,,,-9.28e-05,13200.0,,,-9.28e-05,0.08
33,,,-9.27e-05,13400.0,,,-9.27e-05,0.06
34,,,-9.26e-05,13400.0,,,-9.26e-05,0.1
35,,,-9.25e-05,13400.0,,,-9.25e-05,0.1
36,,,-9.24e-05,13400.0,,,-9.24e-05,0.1
37,,,-9.230000000000001e-05,13400.0,,,-9.230000000000001e-05,0.1
38,,,-9.22e-05,13400.0,,,-9.22e-05,0.1
39,,,-9.21e-05,13400.0,,,-9.21e-05,0.06
40,,,-9.2e-05,13400.0,,,-9.2e-05,0.06
41,,,-9.19e-05,13200.0,,,-9.19e-05,0.1
42,,,-9.180000000000001e-05,13600.0,,,-9.180000000000001e-05,0.08
43,,,-9.17e-05,13800.0,,,-9.17e-05,0.08
44,,,-9.16e-05,13400.0,,,-9.16e-05,0.08
45,,,-9.15e-05,13600.0,,,-9.15e-05,0.08
46,,,-9.14e-05,13600.0,,,-9.14e-05,0.08
47,,,-9.13e-05,13600.0,,,-9.13e-05,0.08
48,,,-9.120000000000001e-05,13800.0,,,-9.120000000000001e-05,0.06
49,,,-9.11e-05,13800.0,,,-9.11e-05,0.08
50,,,-9.1e-05,13800.0,,,-9.1e-05,0.08
51,,,-9.09e-05,13800.0,,,-9.09e-05,0.1
52,,,-9.08e-05,14000.0,,,-9.08e-05,0.08
53,,,-9.070000000000001e-05,13600.0,,,-9.070000000000001e-05,0.1
54,,,-9.06e-05,13600.0,,,-9.06e-05,0.08
55,,,-9.05e-05,13600.0,,,-9.05e-05,0.46
56,,,-9.04e-05,13800.0,,,-9.04e-05,0.76
57,,,-9.03e-05,13600.0,,,-9.03e-05,0.2
58,,,-9.02e-05,13800.0,,,-9.02e-05,0.1
59,,,-9.010000000000001e-05,13800.0,,,-9.010000000000001e-05,0.08
60,,,-9e-05,13800.0,,,-9e-05,0.1
61,,,-8.99e-05,13600.0,,,-8.99e-05,0.08
62,,,-8.98e-05,13800.0,,,-8.98e-05,0.06
63,,,-8.97e-05,13800.0,,,-8.97e-05,0.08
64,,,-8.960000000000001e-05,14000.0,,,-8.960000000000001e-05,0.04
65,,,-8.950000000000001e-05,13800.0,,,-8.950000000000001e-05,0.04
