,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-9.82e-05,13800.0,CH activo,4,-9.82e-05,0.096
1,Int. Temporal,1e-07,-9.81e-05,13800.0,Int. Temporal,1e-07,-9.81e-05,0.096
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.8E3
",-9.8e-05,13800.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.8E3
",-9.8e-05,0.08
3,Unidades verticales,"""V""",-9.790000000000001e-05,14000.0,Unidades verticales,"""V""",-9.790000000000001e-05,0.07200000000000001
4,Volts x div,5.0E3,-9.78e-05,13600.0,Volts x div,2.0E-1,-9.78e-05,0.096
5,Offset vertical (en unidades digitales),101.0,-9.77e-05,13600.0,Offset vertical (en unidades digitales),79.0,-9.77e-05,0.096
6,Unidades horizontales,"""s""
",-9.76e-05,13800.0,Unidades horizontales,"""s""
",-9.76e-05,0.08
7,Escala horizontal,1e-07,-9.75e-05,13800.0,Escala horizontal,1e-07,-9.75e-05,0.08
8,Cero vertical (en unidades verticales),0.0,-9.74e-05,14000.0,Cero vertical (en unidades verticales),0.0,-9.74e-05,0.24
9,Factor de Atenuacion,1.0E3,-9.730000000000001e-05,14000.0,Factor de Atenuacion,1.0E0,-9.730000000000001e-05,0.176
10,Fecha,28-05-2024 17:57:05,-9.72e-05,13800.0,Fecha,28-05-2024 17:57:11,-9.72e-05,0.096
11,,,-9.71e-05,13800.0,,,-9.71e-05,0.088
12,,,-9.7e-05,14200.0,,,-9.7e-05,0.088
13,,,-9.69e-05,13800.0,,,-9.69e-05,0.08
14,,,-9.680000000000001e-05,13800.0,,,-9.680000000000001e-05,0.088
15,,,-9.67e-05,14200.0,,,-9.67e-05,0.112
16,,,-9.66e-05,14200.0,,,-9.66e-05,-0.04
17,,,-9.65e-05,14000.0,,,-9.65e-05,0.216
18,,,-9.64e-05,14200.0,,,-9.64e-05,0.256
19,,,-9.63e-05,14200.0,,,-9.63e-05,0.128
20,,,-9.620000000000001e-05,13800.0,,,-9.620000000000001e-05,0.088
21,,,-9.61e-05,14200.0,,,-9.61e-05,0.088
22,,,-9.6e-05,14200.0,,,-9.6e-05,0.07200000000000001
23,,,-9.59e-05,14200.0,,,-9.59e-05,0.08
24,,,-9.58e-05,14200.0,,,-9.58e-05,0.07200000000000001
25,,,-9.57e-05,14200.0,,,-9.57e-05,0.07200000000000001
26,,,-9.56e-05,14200.0,,,-9.56e-05,0.07200000000000001
27,,,-9.55e-05,14200.0,,,-9.55e-05,0.07200000000000001
28,,,-9.54e-05,14400.0,,,-9.54e-05,-0.016
29,,,-9.53e-05,14400.0,,,-9.53e-05,0.07200000000000001
30,,,-9.52e-05,14400.0,,,-9.52e-05,0.08
31,,,-9.510000000000001e-05,14200.0,,,-9.510000000000001e-05,0.096
32,,,-9.5e-05,14400.0,,,-9.5e-05,0.07200000000000001
33,,,-9.49e-05,14400.0,,,-9.49e-05,0.07200000000000001
34,,,-9.48e-05,14400.0,,,-9.48e-05,0.08
35,,,-9.47e-05,14400.0,,,-9.47e-05,0.064
36,,,-9.46e-05,14400.0,,,-9.46e-05,0.088
37,,,-9.45e-05,14400.0,,,-9.45e-05,0.224
38,,,-9.44e-05,14400.0,,,-9.44e-05,0.14400000000000002
39,,,-9.43e-05,14600.0,,,-9.43e-05,0.064
40,,,-9.42e-05,14400.0,,,-9.42e-05,0.08
41,,,-9.41e-05,14400.0,,,-9.41e-05,0.064
42,,,-9.400000000000001e-05,14400.0,,,-9.400000000000001e-05,0.064
43,,,-9.39e-05,14400.0,,,-9.39e-05,0.064
44,,,-9.38e-05,14600.0,,,-9.38e-05,0.07200000000000001
45,,,-9.37e-05,14600.0,,,-9.37e-05,0.064
46,,,-9.36e-05,14400.0,,,-9.36e-05,0.07200000000000001
47,,,-9.35e-05,14600.0,,,-9.35e-05,0.07200000000000001
48,,,-9.340000000000001e-05,14600.0,,,-9.340000000000001e-05,0.064
49,,,-9.33e-05,14800.0,,,-9.33e-05,0.064
50,,,-9.32e-05,14600.0,,,-9.32e-05,0.064
51,,,-9.31e-05,14600.0,,,-9.31e-05,0.064
52,,,-9.3e-05,14600.0,,,-9.3e-05,0.056
53,,,-9.290000000000001e-05,14600.0,,,-9.290000000000001e-05,0.064
54,,,-9.28e-05,14600.0,,,-9.28e-05,0.056
55,,,-9.27e-05,14600.0,,,-9.27e-05,0.064
56,,,-9.26e-05,14800.0,,,-9.26e-05,0.064
57,,,-9.25e-05,14800.0,,,-9.25e-05,0.056
58,,,-9.24e-05,14800.0,,,-9.24e-05,0.056
59,,,-9.230000000000001e-05,14800.0,,,-9.230000000000001e-05,0.056
60,,,-9.22e-05,14800.0,,,-9.22e-05,0.048
61,,,-9.21e-05,15000.0,,,-9.21e-05,0.064
62,,,-9.2e-05,14800.0,,,-9.2e-05,0.056
63,,,-9.19e-05,14800.0,,,-9.19e-05,0.048
64,,,-9.180000000000001e-05,14800.0,,,-9.180000000000001e-05,0.056
65,,,-9.17e-05,14600.0,,,-9.17e-05,0.056
66,,,-9.16e-05,14800.0,,,-9.16e-05,0.056
67,,,-9.15e-05,14800.0,,,-9.15e-05,0.056
68,,,-9.14e-05,15000.0,,,-9.14e-05,0.048
69,,,-9.13e-05,14800.0,,,-9.13e-05,0.048
70,,,-9.120000000000001e-05,14800.0,,,-9.120000000000001e-05,0.064
71,,,-9.11e-05,15000.0,,,-9.11e-05,0.12
72,,,-9.1e-05,15000.0,,,-9.1e-05,0.08
73,,,-9.09e-05,14800.0,,,-9.09e-05,0.064
74,,,-9.08e-05,14800.0,,,-9.08e-05,0.04
75,,,-9.070000000000001e-05,14800.0,,,-9.070000000000001e-05,0.112
76,,,-9.06e-05,14800.0,,,-9.06e-05,0.10400000000000001
77,,,-9.05e-05,14800.0,,,-9.05e-05,0.056
78,,,-9.04e-05,14800.0,,,-9.04e-05,0.064
79,,,-9.03e-05,15000.0,,,-9.03e-05,0.048
80,,,-9.02e-05,15000.0,,,-9.02e-05,0.04
81,,,-9.01e-05,14800.0,,,-9.01e-05,0.048
82,,,-9e-05,15000.0,,,-9e-05,0.048
83,,,-8.99e-05,15000.0,,,-8.99e-05,0.048
84,,,-8.98e-05,14600.0,,,-8.98e-05,0.04
85,,,-8.97e-05,15000.0,,,-8.97e-05,0.04
86,,,-8.960000000000001e-05,14800.0,,,-8.960000000000001e-05,0.04
87,,,-8.950000000000001e-05,14800.0,,,-8.950000000000001e-05,0.048
88,,,-8.94e-05,14800.0,,,-8.94e-05,0.048
89,,,-8.93e-05,15000.0,,,-8.93e-05,0.04
90,,,-8.92e-05,14800.0,,,-8.92e-05,0.04
91,,,-8.91e-05,15000.0,,,-8.91e-05,0.024
92,,,-8.9e-05,15200.0,,,-8.9e-05,0.048
93,,,-8.89e-05,15000.0,,,-8.89e-05,0.04
94,,,-8.88e-05,15200.0,,,-8.88e-05,0.032
95,,,-8.87e-05,15000.0,,,-8.87e-05,0.032
96,,,-8.86e-05,15200.0,,,-8.86e-05,0.04
97,,,-8.85e-05,15000.0,,,-8.85e-05,0.032
98,,,-8.840000000000001e-05,14800.0,,,-8.840000000000001e-05,0.032
99,,,-8.83e-05,15000.0,,,-8.83e-05,0.04
100,,,-8.82e-05,15000.0,,,-8.82e-05,0.032
101,,,-8.81e-05,15000.0,,,-8.81e-05,0.032
102,,,-8.8e-05,14600.0,,,-8.8e-05,0.032
103,,,-8.79e-05,15000.0,,,-8.79e-05,0.032
104,,,-8.78e-05,14800.0,,,-8.78e-05,0.04
105,,,-8.77e-05,15000.0,,,-8.77e-05,0.024
106,,,-8.76e-05,15000.0,,,-8.76e-05,0.024
107,,,-8.75e-05,15000.0,,,-8.75e-05,0.032
108,,,-8.74e-05,15000.0,,,-8.74e-05,0.024
109,,,-8.730000000000001e-05,14800.0,,,-8.730000000000001e-05,0.032
110,,,-8.72e-05,14800.0,,,-8.72e-05,0.024
111,,,-8.71e-05,15200.0,,,-8.71e-05,0.024
112,,,-8.7e-05,15200.0,,,-8.7e-05,0.024
113,,,-8.69e-05,15000.0,,,-8.69e-05,0.024
114,,,-8.68e-05,15200.0,,,-8.68e-05,0.032
115,,,-8.67e-05,15200.0,,,-8.67e-05,0.016
116,,,-8.66e-05,15200.0,,,-8.66e-05,0.04
117,,,-8.65e-05,15000.0,,,-8.65e-05,0.024
