,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,4e-06,8600.0,CH activo,4,4e-06,0.08
1,Int. Temporal,2e-08,4.02e-06,8400.0,Int. Temporal,2e-08,4.02e-06,0.07200000000000001
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.8E3
",4.0399999999999994e-06,8600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.8E3
",4.0399999999999994e-06,0.08
3,Unidades verticales,"""V""",4.06e-06,8600.0,Unidades verticales,"""V""",4.06e-06,0.08
4,Volts x div,5.0E3,4.08e-06,8600.0,Volts x div,2.0E-1,4.08e-06,0.088
5,Offset vertical (en unidades digitales),101.0,4.1e-06,8600.0,Offset vertical (en unidades digitales),84.0,4.1e-06,0.07200000000000001
6,Unidades horizontales,"""s""
",4.1199999999999995e-06,8800.0,Unidades horizontales,"""s""
",4.1199999999999995e-06,0.07200000000000001
7,Escala horizontal,2e-08,4.14e-06,8600.0,Escala horizontal,2e-08,4.14e-06,0.08
8,Cero vertical (en unidades verticales),0.0,4.16e-06,8400.0,Cero vertical (en unidades verticales),0.0,4.16e-06,0.08
9,Factor de Atenuacion,1.0E3,4.18e-06,8400.0,Factor de Atenuacion,1.0E0,4.18e-06,0.08
10,Fecha,28-05-2024 19:14:11,4.2e-06,8600.0,Fecha,28-05-2024 19:14:16,4.2e-06,0.088
11,,,4.22e-06,8800.0,,,4.22e-06,0.088
12,,,4.24e-06,8600.0,,,4.24e-06,0.08
13,,,4.26e-06,8800.0,,,4.26e-06,0.08
14,,,4.28e-06,8600.0,,,4.28e-06,0.07200000000000001
15,,,4.2999999999999995e-06,8600.0,,,4.2999999999999995e-06,0.088
16,,,4.32e-06,8800.0,,,4.32e-06,0.08
17,,,4.34e-06,8600.0,,,4.34e-06,0.08
18,,,4.36e-06,8800.0,,,4.36e-06,0.088
19,,,4.3799999999999996e-06,8800.0,,,4.3799999999999996e-06,0.08
20,,,4.4e-06,8800.0,,,4.4e-06,0.08
21,,,4.42e-06,8600.0,,,4.42e-06,0.08
22,,,4.44e-06,8600.0,,,4.44e-06,0.08
23,,,4.46e-06,8800.0,,,4.46e-06,0.07200000000000001
24,,,4.4799999999999995e-06,8800.0,,,4.4799999999999995e-06,0.07200000000000001
25,,,4.5e-06,8800.0,,,4.5e-06,0.08
26,,,4.52e-06,8800.0,,,4.52e-06,0.08
27,,,4.54e-06,8600.0,,,4.54e-06,0.07200000000000001
28,,,4.5599999999999995e-06,9000.0,,,4.5599999999999995e-06,0.08
29,,,4.58e-06,8800.0,,,4.58e-06,0.07200000000000001
30,,,4.6e-06,8800.0,,,4.6e-06,0.08
31,,,4.62e-06,8600.0,,,4.62e-06,0.08
32,,,4.64e-06,8800.0,,,4.64e-06,0.07200000000000001
