,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0003792,9600.0,CH activo,4,0.0003792,0.1
1,Int. Temporal,2e-08,0.00037922,9400.0,Int. Temporal,2e-08,0.00037922,0.12
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00037924,9600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00037924,0.1
3,Unidades verticales,"""V""",0.00037926,9400.0,Unidades verticales,"""V""",0.00037926,0.08
4,Volts x div,5.0E3,0.00037928,9400.0,Volts x div,5.0E-1,0.00037928,0.12
5,Offset vertical (en unidades digitales),123.0,0.0003793,9600.0,Offset vertical (en unidades digitales),43.0,0.0003793,0.1
6,Unidades horizontales,"""s""
",0.00037932,9600.0,Unidades horizontales,"""s""
",0.00037932,0.1
7,Escala horizontal,2e-08,0.00037934,9600.0,Escala horizontal,2e-08,0.00037934,0.12
8,Cero vertical (en unidades verticales),0.0,0.00037936,9600.0,Cero vertical (en unidades verticales),0.0,0.00037936,0.12
9,Factor de Atenuacion,1.0E3,0.00037938,9800.0,Factor de Atenuacion,1.0E0,0.00037938,0.12
10,Fecha,30-04-2024 18:57:13,0.0003794,9600.0,Fecha,30-04-2024 18:57:19,0.0003794,0.14
11,,,0.00037942,9400.0,,,0.00037942,0.12
12,,,0.00037944,9600.0,,,0.00037944,0.08
13,,,0.00037946,9600.0,,,0.00037946,0.1
14,,,0.00037948,9600.0,,,0.00037948,0.1
15,,,0.0003795,9400.0,,,0.0003795,0.12
16,,,0.00037952,9400.0,,,0.00037952,0.1
17,,,0.00037954,9800.0,,,0.00037954,0.08
18,,,0.00037956,9800.0,,,0.00037956,0.12
19,,,0.00037958,9600.0,,,0.00037958,0.12
20,,,0.0003796,9600.0,,,0.0003796,0.08
21,,,0.00037962,9600.0,,,0.00037962,0.08
22,,,0.00037964,9800.0,,,0.00037964,0.08
23,,,0.00037966,9600.0,,,0.00037966,0.12
24,,,0.00037968,9600.0,,,0.00037968,0.14
