,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0002577,10200.0,CH activo,4,0.0002577,0.1
1,Int. Temporal,1e-07,0.0002578,10200.0,Int. Temporal,1e-07,0.0002578,0.14
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.0002579,10000.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.0002579,0.12
3,Unidades verticales,"""V""",0.000258,10200.0,Unidades verticales,"""V""",0.000258,0.1
4,Volts x div,5.0E3,0.0002581,10200.0,Volts x div,5.0E-1,0.0002581,0.14
5,Offset vertical (en unidades digitales),123.0,0.0002582,10000.0,Offset vertical (en unidades digitales),43.0,0.0002582,0.1
6,Unidades horizontales,"""s""
",0.0002583,10200.0,Unidades horizontales,"""s""
",0.0002583,0.1
7,Escala horizontal,1e-07,0.0002584,10400.0,Escala horizontal,1e-07,0.0002584,0.08
8,Cero vertical (en unidades verticales),0.0,0.0002585,10400.0,Cero vertical (en unidades verticales),0.0,0.0002585,0.08
9,Factor de Atenuacion,1.0E3,0.0002586,10600.0,Factor de Atenuacion,1.0E0,0.0002586,0.12
10,Fecha,30-04-2024 18:55:25,0.0002587,10600.0,Fecha,30-04-2024 18:55:30,0.0002587,0.08
11,,,0.0002588,10800.0,,,0.0002588,0.12
12,,,0.00025889999999999995,10600.0,,,0.00025889999999999995,0.12
13,,,0.00025899999999999995,10800.0,,,0.00025899999999999995,0.12
14,,,0.00025909999999999996,11000.0,,,0.00025909999999999996,0.14
15,,,0.00025919999999999996,10600.0,,,0.00025919999999999996,0.12
16,,,0.00025929999999999996,10800.0,,,0.00025929999999999996,0.14
17,,,0.00025939999999999996,10800.0,,,0.00025939999999999996,0.12
18,,,0.00025949999999999997,10600.0,,,0.00025949999999999997,0.16
19,,,0.00025959999999999997,10800.0,,,0.00025959999999999997,0.12
20,,,0.00025969999999999997,10800.0,,,0.00025969999999999997,0.12
21,,,0.00025979999999999997,11000.0,,,0.00025979999999999997,0.08
22,,,0.0002599,10800.0,,,0.0002599,0.12
23,,,0.00026,11000.0,,,0.00026,0.1
24,,,0.0002601,11200.0,,,0.0002601,0.08
25,,,0.0002602,11000.0,,,0.0002602,0.12
26,,,0.0002603,11200.0,,,0.0002603,0.12
27,,,0.0002604,11000.0,,,0.0002604,0.14
28,,,0.0002605,11200.0,,,0.0002605,0.12
29,,,0.0002606,11400.0,,,0.0002606,0.12
30,,,0.0002607,11400.0,,,0.0002607,0.12
31,,,0.0002608,11600.0,,,0.0002608,0.12
32,,,0.0002609,11200.0,,,0.0002609,0.12
33,,,0.000261,11200.0,,,0.000261,0.14
34,,,0.00026109999999999995,11400.0,,,0.00026109999999999995,0.14
35,,,0.00026119999999999995,11400.0,,,0.00026119999999999995,0.12
36,,,0.00026129999999999995,11400.0,,,0.00026129999999999995,0.12
37,,,0.00026139999999999996,11600.0,,,0.00026139999999999996,0.14
38,,,0.00026149999999999996,11600.0,,,0.00026149999999999996,0.12
39,,,0.00026159999999999996,11400.0,,,0.00026159999999999996,0.1
40,,,0.00026169999999999996,11400.0,,,0.00026169999999999996,0.12
41,,,0.00026179999999999997,11600.0,,,0.00026179999999999997,0.12
42,,,0.00026189999999999997,11800.0,,,0.00026189999999999997,0.12
43,,,0.00026199999999999997,11600.0,,,0.00026199999999999997,0.12
44,,,0.0002621,11800.0,,,0.0002621,0.12
45,,,0.0002622,11800.0,,,0.0002622,0.14
46,,,0.0002623,11800.0,,,0.0002623,0.12
47,,,0.0002624,12200.0,,,0.0002624,0.1
48,,,0.0002625,12000.0,,,0.0002625,0.14
49,,,0.0002626,12000.0,,,0.0002626,0.12
50,,,0.0002627,12000.0,,,0.0002627,0.14
51,,,0.0002628,12000.0,,,0.0002628,0.1
52,,,0.0002629,12000.0,,,0.0002629,0.12
53,,,0.000263,12200.0,,,0.000263,0.1
54,,,0.0002631,12400.0,,,0.0002631,0.1
55,,,0.0002632,12200.0,,,0.0002632,0.14
56,,,0.00026329999999999995,12400.0,,,0.00026329999999999995,0.06
57,,,0.00026339999999999995,12200.0,,,0.00026339999999999995,0.1
58,,,0.00026349999999999995,12000.0,,,0.00026349999999999995,0.1
59,,,0.00026359999999999996,12400.0,,,0.00026359999999999996,0.12
60,,,0.00026369999999999996,12400.0,,,0.00026369999999999996,0.12
61,,,0.00026379999999999996,12400.0,,,0.00026379999999999996,0.12
62,,,0.00026389999999999996,12400.0,,,0.00026389999999999996,0.12
63,,,0.00026399999999999997,12400.0,,,0.00026399999999999997,0.1
64,,,0.00026409999999999997,12400.0,,,0.00026409999999999997,0.12
65,,,0.00026419999999999997,12600.0,,,0.00026419999999999997,0.14
66,,,0.0002643,12600.0,,,0.0002643,0.18
67,,,0.0002644,12800.0,,,0.0002644,0.14
68,,,0.0002645,13000.0,,,0.0002645,0.14
69,,,0.0002646,12800.0,,,0.0002646,0.08
70,,,0.0002647,12800.0,,,0.0002647,0.14
71,,,0.0002648,12800.0,,,0.0002648,0.12
72,,,0.0002649,12800.0,,,0.0002649,0.1
73,,,0.000265,12800.0,,,0.000265,0.1
74,,,0.0002651,12800.0,,,0.0002651,0.1
75,,,0.0002652,13000.0,,,0.0002652,0.12
76,,,0.0002653,12800.0,,,0.0002653,0.1
77,,,0.0002654,13000.0,,,0.0002654,0.14
78,,,0.0002655,13000.0,,,0.0002655,0.1
79,,,0.00026559999999999995,13200.0,,,0.00026559999999999995,0.12
80,,,0.00026569999999999995,13200.0,,,0.00026569999999999995,0.12
81,,,0.00026579999999999996,13000.0,,,0.00026579999999999996,0.1
82,,,0.00026589999999999996,13200.0,,,0.00026589999999999996,0.12
83,,,0.00026599999999999996,12800.0,,,0.00026599999999999996,0.14
84,,,0.00026609999999999996,13000.0,,,0.00026609999999999996,0.1
85,,,0.00026619999999999997,13200.0,,,0.00026619999999999997,0.14
86,,,0.00026629999999999997,13400.0,,,0.00026629999999999997,0.1
87,,,0.00026639999999999997,13200.0,,,0.00026639999999999997,0.12
88,,,0.00026649999999999997,13400.0,,,0.00026649999999999997,0.14
89,,,0.0002666,13400.0,,,0.0002666,0.08
90,,,0.0002667,13400.0,,,0.0002667,0.1
91,,,0.0002668,13600.0,,,0.0002668,0.12
92,,,0.0002669,13600.0,,,0.0002669,0.1
93,,,0.000267,13600.0,,,0.000267,0.12
94,,,0.0002671,13600.0,,,0.0002671,0.14
95,,,0.0002672,13600.0,,,0.0002672,0.12
96,,,0.0002673,13800.0,,,0.0002673,0.06
97,,,0.0002674,13800.0,,,0.0002674,0.16
98,,,0.0002675,13800.0,,,0.0002675,0.14
99,,,0.0002676,13400.0,,,0.0002676,0.16
100,,,0.00026769999999999995,13800.0,,,0.00026769999999999995,0.1
101,,,0.00026779999999999995,13600.0,,,0.00026779999999999995,0.12
102,,,0.00026789999999999995,13800.0,,,0.00026789999999999995,0.1
103,,,0.00026799999999999995,13800.0,,,0.00026799999999999995,0.12
104,,,0.00026809999999999996,14000.0,,,0.00026809999999999996,0.08
105,,,0.00026819999999999996,13800.0,,,0.00026819999999999996,0.08
106,,,0.00026829999999999996,14000.0,,,0.00026829999999999996,0.08
107,,,0.00026839999999999996,14000.0,,,0.00026839999999999996,0.06
108,,,0.00026849999999999997,14000.0,,,0.00026849999999999997,0.2
109,,,0.00026859999999999997,13800.0,,,0.00026859999999999997,0.16
110,,,0.00026869999999999997,14000.0,,,0.00026869999999999997,0.1
111,,,0.0002688,14200.0,,,0.0002688,0.1
112,,,0.0002689,14200.0,,,0.0002689,0.1
113,,,0.000269,14200.0,,,0.000269,0.12
114,,,0.0002691,14200.0,,,0.0002691,0.08
115,,,0.0002692,14200.0,,,0.0002692,0.1
116,,,0.0002693,14400.0,,,0.0002693,0.1
117,,,0.0002694,14200.0,,,0.0002694,0.12
118,,,0.0002695,14400.0,,,0.0002695,0.22
119,,,0.0002696,14200.0,,,0.0002696,0.1
120,,,0.0002697,14200.0,,,0.0002697,0.08
121,,,0.0002698,14400.0,,,0.0002698,0.12
122,,,0.0002699,14200.0,,,0.0002699,0.1
123,,,0.00026999999999999995,14400.0,,,0.00026999999999999995,0.2
124,,,0.00027009999999999995,14400.0,,,0.00027009999999999995,0.16
125,,,0.00027019999999999995,14400.0,,,0.00027019999999999995,0.14
126,,,0.00027029999999999996,14400.0,,,0.00027029999999999996,0.12
127,,,0.00027039999999999996,14600.0,,,0.00027039999999999996,0.1
128,,,0.00027049999999999996,14600.0,,,0.00027049999999999996,0.1
129,,,0.00027059999999999996,14600.0,,,0.00027059999999999996,0.1
130,,,0.00027069999999999997,14800.0,,,0.00027069999999999997,0.1
131,,,0.00027079999999999997,14600.0,,,0.00027079999999999997,0.1
132,,,0.00027089999999999997,14600.0,,,0.00027089999999999997,0.1
133,,,0.000271,14600.0,,,0.000271,0.1
134,,,0.0002711,14800.0,,,0.0002711,0.12
135,,,0.0002712,14800.0,,,0.0002712,0.22
136,,,0.0002713,14800.0,,,0.0002713,0.28
137,,,0.0002714,15000.0,,,0.0002714,0.12
138,,,0.0002715,14800.0,,,0.0002715,0.1
139,,,0.0002716,15000.0,,,0.0002716,0.1
140,,,0.0002717,14800.0,,,0.0002717,0.1
141,,,0.0002718,15000.0,,,0.0002718,0.1
142,,,0.0002719,14800.0,,,0.0002719,0.22
143,,,0.000272,15200.0,,,0.000272,0.16
144,,,0.0002721,15000.0,,,0.0002721,0.12
145,,,0.0002722,15200.0,,,0.0002722,0.12
146,,,0.00027229999999999995,15200.0,,,0.00027229999999999995,0.1
147,,,0.00027239999999999995,14800.0,,,0.00027239999999999995,0.1
148,,,0.00027249999999999996,15400.0,,,0.00027249999999999996,0.1
149,,,0.00027259999999999996,15000.0,,,0.00027259999999999996,0.1
150,,,0.00027269999999999996,15200.0,,,0.00027269999999999996,0.1
151,,,0.00027279999999999996,15200.0,,,0.00027279999999999996,0.12
152,,,0.00027289999999999997,15000.0,,,0.00027289999999999997,0.1
153,,,0.00027299999999999997,15200.0,,,0.00027299999999999997,0.1
154,,,0.00027309999999999997,15400.0,,,0.00027309999999999997,0.1
155,,,0.00027319999999999997,15600.0,,,0.00027319999999999997,0.12
156,,,0.0002733,15400.0,,,0.0002733,0.08
157,,,0.0002734,15400.0,,,0.0002734,0.1
158,,,0.0002735,15400.0,,,0.0002735,0.1
159,,,0.0002736,15600.0,,,0.0002736,0.1
160,,,0.0002737,15600.0,,,0.0002737,0.1
161,,,0.0002738,15400.0,,,0.0002738,0.1
162,,,0.0002739,15400.0,,,0.0002739,0.08
163,,,0.000274,15800.0,,,0.000274,0.1
164,,,0.0002741,15600.0,,,0.0002741,0.08
165,,,0.0002742,15800.0,,,0.0002742,0.3
166,,,0.0002743,15600.0,,,0.0002743,0.26
167,,,0.00027439999999999995,15600.0,,,0.00027439999999999995,0.14
168,,,0.00027449999999999995,15800.0,,,0.00027449999999999995,0.12
169,,,0.00027459999999999995,15800.0,,,0.00027459999999999995,0.38
170,,,0.00027469999999999996,15600.0,,,0.00027469999999999996,0.42
171,,,0.00027479999999999996,15600.0,,,0.00027479999999999996,0.56
172,,,0.00027489999999999996,15800.0,,,0.00027489999999999996,0.2
173,,,0.00027499999999999996,15600.0,,,0.00027499999999999996,0.1
174,,,0.00027509999999999996,15600.0,,,0.00027509999999999996,0.08
175,,,0.00027519999999999997,15800.0,,,0.00027519999999999997,0.08
176,,,0.00027529999999999997,15800.0,,,0.00027529999999999997,0.1
177,,,0.00027539999999999997,16000.0,,,0.00027539999999999997,0.1
178,,,0.0002755,16000.0,,,0.0002755,0.1
179,,,0.0002756,16000.0,,,0.0002756,0.86
180,,,0.0002757,15800.0,,,0.0002757,0.2
181,,,0.0002758,15800.0,,,0.0002758,0.1
182,,,0.0002759,15800.0,,,0.0002759,0.08
183,,,0.000276,15800.0,,,0.000276,0.1
184,,,0.0002761,16000.0,,,0.0002761,0.12
185,,,0.0002762,16000.0,,,0.0002762,0.1
186,,,0.0002763,16000.0,,,0.0002763,0.1
187,,,0.0002764,15800.0,,,0.0002764,0.12
188,,,0.0002765,16000.0,,,0.0002765,0.08
189,,,0.0002766,16200.0,,,0.0002766,0.08
190,,,0.00027669999999999995,16200.0,,,0.00027669999999999995,0.22
191,,,0.00027679999999999995,16200.0,,,0.00027679999999999995,0.28
192,,,0.00027689999999999995,16000.0,,,0.00027689999999999995,0.2
193,,,0.00027699999999999996,16000.0,,,0.00027699999999999996,0.12
194,,,0.00027709999999999996,16000.0,,,0.00027709999999999996,0.1
195,,,0.00027719999999999996,16000.0,,,0.00027719999999999996,0.1
196,,,0.00027729999999999996,16200.0,,,0.00027729999999999996,0.06
197,,,0.00027739999999999997,16200.0,,,0.00027739999999999997,0.12
198,,,0.00027749999999999997,15800.0,,,0.00027749999999999997,0.1
199,,,0.00027759999999999997,16000.0,,,0.00027759999999999997,0.08
200,,,0.0002777,16000.0,,,0.0002777,0.1
201,,,0.0002778,16200.0,,,0.0002778,0.08
202,,,0.0002779,16000.0,,,0.0002779,2.52
203,,,0.000278,16000.0,,,0.000278,0.5
204,,,0.0002781,16000.0,,,0.0002781,0.2
205,,,0.0002782,16200.0,,,0.0002782,0.04
206,,,0.0002783,16400.0,,,0.0002783,0.08
207,,,0.0002784,16400.0,,,0.0002784,0.08
208,,,0.0002785,16200.0,,,0.0002785,0.08
209,,,0.0002786,16400.0,,,0.0002786,0.06
210,,,0.0002787,16600.0,,,0.0002787,0.1
211,,,0.00027879999999999995,16400.0,,,0.00027879999999999995,0.08
212,,,0.0002789,16400.0,,,0.0002789,0.08
213,,,0.00027899999999999995,16200.0,,,0.00027899999999999995,0.06
214,,,0.00027909999999999995,16400.0,,,0.00027909999999999995,0.1
215,,,0.00027919999999999996,16200.0,,,0.00027919999999999996,0.1
216,,,0.00027929999999999996,16200.0,,,0.00027929999999999996,0.22
217,,,0.00027939999999999996,16400.0,,,0.00027939999999999996,0.22
218,,,0.00027949999999999996,16400.0,,,0.00027949999999999996,1.44
219,,,0.00027959999999999997,16200.0,,,0.00027959999999999997,0.38
220,,,0.00027969999999999997,16400.0,,,0.00027969999999999997,0.12
221,,,0.00027979999999999997,16400.0,,,0.00027979999999999997,0.08
222,,,0.0002799,16600.0,,,0.0002799,0.04
223,,,0.00028,16600.0,,,0.00028,0.06
224,,,0.0002801,16600.0,,,0.0002801,0.12
225,,,0.0002802,16400.0,,,0.0002802,0.26
226,,,0.0002803,16800.0,,,0.0002803,0.24
227,,,0.0002804,16600.0,,,0.0002804,0.12
228,,,0.0002805,16600.0,,,0.0002805,0.08
229,,,0.0002806,16600.0,,,0.0002806,0.1
230,,,0.0002807,16600.0,,,0.0002807,0.06
231,,,0.0002808,16400.0,,,0.0002808,0.26
232,,,0.0002809,16400.0,,,0.0002809,0.1
233,,,0.000281,16600.0,,,0.000281,0.2
234,,,0.00028109999999999995,16600.0,,,0.00028109999999999995,0.1
235,,,0.00028119999999999995,16600.0,,,0.00028119999999999995,0.08
236,,,0.00028129999999999995,16600.0,,,0.00028129999999999995,0.06
237,,,0.00028139999999999996,16800.0,,,0.00028139999999999996,0.06
238,,,0.00028149999999999996,16800.0,,,0.00028149999999999996,0.02
239,,,0.00028159999999999996,16600.0,,,0.00028159999999999996,0.16
240,,,0.00028169999999999996,16600.0,,,0.00028169999999999996,0.08
241,,,0.00028179999999999997,16800.0,,,0.00028179999999999997,0.06
242,,,0.00028189999999999997,16600.0,,,0.00028189999999999997,0.08
243,,,0.00028199999999999997,16800.0,,,0.00028199999999999997,0.06
244,,,0.00028209999999999997,16800.0,,,0.00028209999999999997,0.04
245,,,0.0002822,16800.0,,,0.0002822,0.06
246,,,0.0002823,16800.0,,,0.0002823,0.06
247,,,0.0002824,17000.0,,,0.0002824,-0.04
248,,,0.0002825,17000.0,,,0.0002825,0.12
249,,,0.0002826,16800.0,,,0.0002826,0.04
250,,,0.0002827,17200.0,,,0.0002827,0.06
251,,,0.0002828,16800.0,,,0.0002828,0.38
252,,,0.0002829,16800.0,,,0.0002829,0.18
253,,,0.000283,17000.0,,,0.000283,0.08
254,,,0.0002831,17000.0,,,0.0002831,0.06
255,,,0.0002832,16800.0,,,0.0002832,0.04
256,,,0.0002833,17000.0,,,0.0002833,0.02
257,,,0.00028339999999999995,16800.0,,,0.00028339999999999995,0.04
258,,,0.00028349999999999995,16800.0,,,0.00028349999999999995,0.04
259,,,0.00028359999999999995,17000.0,,,0.00028359999999999995,0.06
260,,,0.00028369999999999996,17200.0,,,0.00028369999999999996,0.04
261,,,0.00028379999999999996,17000.0,,,0.00028379999999999996,0.06
262,,,0.00028389999999999996,17200.0,,,0.00028389999999999996,0.04
263,,,0.00028399999999999996,17000.0,,,0.00028399999999999996,0.08
264,,,0.00028409999999999997,17000.0,,,0.00028409999999999997,0.06
265,,,0.00028419999999999997,17000.0,,,0.00028419999999999997,0.06
266,,,0.00028429999999999997,17200.0,,,0.00028429999999999997,0.08
267,,,0.0002844,17200.0,,,0.0002844,0.06
268,,,0.0002845,17000.0,,,0.0002845,0.06
269,,,0.0002846,17000.0,,,0.0002846,0.06
270,,,0.0002847,16800.0,,,0.0002847,0.04
271,,,0.0002848,17200.0,,,0.0002848,0.02
272,,,0.0002849,17200.0,,,0.0002849,0.02
273,,,0.000285,17000.0,,,0.000285,0.06
274,,,0.0002851,17000.0,,,0.0002851,0.04
275,,,0.0002852,17200.0,,,0.0002852,0.08
276,,,0.0002853,17400.0,,,0.0002853,0.48
277,,,0.0002854,17400.0,,,0.0002854,0.08
278,,,0.00028549999999999995,17000.0,,,0.00028549999999999995,0.04
279,,,0.00028559999999999995,17200.0,,,0.00028559999999999995,0.04
280,,,0.00028569999999999995,17200.0,,,0.00028569999999999995,0.08
281,,,0.00028579999999999995,17000.0,,,0.00028579999999999995,0.04
