,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0002558,14200.0,CH activo,4,0.0002558,0.1
1,Int. Temporal,1e-07,0.0002559,14400.0,Int. Temporal,1e-07,0.0002559,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.000256,14600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.000256,0.08
3,Unidades verticales,"""V""",0.0002561,14400.0,Unidades verticales,"""V""",0.0002561,0.08
4,Volts x div,5.0E3,0.0002562,14600.0,Volts x div,5.0E-1,0.0002562,0.08
5,Offset vertical (en unidades digitales),123.0,0.0002563,14400.0,Offset vertical (en unidades digitales),43.0,0.0002563,0.1
6,Unidades horizontales,"""s""
",0.0002564,14600.0,Unidades horizontales,"""s""
",0.0002564,0.12
7,Escala horizontal,1e-07,0.0002565,14400.0,Escala horizontal,1e-07,0.0002565,0.12
8,Cero vertical (en unidades verticales),0.0,0.0002566,14600.0,Cero vertical (en unidades verticales),0.0,0.0002566,0.12
9,Factor de Atenuacion,1.0E3,0.0002567,14800.0,Factor de Atenuacion,1.0E0,0.0002567,0.12
10,Fecha,30-04-2024 16:20:32,0.0002568,14800.0,Fecha,30-04-2024 16:20:38,0.0002568,0.1
11,,,0.0002569,15000.0,,,0.0002569,0.1
12,,,0.00025699999999999996,15000.0,,,0.00025699999999999996,0.1
13,,,0.00025709999999999996,14800.0,,,0.00025709999999999996,0.1
14,,,0.00025719999999999996,14800.0,,,0.00025719999999999996,0.14
15,,,0.00025729999999999997,14600.0,,,0.00025729999999999997,0.1
16,,,0.00025739999999999997,14800.0,,,0.00025739999999999997,0.1
17,,,0.00025749999999999997,14800.0,,,0.00025749999999999997,0.12
18,,,0.0002576,15000.0,,,0.0002576,0.06
19,,,0.0002577,15200.0,,,0.0002577,0.06
20,,,0.0002578,15000.0,,,0.0002578,0.08
21,,,0.0002579,15200.0,,,0.0002579,0.08
22,,,0.000258,15000.0,,,0.000258,0.56
23,,,0.0002581,15200.0,,,0.0002581,0.4
24,,,0.0002582,15000.0,,,0.0002582,0.16
25,,,0.0002583,15200.0,,,0.0002583,0.12
26,,,0.0002584,15200.0,,,0.0002584,0.14
27,,,0.0002585,15200.0,,,0.0002585,0.08
28,,,0.0002586,15000.0,,,0.0002586,0.1
29,,,0.0002587,15200.0,,,0.0002587,0.12
30,,,0.0002588,15400.0,,,0.0002588,0.12
31,,,0.0002589,15200.0,,,0.0002589,0.12
32,,,0.000259,15000.0,,,0.000259,0.1
33,,,0.0002591,15200.0,,,0.0002591,0.12
34,,,0.00025919999999999996,15400.0,,,0.00025919999999999996,0.92
35,,,0.00025929999999999996,15400.0,,,0.00025929999999999996,0.18
36,,,0.00025939999999999996,15400.0,,,0.00025939999999999996,0.06
37,,,0.00025949999999999997,15200.0,,,0.00025949999999999997,0.14
38,,,0.00025959999999999997,15600.0,,,0.00025959999999999997,0.1
39,,,0.00025969999999999997,15600.0,,,0.00025969999999999997,0.12
40,,,0.00025979999999999997,15400.0,,,0.00025979999999999997,0.1
41,,,0.0002599,15600.0,,,0.0002599,0.12
42,,,0.00026,15600.0,,,0.00026,0.1
43,,,0.0002601,15800.0,,,0.0002601,0.12
