Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
200.00	-3.464752	0.022446	3.928497	3.951202	3.930099
201.00	-3.249863	-1.463608	3.912064	3.905655	3.944260
202.00	-2.208801	-0.964355	3.885422	3.961334	3.959946
203.00	-1.352585	-1.281662	3.932144	3.974060	3.963104
204.00	-2.639221	-0.891037	3.907593	3.881012	3.978836
205.00	-2.010361	-0.705566	3.936798	3.943817	3.913864
206.00	-1.333496	-1.305435	3.929443	3.976532	3.977585
207.00	-1.115005	-0.962250	3.845657	3.987732	3.934937
208.00	-0.711548	-0.523117	3.907364	4.000000	3.962051
209.00	-1.646729	-0.780380	3.939926	3.934509	3.987061
210.00	-0.526489	-2.138306	3.966736	3.944504	3.945282
211.00	-2.498795	-3.472488	3.974335	3.974777	3.967514
212.00	-0.877869	0.254211	3.984909	3.988266	3.983582
213.00	-2.650314	-0.884262	3.992264	4.000000	3.957092
214.00	-2.476181	-0.953171	3.993240	3.990417	3.997025
215.00	-2.453812	-1.276520	3.922699	3.990631	3.998016
216.00	-0.926315	-1.451767	3.888580	3.992859	3.957748
217.00	-0.978989	-0.727692	3.956329	4.000000	3.987793
218.00	-0.796051	0.170135	3.970612	4.000000	3.983261
219.00	-1.519104	-2.305130	3.995926	3.986923	3.992523
220.00	-1.056702	-1.345901	3.957779	3.994812	3.987671
221.00	-1.624832	-1.910355	3.943161	3.993607	3.984711
222.00	-2.436768	-1.505005	3.969803	3.979996	3.993820
223.00	-2.663757	-0.022461	3.960068	3.990616	3.966843
224.00	-1.437393	-1.735626	3.978638	3.992630	3.982269
225.00	-2.239532	-0.671295	3.969574	3.981415	4.000000
226.00	-2.256729	-0.757034	3.989334	4.000000	3.988495
227.00	-0.571198	-2.467163	3.977661	3.968063	3.970428
228.00	-1.358322	-1.164108	3.992065	3.993042	3.968933
229.00	-0.527481	-0.247177	3.976563	3.997787	3.965866
230.00	-2.470810	-1.607712	3.926788	3.996490	3.988647
231.00	-0.473099	-1.049011	3.964874	4.000000	4.000000
232.00	-1.926666	-1.733475	3.987732	3.998520	3.990234
233.00	-1.283813	0.363083	3.972122	4.000000	3.985641
234.00	-1.710297	-0.179214	3.974518	4.000000	4.000000
235.00	-0.342453	-0.555740	3.983704	3.984772	4.000000
236.00	-2.545273	2.158859	3.987854	4.000000	3.991760
237.00	-1.397766	-0.370270	3.946365	3.997284	4.000000
238.00	-0.256622	-2.079529	4.000000	3.997131	3.990433
239.00	-1.286163	0.078766	3.973846	3.986877	3.978394
240.00	-0.173019	-1.155685	3.993851	3.998581	3.982925
241.00	-1.389236	0.539810	3.971451	4.000000	3.993683
242.00	-0.540955	1.087296	3.950928	3.978500	3.991348
243.00	0.052353	-0.724777	3.935577	3.997955	3.967499
244.00	-0.978973	-0.108734	3.947495	3.982651	4.000000
245.00	-0.882553	-0.687805	3.960266	3.987381	4.000000
246.00	0.664093	-1.419891	3.965683	4.000000	3.975189
247.00	-1.738037	-0.973709	3.950775	3.980652	3.981049
248.00	-1.401550	0.663040	3.911636	3.978043	3.944199
249.00	-0.627106	0.380768	3.910370	3.942932	3.963287
250.00	-0.036407	0.598145	3.790894	3.818604	3.911423
251.00	-0.118073	0.003082	3.490753	3.444443	3.690323
252.00	-0.146210	0.022339	3.037949	3.044891	3.292221
253.00	-0.136246	-0.003021	2.629578	2.642883	2.852249
254.00	-0.123856	-0.000381	2.319748	2.326797	2.546906
255.00	-0.113098	0.007904	2.075806	2.085068	2.289459
256.00	-0.100998	0.014999	1.870300	1.885300	2.077087
257.00	-0.087082	0.021942	1.707703	1.725784	1.907974
258.00	-0.073715	0.028275	1.573837	1.596161	1.763794
259.00	-0.058716	0.036179	1.460632	1.488968	1.643875
260.00	-0.044388	0.042923	1.361359	1.398804	1.536407
261.00	-0.030380	0.051620	1.270645	1.319046	1.441055
262.00	-0.016342	0.060257	1.188263	1.245697	1.352554
263.00	-0.000916	0.069870	1.113663	1.179855	1.273010
264.00	0.013657	0.079437	1.044739	1.120514	1.199585
265.00	0.029129	0.090012	0.978775	1.065826	1.129166
266.00	0.044189	0.101028	0.917740	1.016403	1.063904
267.00	0.059479	0.111908	0.861542	0.970703	1.002106
268.00	0.074097	0.123230	0.812164	0.931870	0.947830
269.00	0.089188	0.135330	0.764023	0.896835	0.896011
270.00	0.103745	0.147095	0.720627	0.866058	0.848785
271.00	0.117798	0.158997	0.680603	0.838165	0.805298
272.00	0.132385	0.171082	0.643173	0.812881	0.765121
273.00	0.146851	0.183395	0.608719	0.790710	0.728439
274.00	0.160797	0.195740	0.576920	0.771423	0.694244
275.00	0.175186	0.208328	0.547073	0.754242	0.662140
276.00	0.189636	0.221756	0.518875	0.738739	0.630692
277.00	0.203094	0.234268	0.493866	0.725632	0.603149
278.00	0.215714	0.246048	0.470886	0.714706	0.578369
279.00	0.228241	0.258026	0.449203	0.705154	0.554871
280.00	0.239609	0.268997	0.429413	0.696671	0.533386
281.00	0.250931	0.279602	0.411163	0.689468	0.514175
282.00	0.261475	0.289841	0.394714	0.683304	0.496490
283.00	0.271759	0.300323	0.378326	0.677261	0.478622
284.00	0.281570	0.310333	0.363068	0.672012	0.462082
285.00	0.290756	0.319504	0.349350	0.667435	0.447174
286.00	0.300476	0.329376	0.334976	0.662949	0.431625
287.00	0.310059	0.339249	0.320908	0.658997	0.416748
288.00	0.318817	0.348160	0.308258	0.655472	0.403168
289.00	0.328308	0.357803	0.295486	0.652328	0.389481
290.00	0.337784	0.367538	0.282333	0.649353	0.375412
291.00	0.346909	0.376724	0.270950	0.647125	0.362885
292.00	0.355988	0.385773	0.260437	0.645584	0.351334
293.00	0.365311	0.395554	0.249466	0.644104	0.339340
294.00	0.375092	0.405396	0.238571	0.643295	0.327881
295.00	0.366760	0.394791	0.224701	0.618591	0.309113
296.00	0.355225	0.381668	0.210052	0.591339	0.291092
297.00	0.367371	0.393829	0.202835	0.596466	0.283524
298.00	0.379044	0.404083	0.195862	0.599136	0.275757
299.00	0.387314	0.415192	0.188004	0.602509	0.268204
300.00	0.396347	0.424408	0.181656	0.605545	0.261078
301.00	0.405960	0.433945	0.174881	0.608185	0.254364
302.00	0.415237	0.440842	0.169159	0.609665	0.248657
303.00	0.423340	0.450378	0.162949	0.613190	0.242569
304.00	0.430923	0.458954	0.156921	0.616623	0.236816
305.00	0.438400	0.465256	0.151321	0.616791	0.230469
306.00	0.466354	0.496750	0.148499	0.643188	0.228073
307.00	0.475159	0.506912	0.143188	0.649719	0.222549
308.00	0.481461	0.511566	0.137955	0.649704	0.217499
309.00	0.485123	0.515305	0.132690	0.646866	0.211792
310.00	0.490173	0.520172	0.129395	0.647781	0.207764
311.00	0.494873	0.523071	0.125244	0.647324	0.203842
312.00	0.497345	0.524796	0.121857	0.646149	0.199249
313.00	0.497513	0.525894	0.117752	0.645294	0.195557
314.00	0.498322	0.526047	0.115234	0.641296	0.192001
315.00	0.500137	0.526733	0.112366	0.637589	0.189682
316.00	0.496826	0.523911	0.109528	0.634003	0.186584
317.00	0.494232	0.518982	0.106720	0.626678	0.183411
318.00	0.489136	0.514923	0.104553	0.618652	0.180984
319.00	0.483566	0.507675	0.102661	0.609253	0.178757
320.00	0.474655	0.498398	0.101059	0.598389	0.176620
321.00	0.465408	0.487656	0.098755	0.585434	0.174606
322.00	0.452377	0.474503	0.096619	0.570007	0.172165
323.00	0.438065	0.458435	0.094986	0.553558	0.170151
324.00	0.421860	0.441208	0.092926	0.534943	0.168091
325.00	0.404755	0.422943	0.091675	0.514175	0.166611
326.00	0.385605	0.402222	0.089966	0.492447	0.164703
327.00	0.364426	0.380600	0.088745	0.468918	0.163086
328.00	0.343338	0.358612	0.086945	0.445724	0.161026
329.00	0.322540	0.336670	0.085815	0.422211	0.159424
330.00	0.301926	0.314819	0.084808	0.399490	0.158020
331.00	0.281540	0.293777	0.083450	0.377350	0.156662
332.00	0.261703	0.273285	0.082138	0.355515	0.154770
333.00	0.242294	0.252945	0.081131	0.333939	0.153641
334.00	0.223648	0.233612	0.080093	0.313141	0.152328
335.00	0.206772	0.216095	0.079285	0.294556	0.151443
336.00	0.188675	0.197021	0.078613	0.274933	0.150101
337.00	0.170364	0.178040	0.077301	0.254807	0.148361
338.00	0.153732	0.160477	0.076355	0.236801	0.147186
339.00	0.138260	0.143753	0.075638	0.219437	0.146088
340.00	0.122894	0.127487	0.074844	0.202347	0.144653
341.00	0.108963	0.113052	0.074310	0.186859	0.143860
342.00	0.096619	0.100494	0.072998	0.173401	0.142441
343.00	0.086044	0.089310	0.072693	0.161560	0.141525
344.00	0.076294	0.079132	0.071884	0.150650	0.140762
345.00	0.067902	0.070496	0.070969	0.141495	0.139389
346.00	0.061264	0.063309	0.070618	0.134048	0.138336
347.00	0.055466	0.057190	0.070129	0.127136	0.137512
348.00	0.050507	0.052170	0.069382	0.121201	0.136429
349.00	0.046478	0.047928	0.068542	0.116516	0.135483
350.00	0.043335	0.044449	0.068237	0.112869	0.134903
351.00	0.040558	0.041718	0.067444	0.109329	0.133972
352.00	0.038620	0.039658	0.067291	0.106903	0.133362
353.00	0.036972	0.037796	0.066910	0.104614	0.132721
354.00	0.035477	0.036499	0.066544	0.102814	0.132050
355.00	0.034286	0.035172	0.065979	0.101074	0.131287
356.00	0.033463	0.034225	0.065552	0.099731	0.130676
357.00	0.032700	0.033340	0.065063	0.098358	0.130142
358.00	0.031967	0.032425	0.064713	0.097290	0.129379
359.00	0.031616	0.032150	0.064529	0.096527	0.128922
360.00	0.031204	0.031677	0.064285	0.095764	0.128464
361.00	0.030685	0.031204	0.063843	0.094864	0.127701
362.00	0.030411	0.030975	0.063553	0.094116	0.127411
363.00	0.029984	0.030502	0.062988	0.093323	0.126556
364.00	0.029816	0.030304	0.062759	0.092896	0.126221
365.00	0.029434	0.029877	0.062500	0.092239	0.125702
366.00	0.029175	0.029709	0.062256	0.092056	0.125305
367.00	0.029175	0.029602	0.062042	0.091492	0.124908
368.00	0.028931	0.029388	0.061920	0.091110	0.124435
369.00	0.028839	0.029282	0.061493	0.090637	0.123917
370.00	0.028824	0.029343	0.061340	0.090240	0.123413
371.00	0.028656	0.028976	0.060883	0.089706	0.122864
372.00	0.028580	0.028931	0.060715	0.089600	0.122635
373.00	0.028351	0.028717	0.060333	0.088943	0.121979
374.00	0.028152	0.028595	0.060104	0.088516	0.121475
375.00	0.028259	0.028519	0.059952	0.088364	0.121231
376.00	0.028198	0.028503	0.059845	0.088104	0.120850
377.00	0.027969	0.028351	0.059479	0.087540	0.120300
378.00	0.027832	0.028168	0.059280	0.087326	0.119949
379.00	0.027649	0.027954	0.059128	0.086792	0.119553
380.00	0.027359	0.027817	0.058792	0.086319	0.119095
381.00	0.027237	0.027634	0.058685	0.086075	0.118835
382.00	0.027176	0.027542	0.058472	0.085831	0.118561
383.00	0.026779	0.027191	0.058411	0.085449	0.118271
384.00	0.026642	0.026840	0.058105	0.084900	0.117783
385.00	0.026352	0.026596	0.057907	0.084457	0.117447
386.00	0.026138	0.026260	0.057831	0.084076	0.117126
387.00	0.025848	0.026016	0.057724	0.083694	0.116898
388.00	0.025726	0.025925	0.057648	0.083206	0.116684
389.00	0.025284	0.025467	0.057388	0.082657	0.116272
390.00	0.024857	0.025055	0.057190	0.082016	0.115891
391.00	0.024506	0.024673	0.057098	0.081604	0.115707
392.00	0.024078	0.024368	0.056961	0.081100	0.115402
393.00	0.023788	0.023911	0.056885	0.080582	0.115112
