,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0002533,14200.0,CH activo,4,0.0002533,0.1
1,Int. Temporal,1e-07,0.0002534,14200.0,Int. Temporal,1e-07,0.0002534,0.18
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.0002535,14200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.0002535,0.16
3,Unidades verticales,"""V""",0.0002536,14200.0,Unidades verticales,"""V""",0.0002536,0.12
4,Volts x div,5.0E3,0.0002537,14200.0,Volts x div,5.0E-1,0.0002537,0.1
5,Offset vertical (en unidades digitales),123.0,0.0002538,14000.0,Offset vertical (en unidades digitales),43.0,0.0002538,0.1
6,Unidades horizontales,"""s""
",0.0002539,14200.0,Unidades horizontales,"""s""
",0.0002539,0.08
7,Escala horizontal,1e-07,0.000254,14200.0,Escala horizontal,1e-07,0.000254,0.12
8,Cero vertical (en unidades verticales),0.0,0.0002541,14400.0,Cero vertical (en unidades verticales),0.0,0.0002541,0.08
9,Factor de Atenuacion,1.0E3,0.0002542,14400.0,Factor de Atenuacion,1.0E0,0.0002542,0.1
10,Fecha,30-04-2024 15:00:31,0.0002543,14400.0,Fecha,30-04-2024 15:00:36,0.0002543,0.08
11,,,0.0002544,14600.0,,,0.0002544,0.1
12,,,0.00025449999999999995,14600.0,,,0.00025449999999999995,0.08
13,,,0.00025459999999999995,14400.0,,,0.00025459999999999995,0.1
14,,,0.00025469999999999996,14600.0,,,0.00025469999999999996,0.06
15,,,0.00025479999999999996,14600.0,,,0.00025479999999999996,0.1
16,,,0.00025489999999999996,14600.0,,,0.00025489999999999996,0.08
17,,,0.00025499999999999996,14600.0,,,0.00025499999999999996,0.06
18,,,0.00025509999999999997,14400.0,,,0.00025509999999999997,0.04
19,,,0.00025519999999999997,15000.0,,,0.00025519999999999997,0.08
20,,,0.00025529999999999997,14800.0,,,0.00025529999999999997,0.06
21,,,0.0002554,14600.0,,,0.0002554,0.1
22,,,0.0002555,14600.0,,,0.0002555,0.1
23,,,0.0002556,15000.0,,,0.0002556,0.08
24,,,0.0002557,15000.0,,,0.0002557,0.08
25,,,0.0002558,15000.0,,,0.0002558,0.08
26,,,0.0002559,15200.0,,,0.0002559,0.08
27,,,0.000256,15200.0,,,0.000256,0.08
28,,,0.0002561,15000.0,,,0.0002561,0.1
29,,,0.0002562,14800.0,,,0.0002562,0.08
30,,,0.0002563,14600.0,,,0.0002563,0.06
31,,,0.0002564,14800.0,,,0.0002564,0.2
32,,,0.0002565,15000.0,,,0.0002565,0.2
33,,,0.0002566,15200.0,,,0.0002566,0.1
34,,,0.00025669999999999995,15200.0,,,0.00025669999999999995,0.04
35,,,0.00025679999999999995,15400.0,,,0.00025679999999999995,0.06
36,,,0.00025689999999999996,15200.0,,,0.00025689999999999996,0.08
37,,,0.00025699999999999996,15000.0,,,0.00025699999999999996,0.08
38,,,0.00025709999999999996,15400.0,,,0.00025709999999999996,0.08
39,,,0.00025719999999999996,15200.0,,,0.00025719999999999996,0.08
40,,,0.00025729999999999997,15400.0,,,0.00025729999999999997,0.08
41,,,0.00025739999999999997,15600.0,,,0.00025739999999999997,0.68
42,,,0.00025749999999999997,15400.0,,,0.00025749999999999997,0.48
43,,,0.0002576,15200.0,,,0.0002576,0.26
44,,,0.0002577,15400.0,,,0.0002577,0.1
45,,,0.0002578,15600.0,,,0.0002578,0.12
46,,,0.0002579,15000.0,,,0.0002579,0.24
47,,,0.000258,15200.0,,,0.000258,0.24
48,,,0.0002581,15400.0,,,0.0002581,0.06
49,,,0.0002582,15400.0,,,0.0002582,0.66
50,,,0.0002583,15400.0,,,0.0002583,0.5
51,,,0.0002584,15400.0,,,0.0002584,0.26
52,,,0.0002585,15200.0,,,0.0002585,0.08
53,,,0.0002586,15600.0,,,0.0002586,0.08
