,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0002529,14000.0,CH activo,4,0.0002529,0.08
1,Int. Temporal,1e-07,0.000253,14400.0,Int. Temporal,1e-07,0.000253,0.06
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.0002531,14200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.0002531,0.08
3,Unidades verticales,"""V""",0.00025320000000000003,14400.0,Unidades verticales,"""V""",0.00025320000000000003,0.12
4,Volts x div,5.0E3,0.00025330000000000003,14200.0,Volts x div,5.0E-1,0.00025330000000000003,0.1
5,Offset vertical (en unidades digitales),123.0,0.00025340000000000003,14400.0,Offset vertical (en unidades digitales),43.0,0.00025340000000000003,0.1
6,Unidades horizontales,"""s""
",0.00025350000000000004,14400.0,Unidades horizontales,"""s""
",0.00025350000000000004,0.08
7,Escala horizontal,1e-07,0.00025360000000000004,14400.0,Escala horizontal,1e-07,0.00025360000000000004,0.1
8,Cero vertical (en unidades verticales),0.0,0.00025370000000000004,14400.0,Cero vertical (en unidades verticales),0.0,0.00025370000000000004,0.08
9,Factor de Atenuacion,1.0E3,0.00025380000000000004,14600.0,Factor de Atenuacion,1.0E0,0.00025380000000000004,0.06
10,Fecha,30-04-2024 15:16:52,0.00025390000000000005,14400.0,Fecha,30-04-2024 15:16:58,0.00025390000000000005,0.04
11,,,0.00025400000000000005,14600.0,,,0.00025400000000000005,0.02
12,,,0.0002541,14600.0,,,0.0002541,0.08
13,,,0.0002542,14400.0,,,0.0002542,0.06
14,,,0.0002543,14400.0,,,0.0002543,0.06
15,,,0.0002544,14600.0,,,0.0002544,0.06
16,,,0.0002545,14600.0,,,0.0002545,0.08
17,,,0.0002546,14800.0,,,0.0002546,0.1
18,,,0.0002547,14600.0,,,0.0002547,0.08
19,,,0.0002548,14800.0,,,0.0002548,0.08
