,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0003658,12800.0,CH activo,4,0.0003658,0.12
1,Int. Temporal,1e-08,0.00036581,12800.0,Int. Temporal,1e-08,0.00036581,0.06
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00036582,12600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00036582,0.1
3,Unidades verticales,"""V""",0.00036583,12600.0,Unidades verticales,"""V""",0.00036583,0.06
4,Volts x div,5.0E3,0.00036584,13000.0,Volts x div,5.0E-1,0.00036584,0.04
5,Offset vertical (en unidades digitales),123.0,0.00036585,12800.0,Offset vertical (en unidades digitales),43.0,0.00036585,0.1
6,Unidades horizontales,"""s""
",0.00036586,12800.0,Unidades horizontales,"""s""
",0.00036586,0.1
7,Escala horizontal,1e-08,0.00036587,12800.0,Escala horizontal,1e-08,0.00036587,0.08
8,Cero vertical (en unidades verticales),0.0,0.00036588,12600.0,Cero vertical (en unidades verticales),0.0,0.00036588,0.1
9,Factor de Atenuacion,1.0E3,0.00036589,12800.0,Factor de Atenuacion,1.0E0,0.00036589,0.06
10,Fecha,30-04-2024 14:52:54,0.0003659,12800.0,Fecha,30-04-2024 14:52:59,0.0003659,0.1
11,,,0.00036591,12800.0,,,0.00036591,0.06
12,,,0.00036592,12800.0,,,0.00036592,0.1
13,,,0.00036593,12800.0,,,0.00036593,0.1
14,,,0.00036594,12800.0,,,0.00036594,0.08
15,,,0.00036595,12800.0,,,0.00036595,0.1
16,,,0.00036596,12800.0,,,0.00036596,0.1
17,,,0.00036597,12800.0,,,0.00036597,0.08
18,,,0.00036598,12800.0,,,0.00036598,0.1
19,,,0.00036599,12800.0,,,0.00036599,0.1
20,,,0.000366,12800.0,,,0.000366,0.1
21,,,0.00036601,12600.0,,,0.00036601,0.08
22,,,0.00036602,12800.0,,,0.00036602,0.1
23,,,0.00036603,13000.0,,,0.00036603,0.1
24,,,0.00036604,12800.0,,,0.00036604,0.06
25,,,0.00036605,12800.0,,,0.00036605,0.08
26,,,0.00036606,12400.0,,,0.00036606,0.1
27,,,0.00036607,13000.0,,,0.00036607,0.06
28,,,0.00036608,12800.0,,,0.00036608,0.1
29,,,0.00036609,13200.0,,,0.00036609,0.1
30,,,0.0003661,12600.0,,,0.0003661,0.1
31,,,0.00036611,12800.0,,,0.00036611,0.06
