,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.000257,15800.0,CH activo,4,0.000257,0.056
1,Int. Temporal,1e-07,0.0002571,15800.0,Int. Temporal,1e-07,0.0002571,0.064
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.2E3
",0.0002572,15600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.2E3
",0.0002572,0.064
3,Unidades verticales,"""V""",0.0002573,15800.0,Unidades verticales,"""V""",0.0002573,0.064
4,Volts x div,5.0E3,0.0002574,15800.0,Volts x div,2.0E-1,0.0002574,0.064
5,Offset vertical (en unidades digitales),123.0,0.0002575,15600.0,Offset vertical (en unidades digitales),55.0,0.0002575,0.064
6,Unidades horizontales,"""s""
",0.00025760000000000003,16000.0,Unidades horizontales,"""s""
",0.00025760000000000003,0.07200000000000001
7,Escala horizontal,1e-07,0.00025770000000000003,15800.0,Escala horizontal,1e-07,0.00025770000000000003,0.07200000000000001
8,Cero vertical (en unidades verticales),0.0,0.00025780000000000003,16000.0,Cero vertical (en unidades verticales),0.0,0.00025780000000000003,0.064
9,Factor de Atenuacion,1.0E3,0.00025790000000000003,16000.0,Factor de Atenuacion,1.0E0,0.00025790000000000003,0.064
10,Fecha,30-04-2024 14:51:17,0.00025800000000000004,15800.0,Fecha,30-04-2024 14:51:22,0.00025800000000000004,0.064
11,,,0.00025810000000000004,16200.0,,,0.00025810000000000004,0.064
12,,,0.0002582,16000.0,,,0.0002582,0.064
13,,,0.0002583,15800.0,,,0.0002583,0.07200000000000001
14,,,0.0002584,16000.0,,,0.0002584,0.056
15,,,0.0002585,16000.0,,,0.0002585,0.056
16,,,0.0002586,16200.0,,,0.0002586,0.064
17,,,0.0002587,16200.0,,,0.0002587,0.056
18,,,0.0002588,16200.0,,,0.0002588,0.064
19,,,0.0002589,16200.0,,,0.0002589,0.048
20,,,0.000259,16200.0,,,0.000259,1.104
21,,,0.0002591,16200.0,,,0.0002591,0.41600000000000004
22,,,0.0002592,16200.0,,,0.0002592,0.128
23,,,0.0002593,16200.0,,,0.0002593,0.088
24,,,0.0002594,16200.0,,,0.0002594,0.08
25,,,0.0002595,16400.0,,,0.0002595,0.064
26,,,0.0002596,16400.0,,,0.0002596,0.064
27,,,0.0002597,16400.0,,,0.0002597,0.064
28,,,0.0002598,16400.0,,,0.0002598,0.056
29,,,0.00025990000000000003,16400.0,,,0.00025990000000000003,0.064
30,,,0.00026000000000000003,16200.0,,,0.00026000000000000003,0.064
31,,,0.00026010000000000003,16400.0,,,0.00026010000000000003,0.064
32,,,0.00026020000000000004,16400.0,,,0.00026020000000000004,0.056
33,,,0.00026030000000000004,16400.0,,,0.00026030000000000004,0.064
34,,,0.0002604,16400.0,,,0.0002604,0.064
35,,,0.0002605,16600.0,,,0.0002605,0.056
36,,,0.0002606,16600.0,,,0.0002606,0.128
37,,,0.0002607,16600.0,,,0.0002607,0.608
38,,,0.0002608,16600.0,,,0.0002608,0.056
39,,,0.0002609,16600.0,,,0.0002609,0.16
40,,,0.000261,16400.0,,,0.000261,0.088
41,,,0.0002611,16600.0,,,0.0002611,0.048
42,,,0.0002612,16600.0,,,0.0002612,0.048
43,,,0.0002613,16400.0,,,0.0002613,0.056
44,,,0.0002614,16600.0,,,0.0002614,0.048
45,,,0.0002615,16400.0,,,0.0002615,0.048
46,,,0.0002616,16400.0,,,0.0002616,0.048
47,,,0.0002617,16200.0,,,0.0002617,0.048
48,,,0.0002618,16400.0,,,0.0002618,0.048
49,,,0.0002619,16600.0,,,0.0002619,0.048
50,,,0.000262,16600.0,,,0.000262,0.064
51,,,0.00026210000000000003,16400.0,,,0.00026210000000000003,0.064
52,,,0.00026220000000000003,16800.0,,,0.00026220000000000003,0.056
53,,,0.00026230000000000003,16600.0,,,0.00026230000000000003,0.056
54,,,0.00026240000000000004,16800.0,,,0.00026240000000000004,0.048
55,,,0.00026250000000000004,16800.0,,,0.00026250000000000004,0.112
56,,,0.0002626,16600.0,,,0.0002626,0.056
57,,,0.0002627,16800.0,,,0.0002627,0.04
58,,,0.0002628,17200.0,,,0.0002628,0.064
59,,,0.0002629,17000.0,,,0.0002629,0.056
60,,,0.000263,16800.0,,,0.000263,0.048
61,,,0.0002631,16800.0,,,0.0002631,0.048
62,,,0.0002632,16800.0,,,0.0002632,0.04
63,,,0.0002633,16600.0,,,0.0002633,1.008
64,,,0.0002634,16600.0,,,0.0002634,0.48
