,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.000145,3400.0,CH activo,4,-0.000145,0.02
1,Int. Temporal,1e-07,-0.0001449,3400.0,Int. Temporal,1e-07,-0.0001449,0.02
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.4E3
",-0.0001448,3400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.4E3
",-0.0001448,0.02
3,Unidades verticales,"""V""",-0.0001447,3400.0,Unidades verticales,"""V""",-0.0001447,0.02
4,Volts x div,5.0E3,-0.0001446,3400.0,Volts x div,5.0E-1,-0.0001446,0.02
5,Offset vertical (en unidades digitales),123.0,-0.0001445,3400.0,Offset vertical (en unidades digitales),79.0,-0.0001445,0.02
6,Unidades horizontales,"""s""
",-0.0001444,3400.0,Unidades horizontales,"""s""
",-0.0001444,0.02
7,Escala horizontal,1e-07,-0.0001443,3400.0,Escala horizontal,1e-07,-0.0001443,0.02
8,Cero vertical (en unidades verticales),0.0,-0.0001442,3400.0,Cero vertical (en unidades verticales),0.0,-0.0001442,0.02
9,Factor de Atenuacion,1.0E3,-0.0001441,3400.0,Factor de Atenuacion,1.0E0,-0.0001441,0.02
10,Fecha,16-04-2024 19:02:46,-0.000144,3400.0,Fecha,16-04-2024 19:02:51,-0.000144,0.02
11,,,-0.0001439,3400.0,,,-0.0001439,0.02
12,,,-0.0001438,3600.0,,,-0.0001438,0.04
13,,,-0.0001437,3600.0,,,-0.0001437,0.02
14,,,-0.0001436,3600.0,,,-0.0001436,0.04
15,,,-0.0001435,3600.0,,,-0.0001435,0.02
16,,,-0.0001434,3600.0,,,-0.0001434,0.02
17,,,-0.00014330000000000001,3600.0,,,-0.00014330000000000001,0.04
18,,,-0.0001432,3600.0,,,-0.0001432,0.04
19,,,-0.0001431,3600.0,,,-0.0001431,0.04
20,,,-0.000143,3600.0,,,-0.000143,0.04
21,,,-0.0001429,3600.0,,,-0.0001429,0.04
22,,,-0.0001428,3600.0,,,-0.0001428,0.04
23,,,-0.0001427,3600.0,,,-0.0001427,0.04
24,,,-0.0001426,3600.0,,,-0.0001426,0.04
25,,,-0.0001425,3600.0,,,-0.0001425,0.04
26,,,-0.0001424,3800.0,,,-0.0001424,0.04
27,,,-0.0001423,3800.0,,,-0.0001423,0.04
28,,,-0.00014220000000000001,3800.0,,,-0.00014220000000000001,0.04
29,,,-0.0001421,3800.0,,,-0.0001421,0.04
30,,,-0.000142,3800.0,,,-0.000142,0.04
31,,,-0.0001419,3800.0,,,-0.0001419,0.04
32,,,-0.0001418,3800.0,,,-0.0001418,0.04
33,,,-0.0001417,3800.0,,,-0.0001417,0.04
34,,,-0.0001416,3800.0,,,-0.0001416,0.04
35,,,-0.0001415,3800.0,,,-0.0001415,0.04
36,,,-0.0001414,3800.0,,,-0.0001414,0.04
37,,,-0.0001413,3800.0,,,-0.0001413,0.04
38,,,-0.0001412,3800.0,,,-0.0001412,0.04
39,,,-0.00014110000000000001,4000.0,,,-0.00014110000000000001,0.04
40,,,-0.000141,4000.0,,,-0.000141,0.04
41,,,-0.0001409,4000.0,,,-0.0001409,0.04
42,,,-0.0001408,4000.0,,,-0.0001408,0.04
43,,,-0.0001407,4000.0,,,-0.0001407,0.04
44,,,-0.0001406,4000.0,,,-0.0001406,0.04
45,,,-0.0001405,4000.0,,,-0.0001405,0.04
46,,,-0.0001404,4000.0,,,-0.0001404,0.04
47,,,-0.0001403,4000.0,,,-0.0001403,0.04
48,,,-0.0001402,4000.0,,,-0.0001402,0.04
49,,,-0.0001401,4000.0,,,-0.0001401,0.04
50,,,-0.00014,4200.0,,,-0.00014,0.04
51,,,-0.0001399,4200.0,,,-0.0001399,0.04
52,,,-0.0001398,4200.0,,,-0.0001398,0.04
53,,,-0.0001397,4200.0,,,-0.0001397,0.04
54,,,-0.0001396,4200.0,,,-0.0001396,0.04
55,,,-0.0001395,4200.0,,,-0.0001395,0.04
56,,,-0.0001394,4200.0,,,-0.0001394,0.04
57,,,-0.0001393,4200.0,,,-0.0001393,0.04
58,,,-0.0001392,4200.0,,,-0.0001392,0.04
59,,,-0.0001391,4400.0,,,-0.0001391,0.04
60,,,-0.000139,4400.0,,,-0.000139,0.06
61,,,-0.0001389,4400.0,,,-0.0001389,0.04
62,,,-0.0001388,4400.0,,,-0.0001388,0.06
63,,,-0.0001387,4400.0,,,-0.0001387,0.04
64,,,-0.0001386,4400.0,,,-0.0001386,0.06
65,,,-0.0001385,4400.0,,,-0.0001385,0.06
66,,,-0.0001384,4400.0,,,-0.0001384,0.06
67,,,-0.0001383,4400.0,,,-0.0001383,0.06
68,,,-0.0001382,4400.0,,,-0.0001382,0.06
69,,,-0.0001381,4600.0,,,-0.0001381,0.06
70,,,-0.000138,4600.0,,,-0.000138,0.06
71,,,-0.0001379,4600.0,,,-0.0001379,0.06
72,,,-0.0001378,4600.0,,,-0.0001378,0.04
73,,,-0.0001377,4600.0,,,-0.0001377,0.06
74,,,-0.0001376,4600.0,,,-0.0001376,0.06
75,,,-0.0001375,4600.0,,,-0.0001375,0.06
76,,,-0.0001374,4600.0,,,-0.0001374,0.06
77,,,-0.0001373,4600.0,,,-0.0001373,0.06
78,,,-0.0001372,4800.0,,,-0.0001372,0.06
79,,,-0.0001371,4800.0,,,-0.0001371,0.06
80,,,-0.000137,4800.0,,,-0.000137,0.06
81,,,-0.0001369,4800.0,,,-0.0001369,0.06
82,,,-0.0001368,4800.0,,,-0.0001368,0.06
83,,,-0.0001367,4800.0,,,-0.0001367,0.06
84,,,-0.0001366,4800.0,,,-0.0001366,0.06
85,,,-0.0001365,4800.0,,,-0.0001365,0.06
86,,,-0.0001364,5000.0,,,-0.0001364,0.06
87,,,-0.0001363,5000.0,,,-0.0001363,0.06
88,,,-0.0001362,5000.0,,,-0.0001362,0.06
89,,,-0.0001361,5000.0,,,-0.0001361,0.06
90,,,-0.000136,5000.0,,,-0.000136,0.06
91,,,-0.0001359,5000.0,,,-0.0001359,0.06
92,,,-0.0001358,5000.0,,,-0.0001358,0.06
93,,,-0.0001357,5000.0,,,-0.0001357,0.06
94,,,-0.0001356,5200.0,,,-0.0001356,0.06
95,,,-0.00013550000000000001,5200.0,,,-0.00013550000000000001,0.06
96,,,-0.0001354,5200.0,,,-0.0001354,0.06
97,,,-0.0001353,5200.0,,,-0.0001353,0.06
98,,,-0.0001352,5200.0,,,-0.0001352,0.06
99,,,-0.0001351,5200.0,,,-0.0001351,0.06
100,,,-0.000135,5200.0,,,-0.000135,0.06
101,,,-0.0001349,5200.0,,,-0.0001349,0.06
102,,,-0.0001348,5400.0,,,-0.0001348,0.06
103,,,-0.0001347,5400.0,,,-0.0001347,0.06
104,,,-0.0001346,5400.0,,,-0.0001346,0.06
105,,,-0.0001345,5400.0,,,-0.0001345,0.06
106,,,-0.00013440000000000001,5400.0,,,-0.00013440000000000001,0.06
107,,,-0.0001343,5400.0,,,-0.0001343,0.06
108,,,-0.0001342,5400.0,,,-0.0001342,0.06
