,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.000263,17000.0,CH activo,4,0.000263,0.1
1,Int. Temporal,1e-07,0.0002631,17000.0,Int. Temporal,1e-07,0.0002631,0.02
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.4E3
",0.0002632,17000.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;4.4E3
",0.0002632,0.06
3,Unidades verticales,"""V""",0.0002633,17200.0,Unidades verticales,"""V""",0.0002633,0.04
4,Volts x div,5.0E3,0.0002634,17000.0,Volts x div,5.0E-1,0.0002634,0.1
5,Offset vertical (en unidades digitales),123.0,0.0002635,17000.0,Offset vertical (en unidades digitales),51.0,0.0002635,0.06
6,Unidades horizontales,"""s""
",0.0002636,17000.0,Unidades horizontales,"""s""
",0.0002636,0.06
7,Escala horizontal,1e-07,0.0002637,17000.0,Escala horizontal,1e-07,0.0002637,0.08
8,Cero vertical (en unidades verticales),0.0,0.0002638,17200.0,Cero vertical (en unidades verticales),0.0,0.0002638,0.08
9,Factor de Atenuacion,1.0E3,0.0002639,17200.0,Factor de Atenuacion,1.0E0,0.0002639,0.08
10,Fecha,25-04-2024 09:48:48,0.000264,17400.0,Fecha,25-04-2024 09:48:54,0.000264,0.06
11,,,0.0002641,17400.0,,,0.0002641,0.08
12,,,0.00026419999999999997,17200.0,,,0.00026419999999999997,0.06
13,,,0.0002643,17400.0,,,0.0002643,0.08
14,,,0.0002644,17400.0,,,0.0002644,0.06
15,,,0.0002645,17600.0,,,0.0002645,0.06
16,,,0.0002646,17200.0,,,0.0002646,0.04
17,,,0.0002647,17200.0,,,0.0002647,0.06
18,,,0.0002648,17600.0,,,0.0002648,0.04
19,,,0.0002649,17400.0,,,0.0002649,0.02
20,,,0.000265,17000.0,,,0.000265,0.06
21,,,0.0002651,17000.0,,,0.0002651,0.06
22,,,0.0002652,17200.0,,,0.0002652,0.04
23,,,0.0002653,17400.0,,,0.0002653,0.08
24,,,0.0002654,17200.0,,,0.0002654,0.08
25,,,0.0002655,17600.0,,,0.0002655,0.06
26,,,0.0002656,17400.0,,,0.0002656,0.06
27,,,0.0002657,17400.0,,,0.0002657,0.08
28,,,0.0002658,17600.0,,,0.0002658,0.06
29,,,0.0002659,17600.0,,,0.0002659,0.06
30,,,0.000266,17400.0,,,0.000266,0.06
31,,,0.0002661,17600.0,,,0.0002661,0.08
32,,,0.0002662,17800.0,,,0.0002662,0.08
33,,,0.0002663,17800.0,,,0.0002663,0.04
34,,,0.00026639999999999997,17600.0,,,0.00026639999999999997,0.02
35,,,0.00026649999999999997,17400.0,,,0.00026649999999999997,0.02
36,,,0.0002666,17600.0,,,0.0002666,0.06
37,,,0.0002667,17600.0,,,0.0002667,0.06
38,,,0.0002668,17600.0,,,0.0002668,0.04
39,,,0.0002669,17600.0,,,0.0002669,0.06
40,,,0.000267,17600.0,,,0.000267,0.06
41,,,0.0002671,17600.0,,,0.0002671,0.06
42,,,0.0002672,18000.0,,,0.0002672,0.02
43,,,0.0002673,17800.0,,,0.0002673,0.02
44,,,0.0002674,17800.0,,,0.0002674,0.06
45,,,0.0002675,17800.0,,,0.0002675,0.04
46,,,0.0002676,17800.0,,,0.0002676,0.04
47,,,0.0002677,18000.0,,,0.0002677,0.06
48,,,0.0002678,18000.0,,,0.0002678,0.08
49,,,0.0002679,18000.0,,,0.0002679,-0.26
50,,,0.000268,18000.0,,,0.000268,0.34
51,,,0.0002681,18000.0,,,0.0002681,0.06
52,,,0.0002682,18000.0,,,0.0002682,0.02
53,,,0.0002683,17800.0,,,0.0002683,0.06
54,,,0.0002684,18000.0,,,0.0002684,0.06
55,,,0.0002685,17800.0,,,0.0002685,0.04
56,,,0.00026859999999999997,18000.0,,,0.00026859999999999997,0.06
57,,,0.00026869999999999997,17800.0,,,0.00026869999999999997,0.02
58,,,0.0002688,17800.0,,,0.0002688,0.02
59,,,0.0002689,18000.0,,,0.0002689,0.04
60,,,0.000269,17800.0,,,0.000269,0.04
61,,,0.0002691,17800.0,,,0.0002691,0.0
62,,,0.0002692,18000.0,,,0.0002692,0.04
63,,,0.0002693,18200.0,,,0.0002693,0.04
64,,,0.0002694,18000.0,,,0.0002694,0.04
65,,,0.0002695,18200.0,,,0.0002695,0.06
66,,,0.0002696,17800.0,,,0.0002696,0.04
67,,,0.0002697,18200.0,,,0.0002697,0.04
68,,,0.0002698,18000.0,,,0.0002698,0.0
69,,,0.0002699,17800.0,,,0.0002699,0.02
70,,,0.00027,18200.0,,,0.00027,0.04
71,,,0.0002701,17800.0,,,0.0002701,0.0
72,,,0.0002702,18200.0,,,0.0002702,0.04
73,,,0.0002703,18000.0,,,0.0002703,0.02
74,,,0.0002704,18200.0,,,0.0002704,0.02
75,,,0.0002705,18200.0,,,0.0002705,0.0
76,,,0.0002706,18200.0,,,0.0002706,0.02
77,,,0.0002707,18200.0,,,0.0002707,0.02
78,,,0.00027079999999999997,18000.0,,,0.00027079999999999997,0.02
79,,,0.00027089999999999997,18000.0,,,0.00027089999999999997,0.02
80,,,0.000271,18000.0,,,0.000271,0.04
81,,,0.0002711,18200.0,,,0.0002711,0.04
82,,,0.0002712,18000.0,,,0.0002712,-0.02
83,,,0.0002713,18200.0,,,0.0002713,-0.02
84,,,0.0002714,18200.0,,,0.0002714,0.0
85,,,0.0002715,18200.0,,,0.0002715,0.0
86,,,0.0002716,18000.0,,,0.0002716,0.02
87,,,0.0002717,18000.0,,,0.0002717,0.02
88,,,0.0002718,18200.0,,,0.0002718,0.04
89,,,0.0002719,18200.0,,,0.0002719,0.04
90,,,0.000272,18200.0,,,0.000272,0.04
91,,,0.0002721,18000.0,,,0.0002721,0.04
92,,,0.0002722,18200.0,,,0.0002722,0.02
93,,,0.0002723,18200.0,,,0.0002723,0.04
94,,,0.0002724,18200.0,,,0.0002724,0.02
95,,,0.0002725,18200.0,,,0.0002725,0.02
96,,,0.0002726,18200.0,,,0.0002726,0.0
97,,,0.0002727,18000.0,,,0.0002727,0.0
98,,,0.0002728,18400.0,,,0.0002728,0.04
99,,,0.0002729,18200.0,,,0.0002729,0.02
100,,,0.000273,18200.0,,,0.000273,-0.02
101,,,0.00027309999999999997,18200.0,,,0.00027309999999999997,-0.02
102,,,0.00027319999999999997,18400.0,,,0.00027319999999999997,-0.04
103,,,0.0002733,18000.0,,,0.0002733,0.0
104,,,0.0002734,18200.0,,,0.0002734,0.0
105,,,0.0002735,18200.0,,,0.0002735,0.02
