,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0003529,8000.0,CH activo,4,0.0003529,0.12
1,Int. Temporal,2e-08,0.00035292,8000.0,Int. Temporal,2e-08,0.00035292,0.12
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.6E3
",0.00035294,8000.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.6E3
",0.00035294,0.1
3,Unidades verticales,"""V""",0.00035296000000000004,7800.0,Unidades verticales,"""V""",0.00035296000000000004,0.1
4,Volts x div,5.0E3,0.00035298,7800.0,Volts x div,5.0E-1,0.00035298,0.1
5,Offset vertical (en unidades digitales),123.0,0.000353,7800.0,Offset vertical (en unidades digitales),50.0,0.000353,0.12
6,Unidades horizontales,"""s""
",0.00035302,7800.0,Unidades horizontales,"""s""
",0.00035302,0.1
7,Escala horizontal,2e-08,0.00035304,8000.0,Escala horizontal,2e-08,0.00035304,0.12
8,Cero vertical (en unidades verticales),0.0,0.00035306000000000004,8000.0,Cero vertical (en unidades verticales),0.0,0.00035306000000000004,0.12
9,Factor de Atenuacion,1.0E3,0.00035308000000000003,8000.0,Factor de Atenuacion,1.0E0,0.00035308000000000003,0.12
10,Fecha,26-04-2024 13:43:12,0.0003531,8200.0,Fecha,26-04-2024 13:43:17,0.0003531,0.1
11,,,0.00035312,7800.0,,,0.00035312,0.1
12,,,0.00035314,8200.0,,,0.00035314,0.14
13,,,0.00035316,8000.0,,,0.00035316,0.12
14,,,0.00035318000000000003,8000.0,,,0.00035318000000000003,0.1
15,,,0.0003532,8000.0,,,0.0003532,0.1
16,,,0.00035322,8200.0,,,0.00035322,0.1
17,,,0.00035324,8000.0,,,0.00035324,0.12
18,,,0.00035326,8200.0,,,0.00035326,0.1
19,,,0.00035328000000000003,8000.0,,,0.00035328000000000003,0.12
20,,,0.0003533,8000.0,,,0.0003533,0.08
21,,,0.00035332,8200.0,,,0.00035332,0.1
22,,,0.00035334,8200.0,,,0.00035334,0.1
23,,,0.00035336,8200.0,,,0.00035336,0.12
24,,,0.00035338000000000004,8200.0,,,0.00035338000000000004,0.12
25,,,0.0003534,8200.0,,,0.0003534,0.1
26,,,0.00035342,8200.0,,,0.00035342,0.12
27,,,0.00035344,8200.0,,,0.00035344,0.08
28,,,0.00035346,8000.0,,,0.00035346,0.14
29,,,0.00035348000000000004,8000.0,,,0.00035348000000000004,0.08
30,,,0.00035350000000000003,8200.0,,,0.00035350000000000003,0.08
31,,,0.00035352,8200.0,,,0.00035352,0.1
32,,,0.00035354,8200.0,,,0.00035354,0.1
33,,,0.00035356,8000.0,,,0.00035356,0.12
34,,,0.00035358,8200.0,,,0.00035358,0.08
35,,,0.00035360000000000003,8200.0,,,0.00035360000000000003,0.08
36,,,0.00035362,8000.0,,,0.00035362,0.12
37,,,0.00035364,8200.0,,,0.00035364,0.14
38,,,0.00035366,8400.0,,,0.00035366,0.1
39,,,0.00035368,8200.0,,,0.00035368,0.08
40,,,0.00035370000000000003,8200.0,,,0.00035370000000000003,0.12
41,,,0.00035372,8000.0,,,0.00035372,0.12
42,,,0.00035374,8400.0,,,0.00035374,0.12
43,,,0.00035376,8400.0,,,0.00035376,0.1
44,,,0.00035378,8000.0,,,0.00035378,0.06
45,,,0.00035380000000000003,8400.0,,,0.00035380000000000003,0.08
46,,,0.00035382,8200.0,,,0.00035382,0.14
47,,,0.00035384,8200.0,,,0.00035384,0.1
48,,,0.00035386,8400.0,,,0.00035386,0.1
49,,,0.00035388,8200.0,,,0.00035388,0.1
50,,,0.00035390000000000004,8400.0,,,0.00035390000000000004,0.12
51,,,0.00035392,8400.0,,,0.00035392,0.1
52,,,0.00035394,8400.0,,,0.00035394,0.14
53,,,0.00035396,8200.0,,,0.00035396,0.1
54,,,0.00035398,8200.0,,,0.00035398,0.1
55,,,0.00035400000000000004,8400.0,,,0.00035400000000000004,0.08
56,,,0.00035402000000000003,8200.0,,,0.00035402000000000003,0.12
57,,,0.00035404,8400.0,,,0.00035404,0.1
58,,,0.00035406,8400.0,,,0.00035406,0.1
59,,,0.00035408,8400.0,,,0.00035408,0.14
60,,,0.0003541,8400.0,,,0.0003541,0.1
61,,,0.00035412000000000003,8400.0,,,0.00035412000000000003,0.12
62,,,0.00035414,8400.0,,,0.00035414,0.12
63,,,0.00035416,8400.0,,,0.00035416,0.1
64,,,0.00035418,8400.0,,,0.00035418,0.08
65,,,0.0003542,8400.0,,,0.0003542,0.12
66,,,0.00035422000000000003,8400.0,,,0.00035422000000000003,0.1
67,,,0.00035424,8400.0,,,0.00035424,0.12
68,,,0.00035426,8200.0,,,0.00035426,0.08
69,,,0.00035428,8400.0,,,0.00035428,0.1
70,,,0.0003543,8400.0,,,0.0003543,0.12
71,,,0.00035432000000000004,8600.0,,,0.00035432000000000004,0.1
72,,,0.00035434,8600.0,,,0.00035434,0.06
73,,,0.00035436,8400.0,,,0.00035436,0.14
74,,,0.00035438,8400.0,,,0.00035438,0.1
75,,,0.0003544,8600.0,,,0.0003544,0.12
