,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0003792,9200.0,CH activo,4,0.0003792,0.1
1,Int. Temporal,2e-08,0.00037922,9400.0,Int. Temporal,2e-08,0.00037922,0.12
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00037924,9400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00037924,0.12
3,Unidades verticales,"""V""",0.00037926,9600.0,Unidades verticales,"""V""",0.00037926,0.12
4,Volts x div,5.0E3,0.00037928,9600.0,Volts x div,5.0E-1,0.00037928,0.1
5,Offset vertical (en unidades digitales),123.0,0.0003793,9600.0,Offset vertical (en unidades digitales),43.0,0.0003793,0.1
6,Unidades horizontales,"""s""
",0.00037932,9600.0,Unidades horizontales,"""s""
",0.00037932,0.1
7,Escala horizontal,2e-08,0.00037934,9600.0,Escala horizontal,2e-08,0.00037934,0.14
8,Cero vertical (en unidades verticales),0.0,0.00037936,9200.0,Cero vertical (en unidades verticales),0.0,0.00037936,0.1
9,Factor de Atenuacion,1.0E3,0.00037938,9400.0,Factor de Atenuacion,1.0E0,0.00037938,0.12
10,Fecha,30-04-2024 18:56:27,0.0003794,9400.0,Fecha,30-04-2024 18:56:33,0.0003794,0.12
11,,,0.00037942,9600.0,,,0.00037942,0.12
12,,,0.00037944,9400.0,,,0.00037944,0.12
13,,,0.00037946,9400.0,,,0.00037946,0.1
14,,,0.00037948,9800.0,,,0.00037948,0.1
15,,,0.0003795,9400.0,,,0.0003795,0.14
16,,,0.00037952,9600.0,,,0.00037952,0.12
17,,,0.00037954,9600.0,,,0.00037954,0.12
18,,,0.00037956,9600.0,,,0.00037956,0.1
19,,,0.00037958,9600.0,,,0.00037958,0.12
20,,,0.0003796,9800.0,,,0.0003796,0.1
21,,,0.00037962,9400.0,,,0.00037962,0.14
22,,,0.00037964,9600.0,,,0.00037964,0.12
23,,,0.00037966,9600.0,,,0.00037966,0.12
24,,,0.00037968,9800.0,,,0.00037968,0.14
25,,,0.0003797,9600.0,,,0.0003797,0.08
26,,,0.00037972,9600.0,,,0.00037972,0.1
27,,,0.00037974,9600.0,,,0.00037974,0.1
28,,,0.00037976,9600.0,,,0.00037976,0.12
29,,,0.00037978,9400.0,,,0.00037978,0.12
30,,,0.0003798,9800.0,,,0.0003798,0.12
31,,,0.00037982,9600.0,,,0.00037982,0.12
32,,,0.00037984,9800.0,,,0.00037984,0.08
33,,,0.00037986,9600.0,,,0.00037986,0.14
34,,,0.00037988,9600.0,,,0.00037988,0.12
35,,,0.0003799,9600.0,,,0.0003799,0.12
36,,,0.00037992,9800.0,,,0.00037992,0.12
37,,,0.00037994,9800.0,,,0.00037994,0.08
38,,,0.00037996,9600.0,,,0.00037996,0.12
39,,,0.00037998,9600.0,,,0.00037998,0.12
40,,,0.00038,9800.0,,,0.00038,0.12
41,,,0.00038002,9800.0,,,0.00038002,0.14
42,,,0.00038004,9800.0,,,0.00038004,0.1
43,,,0.00038006,9800.0,,,0.00038006,0.12
44,,,0.00038008,9800.0,,,0.00038008,0.12
45,,,0.0003801,9800.0,,,0.0003801,0.14
46,,,0.00038012,9600.0,,,0.00038012,0.12
47,,,0.00038014,9800.0,,,0.00038014,0.12
48,,,0.00038016,10200.0,,,0.00038016,0.14
49,,,0.00038018,9800.0,,,0.00038018,0.16
50,,,0.0003802,9800.0,,,0.0003802,0.12
51,,,0.00038022,9800.0,,,0.00038022,0.12
52,,,0.00038024,9800.0,,,0.00038024,0.12
53,,,0.00038026,9800.0,,,0.00038026,0.14
54,,,0.00038028,10000.0,,,0.00038028,0.14
55,,,0.00038030000000000003,9800.0,,,0.00038030000000000003,0.14
56,,,0.00038032,9800.0,,,0.00038032,0.12
57,,,0.00038034,9800.0,,,0.00038034,0.14
58,,,0.00038036,9800.0,,,0.00038036,0.1
59,,,0.00038038,10000.0,,,0.00038038,0.12
60,,,0.0003804,9800.0,,,0.0003804,0.12
61,,,0.00038042,9800.0,,,0.00038042,0.14
62,,,0.00038044,10000.0,,,0.00038044,0.1
63,,,0.00038046,10000.0,,,0.00038046,0.12
64,,,0.00038048,10000.0,,,0.00038048,0.14
65,,,0.0003805,10000.0,,,0.0003805,0.12
66,,,0.00038052,10000.0,,,0.00038052,0.12
67,,,0.00038054,10000.0,,,0.00038054,0.12
68,,,0.00038056,10000.0,,,0.00038056,0.12
69,,,0.00038058,10000.0,,,0.00038058,0.14
70,,,0.0003806,10000.0,,,0.0003806,0.1
71,,,0.00038062,10000.0,,,0.00038062,0.1
72,,,0.00038064,10000.0,,,0.00038064,0.12
73,,,0.00038066,10000.0,,,0.00038066,0.1
74,,,0.00038068,10000.0,,,0.00038068,0.12
75,,,0.0003807,10000.0,,,0.0003807,0.12
76,,,0.00038072000000000003,10200.0,,,0.00038072000000000003,0.14
77,,,0.00038074,9800.0,,,0.00038074,0.12
78,,,0.00038076,10000.0,,,0.00038076,0.14
79,,,0.00038078,9800.0,,,0.00038078,0.08
80,,,0.0003808,10200.0,,,0.0003808,0.12
81,,,0.00038082,10000.0,,,0.00038082,0.12
82,,,0.00038084,10200.0,,,0.00038084,0.12
83,,,0.00038086,10200.0,,,0.00038086,0.12
84,,,0.00038088,10200.0,,,0.00038088,0.12
85,,,0.0003809,10000.0,,,0.0003809,0.08
86,,,0.00038092,10000.0,,,0.00038092,0.12
87,,,0.00038094,10200.0,,,0.00038094,0.14
88,,,0.00038096,9800.0,,,0.00038096,0.1
89,,,0.00038098,10000.0,,,0.00038098,0.1
90,,,0.000381,10000.0,,,0.000381,0.14
91,,,0.00038102,10000.0,,,0.00038102,0.14
92,,,0.00038104,10000.0,,,0.00038104,0.12
93,,,0.00038106,9800.0,,,0.00038106,0.12
94,,,0.00038108,10200.0,,,0.00038108,0.1
95,,,0.0003811,10000.0,,,0.0003811,0.14
96,,,0.00038112,10200.0,,,0.00038112,0.14
97,,,0.00038114,10200.0,,,0.00038114,0.12
98,,,0.00038116,10000.0,,,0.00038116,0.08
99,,,0.00038118,10200.0,,,0.00038118,0.12
100,,,0.0003812,10200.0,,,0.0003812,0.12
101,,,0.00038122,10000.0,,,0.00038122,0.1
102,,,0.00038124,10000.0,,,0.00038124,0.1
103,,,0.00038126,10200.0,,,0.00038126,0.1
104,,,0.00038128,10200.0,,,0.00038128,0.1
105,,,0.0003813,10200.0,,,0.0003813,0.14
106,,,0.00038132,10200.0,,,0.00038132,0.12
107,,,0.00038134,9800.0,,,0.00038134,0.12
108,,,0.00038136,10000.0,,,0.00038136,0.12
109,,,0.00038138,10400.0,,,0.00038138,0.12
110,,,0.0003814,10200.0,,,0.0003814,0.1
111,,,0.00038142,10200.0,,,0.00038142,0.12
112,,,0.00038144,10200.0,,,0.00038144,0.12
113,,,0.00038146,10200.0,,,0.00038146,0.14
114,,,0.00038148,10200.0,,,0.00038148,0.1
115,,,0.0003815,10200.0,,,0.0003815,0.12
116,,,0.00038152,10400.0,,,0.00038152,0.12
117,,,0.00038154,10400.0,,,0.00038154,0.08
118,,,0.00038156,10400.0,,,0.00038156,0.1
119,,,0.00038158,10400.0,,,0.00038158,0.12
120,,,0.0003816,10400.0,,,0.0003816,0.14
121,,,0.00038162,10200.0,,,0.00038162,0.14
122,,,0.00038164,10400.0,,,0.00038164,0.08
123,,,0.00038166000000000003,10400.0,,,0.00038166000000000003,0.14
124,,,0.00038168,10400.0,,,0.00038168,0.14
125,,,0.0003817,10600.0,,,0.0003817,0.12
126,,,0.00038172,10200.0,,,0.00038172,0.1
127,,,0.00038174,10400.0,,,0.00038174,0.14
128,,,0.00038176,10400.0,,,0.00038176,0.14
129,,,0.00038178,10400.0,,,0.00038178,0.1
130,,,0.0003818,10400.0,,,0.0003818,0.12
131,,,0.00038182,10600.0,,,0.00038182,0.08
132,,,0.00038184,10400.0,,,0.00038184,0.14
133,,,0.00038186,10400.0,,,0.00038186,0.1
134,,,0.00038188,10400.0,,,0.00038188,0.14
135,,,0.0003819,10600.0,,,0.0003819,0.12
136,,,0.00038192,10400.0,,,0.00038192,0.1
137,,,0.00038194,10800.0,,,0.00038194,0.12
138,,,0.00038196,10600.0,,,0.00038196,0.14
139,,,0.00038198,10600.0,,,0.00038198,0.1
140,,,0.000382,10400.0,,,0.000382,0.12
141,,,0.00038202,10600.0,,,0.00038202,0.08
142,,,0.00038204,10600.0,,,0.00038204,0.16
143,,,0.00038206,10600.0,,,0.00038206,0.14
144,,,0.00038208000000000003,10600.0,,,0.00038208000000000003,0.16
145,,,0.0003821,10400.0,,,0.0003821,0.1
146,,,0.00038212,10400.0,,,0.00038212,0.1
147,,,0.00038214,10800.0,,,0.00038214,0.12
148,,,0.00038216,10600.0,,,0.00038216,0.12
