,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0003558,9200.0,CH activo,4,0.0003558,0.1
1,Int. Temporal,2e-08,0.00035581999999999996,9200.0,Int. Temporal,2e-08,0.00035581999999999996,0.12
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00035583999999999995,9400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00035583999999999995,0.1
3,Unidades verticales,"""V""",0.00035586,9400.0,Unidades verticales,"""V""",0.00035586,0.1
4,Volts x div,5.0E3,0.00035588,9200.0,Volts x div,5.0E-1,0.00035588,0.12
5,Offset vertical (en unidades digitales),123.0,0.0003559,9200.0,Offset vertical (en unidades digitales),43.0,0.0003559,0.1
6,Unidades horizontales,"""s""
",0.00035591999999999997,9200.0,Unidades horizontales,"""s""
",0.00035591999999999997,0.1
7,Escala horizontal,2e-08,0.00035593999999999996,9200.0,Escala horizontal,2e-08,0.00035593999999999996,0.12
8,Cero vertical (en unidades verticales),0.0,0.00035596,9200.0,Cero vertical (en unidades verticales),0.0,0.00035596,0.1
9,Factor de Atenuacion,1.0E3,0.00035598,9200.0,Factor de Atenuacion,1.0E0,0.00035598,0.12
10,Fecha,30-04-2024 16:12:59,0.000356,9400.0,Fecha,30-04-2024 16:13:05,0.000356,0.08
11,,,0.00035601999999999997,9400.0,,,0.00035601999999999997,0.1
12,,,0.00035603999999999996,9200.0,,,0.00035603999999999996,0.1
13,,,0.00035605999999999995,9200.0,,,0.00035605999999999995,0.1
14,,,0.00035608,9200.0,,,0.00035608,0.1
15,,,0.0003561,9400.0,,,0.0003561,0.08
16,,,0.00035611999999999997,9400.0,,,0.00035611999999999997,0.14
17,,,0.00035613999999999996,9400.0,,,0.00035613999999999996,0.12
18,,,0.00035615999999999995,9400.0,,,0.00035615999999999995,0.12
19,,,0.00035618,9200.0,,,0.00035618,0.06
20,,,0.0003562,9400.0,,,0.0003562,0.1
21,,,0.00035622,9400.0,,,0.00035622,0.12
22,,,0.00035623999999999996,9400.0,,,0.00035623999999999996,0.1
23,,,0.00035625999999999995,9400.0,,,0.00035625999999999995,0.14
24,,,0.00035628,9400.0,,,0.00035628,0.08
25,,,0.0003563,9400.0,,,0.0003563,0.1
26,,,0.00035632,9400.0,,,0.00035632,0.12
27,,,0.00035633999999999997,9400.0,,,0.00035633999999999997,0.12
28,,,0.00035635999999999996,9200.0,,,0.00035635999999999996,0.08
29,,,0.00035638,9400.0,,,0.00035638,0.1
30,,,0.0003564,9400.0,,,0.0003564,0.1
31,,,0.00035642,9400.0,,,0.00035642,0.1
32,,,0.00035643999999999997,9400.0,,,0.00035643999999999997,0.16
33,,,0.00035645999999999996,9200.0,,,0.00035645999999999996,0.12
34,,,0.00035647999999999995,9400.0,,,0.00035647999999999995,0.1
35,,,0.0003565,9400.0,,,0.0003565,0.12
36,,,0.00035652,9400.0,,,0.00035652,0.12
37,,,0.00035653999999999997,9600.0,,,0.00035653999999999997,0.12
38,,,0.00035655999999999996,9400.0,,,0.00035655999999999996,0.08
39,,,0.00035657999999999995,9400.0,,,0.00035657999999999995,0.12
40,,,0.0003566,9400.0,,,0.0003566,0.12
41,,,0.00035662,9400.0,,,0.00035662,0.1
42,,,0.00035664,9600.0,,,0.00035664,0.08
43,,,0.00035665999999999996,9400.0,,,0.00035665999999999996,0.06
44,,,0.00035667999999999995,9600.0,,,0.00035667999999999995,0.1
45,,,0.0003567,9600.0,,,0.0003567,0.1
46,,,0.00035672,9600.0,,,0.00035672,0.1
47,,,0.00035674,9400.0,,,0.00035674,0.08
48,,,0.00035675999999999997,9400.0,,,0.00035675999999999997,0.1
49,,,0.00035677999999999996,9400.0,,,0.00035677999999999996,0.1
50,,,0.0003568,9600.0,,,0.0003568,0.1
51,,,0.00035682,9800.0,,,0.00035682,0.1
52,,,0.00035684,9600.0,,,0.00035684,0.1
53,,,0.00035685999999999997,9600.0,,,0.00035685999999999997,0.12
54,,,0.00035687999999999996,10000.0,,,0.00035687999999999996,0.1
55,,,0.0003569,9400.0,,,0.0003569,0.12
56,,,0.00035692,9600.0,,,0.00035692,0.12
57,,,0.00035694,9600.0,,,0.00035694,0.12
58,,,0.00035695999999999997,9800.0,,,0.00035695999999999997,0.12
59,,,0.00035697999999999996,9800.0,,,0.00035697999999999996,0.1
60,,,0.00035699999999999995,9600.0,,,0.00035699999999999995,0.12
61,,,0.00035702,9600.0,,,0.00035702,0.12
62,,,0.00035704,9600.0,,,0.00035704,0.1
63,,,0.00035705999999999997,9600.0,,,0.00035705999999999997,0.12
64,,,0.00035707999999999996,9600.0,,,0.00035707999999999996,0.12
65,,,0.00035709999999999995,9600.0,,,0.00035709999999999995,0.1
66,,,0.00035712,9600.0,,,0.00035712,0.1
67,,,0.00035714,9600.0,,,0.00035714,0.14
68,,,0.00035716,9800.0,,,0.00035716,0.1
69,,,0.00035717999999999996,9800.0,,,0.00035717999999999996,0.08
70,,,0.00035719999999999995,9800.0,,,0.00035719999999999995,0.12
71,,,0.00035722,9800.0,,,0.00035722,0.06
72,,,0.00035724,9800.0,,,0.00035724,0.14
73,,,0.00035726,9800.0,,,0.00035726,0.1
74,,,0.00035727999999999997,9800.0,,,0.00035727999999999997,0.1
75,,,0.00035729999999999996,9800.0,,,0.00035729999999999996,0.08
76,,,0.00035732,9800.0,,,0.00035732,0.08
77,,,0.00035734,9600.0,,,0.00035734,0.1
78,,,0.00035736,9600.0,,,0.00035736,0.12
