,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,0.0003529,8400.0,CH activo,4,0.0003529,0.12
1,Int. Temporal,2e-08,0.00035292,8600.0,Int. Temporal,2e-08,0.00035292,0.1
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00035294,8400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.4E3
",0.00035294,0.1
3,Unidades verticales,"""V""",0.00035296000000000004,8400.0,Unidades verticales,"""V""",0.00035296000000000004,0.1
4,Volts x div,5.0E3,0.00035298,8200.0,Volts x div,5.0E-1,0.00035298,0.08
5,Offset vertical (en unidades digitales),123.0,0.000353,8600.0,Offset vertical (en unidades digitales),43.0,0.000353,0.14
6,Unidades horizontales,"""s""
",0.00035302,8600.0,Unidades horizontales,"""s""
",0.00035302,0.1
7,Escala horizontal,2e-08,0.00035304,8800.0,Escala horizontal,2e-08,0.00035304,0.1
8,Cero vertical (en unidades verticales),0.0,0.00035306000000000004,8600.0,Cero vertical (en unidades verticales),0.0,0.00035306000000000004,0.08
9,Factor de Atenuacion,1.0E3,0.00035308000000000003,8600.0,Factor de Atenuacion,1.0E0,0.00035308000000000003,0.12
10,Fecha,30-04-2024 16:05:51,0.0003531,8400.0,Fecha,30-04-2024 16:05:56,0.0003531,0.12
11,,,0.00035312,8600.0,,,0.00035312,0.1
12,,,0.00035314,8800.0,,,0.00035314,0.12
13,,,0.00035316,8600.0,,,0.00035316,0.08
14,,,0.00035318000000000003,8600.0,,,0.00035318000000000003,0.12
15,,,0.0003532,8400.0,,,0.0003532,0.1
16,,,0.00035322,8800.0,,,0.00035322,0.12
17,,,0.00035324,8800.0,,,0.00035324,0.12
18,,,0.00035326,8400.0,,,0.00035326,0.1
19,,,0.00035328000000000003,8600.0,,,0.00035328000000000003,0.14
20,,,0.0003533,8600.0,,,0.0003533,0.12
21,,,0.00035332,8600.0,,,0.00035332,0.12
22,,,0.00035334,8800.0,,,0.00035334,0.12
23,,,0.00035336,8400.0,,,0.00035336,0.06
24,,,0.00035338000000000004,8800.0,,,0.00035338000000000004,0.14
25,,,0.0003534,8800.0,,,0.0003534,0.1
26,,,0.00035342,8600.0,,,0.00035342,0.12
27,,,0.00035344,8800.0,,,0.00035344,0.1
28,,,0.00035346,8800.0,,,0.00035346,0.1
29,,,0.00035348000000000004,8800.0,,,0.00035348000000000004,0.14
30,,,0.00035350000000000003,8800.0,,,0.00035350000000000003,0.12
31,,,0.00035352,9000.0,,,0.00035352,0.14
32,,,0.00035354,8800.0,,,0.00035354,0.1
33,,,0.00035356,8800.0,,,0.00035356,0.12
34,,,0.00035358,8800.0,,,0.00035358,0.14
35,,,0.00035360000000000003,8800.0,,,0.00035360000000000003,0.14
36,,,0.00035362,8800.0,,,0.00035362,0.12
37,,,0.00035364,8600.0,,,0.00035364,0.12
38,,,0.00035366,8800.0,,,0.00035366,0.1
39,,,0.00035368,8800.0,,,0.00035368,0.1
40,,,0.00035370000000000003,8800.0,,,0.00035370000000000003,0.1
41,,,0.00035372,8800.0,,,0.00035372,0.12
42,,,0.00035374,8600.0,,,0.00035374,0.12
43,,,0.00035376,8600.0,,,0.00035376,0.1
44,,,0.00035378,9000.0,,,0.00035378,0.12
45,,,0.00035380000000000003,9000.0,,,0.00035380000000000003,0.1
46,,,0.00035382,8800.0,,,0.00035382,0.12
47,,,0.00035384,8800.0,,,0.00035384,0.1
48,,,0.00035386,8800.0,,,0.00035386,0.14
49,,,0.00035388,9000.0,,,0.00035388,0.14
50,,,0.00035390000000000004,8800.0,,,0.00035390000000000004,0.12
51,,,0.00035392,9000.0,,,0.00035392,0.06
52,,,0.00035394,8800.0,,,0.00035394,0.1
53,,,0.00035396,8800.0,,,0.00035396,0.14
54,,,0.00035398,9200.0,,,0.00035398,0.1
55,,,0.00035400000000000004,9000.0,,,0.00035400000000000004,0.1
56,,,0.00035402000000000003,8800.0,,,0.00035402000000000003,0.1
57,,,0.00035404,8800.0,,,0.00035404,0.12
58,,,0.00035406,8800.0,,,0.00035406,0.14
59,,,0.00035408,8800.0,,,0.00035408,0.1
60,,,0.0003541,9000.0,,,0.0003541,0.1
61,,,0.00035412000000000003,9000.0,,,0.00035412000000000003,0.1
62,,,0.00035414,8800.0,,,0.00035414,0.12
63,,,0.00035416,8800.0,,,0.00035416,0.1
64,,,0.00035418,9000.0,,,0.00035418,0.12
65,,,0.0003542,9000.0,,,0.0003542,0.06
66,,,0.00035422000000000003,9000.0,,,0.00035422000000000003,0.1
67,,,0.00035424,9000.0,,,0.00035424,0.1
68,,,0.00035426,9000.0,,,0.00035426,0.12
69,,,0.00035428,9200.0,,,0.00035428,0.1
70,,,0.0003543,9000.0,,,0.0003543,0.1
71,,,0.00035432000000000004,9200.0,,,0.00035432000000000004,0.12
72,,,0.00035434,9000.0,,,0.00035434,0.1
73,,,0.00035436,9200.0,,,0.00035436,0.12
74,,,0.00035438,9200.0,,,0.00035438,0.1
75,,,0.0003544,9000.0,,,0.0003544,0.08
76,,,0.00035442000000000004,9000.0,,,0.00035442000000000004,0.12
77,,,0.00035444000000000003,9200.0,,,0.00035444000000000003,0.12
78,,,0.00035446,9200.0,,,0.00035446,0.08
79,,,0.00035448,9000.0,,,0.00035448,0.1
80,,,0.0003545,9000.0,,,0.0003545,0.1
81,,,0.00035452,9000.0,,,0.00035452,0.1
82,,,0.00035454000000000003,9200.0,,,0.00035454000000000003,0.1
83,,,0.00035456,9000.0,,,0.00035456,0.12
84,,,0.00035458,9000.0,,,0.00035458,0.1
85,,,0.0003546,9000.0,,,0.0003546,0.1
86,,,0.00035462,9400.0,,,0.00035462,0.12
87,,,0.00035464000000000003,9200.0,,,0.00035464000000000003,0.12
88,,,0.00035466,9400.0,,,0.00035466,0.08
89,,,0.00035468,9000.0,,,0.00035468,0.12
90,,,0.0003547,9200.0,,,0.0003547,0.12
91,,,0.00035472,9200.0,,,0.00035472,0.08
92,,,0.00035474000000000004,9200.0,,,0.00035474000000000004,0.12
93,,,0.00035476,9400.0,,,0.00035476,0.12
94,,,0.00035478,9200.0,,,0.00035478,0.1
95,,,0.0003548,9000.0,,,0.0003548,0.12
96,,,0.00035482,9000.0,,,0.00035482,0.12
97,,,0.00035484000000000004,9200.0,,,0.00035484000000000004,0.12
98,,,0.00035486000000000003,9200.0,,,0.00035486000000000003,0.12
99,,,0.00035488,9000.0,,,0.00035488,0.12
100,,,0.0003549,9200.0,,,0.0003549,0.12
101,,,0.00035492,9000.0,,,0.00035492,0.12
102,,,0.00035494,9200.0,,,0.00035494,0.1
103,,,0.00035496000000000003,9400.0,,,0.00035496000000000003,0.1
104,,,0.00035498,9400.0,,,0.00035498,0.14
105,,,0.000355,9400.0,,,0.000355,0.12
106,,,0.00035502,9400.0,,,0.00035502,0.12
107,,,0.00035504,9400.0,,,0.00035504,0.12
108,,,0.00035506000000000003,9200.0,,,0.00035506000000000003,0.12
109,,,0.00035508,9400.0,,,0.00035508,0.12
110,,,0.0003551,9200.0,,,0.0003551,0.08
111,,,0.00035512,9400.0,,,0.00035512,0.12
112,,,0.00035514,9400.0,,,0.00035514,0.08
113,,,0.00035516000000000004,9400.0,,,0.00035516000000000004,0.14
114,,,0.00035518,9400.0,,,0.00035518,0.1
115,,,0.0003552,9400.0,,,0.0003552,0.1
116,,,0.00035522,9400.0,,,0.00035522,0.08
117,,,0.00035524,9200.0,,,0.00035524,0.08
118,,,0.00035526000000000004,9400.0,,,0.00035526000000000004,0.1
119,,,0.00035528000000000003,9200.0,,,0.00035528000000000003,0.08
120,,,0.0003553,9200.0,,,0.0003553,0.14
121,,,0.00035532,9600.0,,,0.00035532,0.16
122,,,0.00035534,9200.0,,,0.00035534,0.04
123,,,0.00035536,9400.0,,,0.00035536,0.12
124,,,0.00035538000000000003,9400.0,,,0.00035538000000000003,0.1
125,,,0.0003554,9400.0,,,0.0003554,0.16
126,,,0.00035542,9400.0,,,0.00035542,0.1
127,,,0.00035544,9400.0,,,0.00035544,0.1
128,,,0.00035546,9600.0,,,0.00035546,0.16
129,,,0.00035548000000000003,9600.0,,,0.00035548000000000003,0.1
130,,,0.0003555,9400.0,,,0.0003555,0.1
131,,,0.00035552,9400.0,,,0.00035552,0.1
132,,,0.00035554,9600.0,,,0.00035554,0.1
133,,,0.00035556,9400.0,,,0.00035556,0.14
134,,,0.00035558000000000003,9600.0,,,0.00035558000000000003,0.12
135,,,0.0003556,9600.0,,,0.0003556,0.12
136,,,0.00035562,9400.0,,,0.00035562,0.12
137,,,0.00035564,9600.0,,,0.00035564,0.12
138,,,0.00035566,9600.0,,,0.00035566,0.12
139,,,0.00035568000000000004,9600.0,,,0.00035568000000000004,0.1
140,,,0.0003557,9600.0,,,0.0003557,0.12
141,,,0.00035572,9400.0,,,0.00035572,0.12
142,,,0.00035574,9400.0,,,0.00035574,0.12
