,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH4,Valores CH4,Tiempo CH4,Voltaje CH4
0,CH activo,1,-0.000146,-800.0,CH activo,4,-0.000146,0.02
1,Int. Temporal,1e-07,-0.0001459,-800.0,Int. Temporal,1e-07,-0.0001459,0.04
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.0E3
",-0.0001458,-800.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.0E3
",-0.0001458,0.02
3,Unidades verticales,"""V""",-0.0001457,-600.0,Unidades verticales,"""V""",-0.0001457,0.06
4,Volts x div,5.0E3,-0.0001456,-800.0,Volts x div,5.0E-1,-0.0001456,0.04
5,Offset vertical (en unidades digitales),125.0,-0.00014549999999999999,-800.0,Offset vertical (en unidades digitales),87.0,-0.00014549999999999999,0.04
6,Unidades horizontales,"""s""
",-0.0001454,-800.0,Unidades horizontales,"""s""
",-0.0001454,0.04
7,Escala horizontal,1e-07,-0.0001453,-600.0,Escala horizontal,1e-07,-0.0001453,0.02
8,Cero vertical (en unidades verticales),0.0,-0.0001452,-800.0,Cero vertical (en unidades verticales),0.0,-0.0001452,0.02
9,Factor de Atenuacion,1.0E3,-0.0001451,-600.0,Factor de Atenuacion,1.0E0,-0.0001451,0.02
10,Fecha,05-04-2024 10:07:37,-0.000145,-800.0,Fecha,05-04-2024 10:07:42,-0.000145,0.06
11,,,-0.0001449,-600.0,,,-0.0001449,0.06
12,,,-0.0001448,-800.0,,,-0.0001448,0.0
13,,,-0.0001447,-600.0,,,-0.0001447,0.0
14,,,-0.0001446,-600.0,,,-0.0001446,0.02
15,,,-0.0001445,-400.0,,,-0.0001445,0.04
16,,,-0.00014439999999999999,-600.0,,,-0.00014439999999999999,0.02
17,,,-0.0001443,-600.0,,,-0.0001443,0.04
18,,,-0.0001442,-800.0,,,-0.0001442,0.02
19,,,-0.0001441,-800.0,,,-0.0001441,0.02
20,,,-0.000144,-600.0,,,-0.000144,0.02
21,,,-0.0001439,-600.0,,,-0.0001439,0.04
22,,,-0.0001438,-600.0,,,-0.0001438,0.04
23,,,-0.0001437,-600.0,,,-0.0001437,0.04
24,,,-0.0001436,-400.0,,,-0.0001436,0.04
25,,,-0.0001435,-400.0,,,-0.0001435,0.04
26,,,-0.0001434,-400.0,,,-0.0001434,0.02
27,,,-0.0001433,-400.0,,,-0.0001433,0.06
28,,,-0.0001432,-400.0,,,-0.0001432,0.04
